read_count	length
3171	201
2999	202
3144	203
3018	204
3011	205
3119	206
3045	207
2869	208
2941	209
3024	210
2952	211
2911	212
3020	213
2846	214
2909	215
2868	216
2829	217
2850	218
2834	219
2754	220
2745	221
2765	222
2688	223
2643	224
2632	225
2607	226
2663	227
2535	228
2704	229
2654	230
2765	231
2575	232
2609	233
2617	234
2505	235
2597	236
2481	237
2499	238
2552	239
2430	240
2504	241
2527	242
2512	243
2457	244
2509	245
2470	246
2464	247
2354	248
2480	249
2399	250
2349	251
2331	252
2358	253
2274	254
2276	255
2327	256
2284	257
2245	258
2170	259
2281	260
2146	261
2117	262
2194	263
2249	264
2203	265
2262	266
2153	267
2121	268
2218	269
2115	270
2142	271
2126	272
2015	273
2098	274
2026	275
2083	276
1955	277
2021	278
1980	279
1970	280
1985	281
2137	282
1931	283
1996	284
1958	285
1970	286
1989	287
1939	288
1898	289
1925	290
1933	291
1901	292
1953	293
1865	294
1899	295
1783	296
1846	297
1869	298
1791	299
1838	300
1868	301
1836	302
1689	303
1847	304
1691	305
1790	306
1766	307
1646	308
1809	309
1765	310
1799	311
1719	312
1665	313
1712	314
1705	315
1647	316
1629	317
1604	318
1685	319
1630	320
1624	321
1657	322
1646	323
1540	324
1565	325
1561	326
1576	327
1586	328
1508	329
1567	330
1572	331
1545	332
1488	333
1585	334
1537	335
1487	336
1545	337
1486	338
1492	339
1406	340
1470	341
1455	342
1448	343
1444	344
1436	345
1388	346
1426	347
1404	348
1437	349
1368	350
1410	351
1358	352
1402	353
1350	354
1340	355
1363	356
1409	357
1346	358
1378	359
1338	360
1306	361
1292	362
1278	363
1327	364
1334	365
1307	366
1307	367
1307	368
1218	369
1294	370
1239	371
1264	372
1247	373
1150	374
1232	375
1225	376
1184	377
1232	378
1214	379
1252	380
1160	381
1181	382
1148	383
1205	384
1186	385
1139	386
1146	387
1203	388
1150	389
1128	390
1133	391
1126	392
1139	393
1104	394
1097	395
1125	396
1117	397
1073	398
1058	399
1023	400
1120	401
1016	402
1102	403
1067	404
1079	405
1073	406
997	407
1020	408
1034	409
971	410
1056	411
1042	412
1005	413
1004	414
1014	415
1063	416
1028	417
