knockdown_PmSTAT_WSSV_infection-UP	WSSV_infection-UP
TRINITY_DN92631_c1_g1_i2	TRINITY_DN80947_c0_g1_i8
TRINITY_DN81229_c4_g1_i6	TRINITY_DN76831_c11_g2_i1
TRINITY_DN76920_c6_g2_i1	TRINITY_DN85878_c16_g2_i3
TRINITY_DN88471_c2_g1_i2	TRINITY_DN93556_c6_g1_i10
TRINITY_DN86448_c12_g1_i9	TRINITY_DN84821_c0_g1_i7
TRINITY_DN81229_c1_g1_i1	TRINITY_DN92057_c1_g1_i8
TRINITY_DN86096_c12_g1_i2	TRINITY_DN92073_c7_g1_i2
TRINITY_DN75844_c7_g4_i1	TRINITY_DN91852_c8_g2_i4
TRINITY_DN80601_c1_g1_i4	TRINITY_DN87936_c8_g1_i2
TRINITY_DN80418_c10_g1_i5	TRINITY_DN86151_c10_g2_i5
TRINITY_DN93605_c1_g2_i11	TRINITY_DN86021_c5_g5_i5
TRINITY_DN92575_c5_g5_i1	TRINITY_DN85768_c21_g1_i5
TRINITY_DN86473_c5_g1_i1	TRINITY_DN89594_c2_g1_i10
TRINITY_DN82901_c10_g1_i6	TRINITY_DN92073_c7_g1_i3
TRINITY_DN86473_c5_g1_i2	TRINITY_DN79974_c0_g2_i8
TRINITY_DN91548_c12_g2_i4	TRINITY_DN80219_c1_g1_i3
TRINITY_DN88471_c2_g3_i2	TRINITY_DN93124_c1_g1_i6
TRINITY_DN81229_c3_g1_i1	TRINITY_DN84708_c6_g2_i1
TRINITY_DN86722_c7_g1_i4	TRINITY_DN81098_c13_g1_i2
TRINITY_DN88471_c2_g2_i8	TRINITY_DN88565_c11_g2_i2
TRINITY_DN93148_c9_g1_i34	TRINITY_DN93025_c5_g6_i1
TRINITY_DN81229_c2_g1_i1	TRINITY_DN90876_c10_g1_i2
TRINITY_DN74568_c4_g1_i2	TRINITY_DN89641_c5_g1_i1
TRINITY_DN91380_c13_g1_i4	TRINITY_DN72628_c12_g1_i1
TRINITY_DN92221_c13_g1_i1	TRINITY_DN92810_c0_g2_i4
TRINITY_DN80418_c10_g1_i2	TRINITY_DN74861_c6_g7_i1
TRINITY_DN88471_c2_g3_i1	TRINITY_DN75937_c2_g2_i2
TRINITY_DN92052_c4_g1_i8	TRINITY_DN93420_c3_g1_i2
TRINITY_DN83416_c10_g2_i6	TRINITY_DN93174_c0_g1_i22
TRINITY_DN90831_c5_g1_i12	TRINITY_DN92066_c5_g1_i9
TRINITY_DN90332_c5_g1_i3	TRINITY_DN93239_c4_g1_i6
TRINITY_DN92798_c8_g1_i2	TRINITY_DN93367_c10_g1_i8
TRINITY_DN92343_c5_g1_i4	TRINITY_DN83805_c14_g1_i4
TRINITY_DN82695_c4_g1_i7	TRINITY_DN89599_c4_g1_i14
TRINITY_DN89600_c0_g1_i3	TRINITY_DN84628_c8_g2_i2
	TRINITY_DN88448_c12_g1_i8
	TRINITY_DN81092_c8_g2_i1
	TRINITY_DN92506_c6_g1_i8
	TRINITY_DN80691_c4_g1_i2
	TRINITY_DN82218_c12_g1_i3
	TRINITY_DN91796_c11_g1_i3
	TRINITY_DN89025_c3_g3_i5
	TRINITY_DN72297_c9_g1_i1
	TRINITY_DN71712_c13_g1_i1
	TRINITY_DN86457_c5_g3_i3
	TRINITY_DN89680_c4_g1_i10
	TRINITY_DN83957_c6_g2_i7
	TRINITY_DN90125_c11_g1_i1
	TRINITY_DN89641_c0_g1_i4
	TRINITY_DN92506_c6_g1_i1
	TRINITY_DN88584_c3_g2_i4
	TRINITY_DN93342_c12_g1_i2
	TRINITY_DN92378_c1_g3_i2
	TRINITY_DN72534_c5_g2_i2
	TRINITY_DN84130_c4_g2_i19
	TRINITY_DN80779_c11_g2_i13
	TRINITY_DN77025_c11_g2_i1
	TRINITY_DN85560_c6_g3_i3
	TRINITY_DN73225_c14_g1_i2
	TRINITY_DN79107_c6_g1_i14
	TRINITY_DN91147_c9_g1_i6
	TRINITY_DN78389_c9_g1_i6
	TRINITY_DN76223_c12_g1_i3
	TRINITY_DN89025_c3_g3_i2
	TRINITY_DN76374_c8_g1_i4
	TRINITY_DN90515_c1_g1_i10
	TRINITY_DN90595_c13_g1_i1
	TRINITY_DN83012_c16_g1_i5
	TRINITY_DN84920_c15_g3_i2
	TRINITY_DN93364_c2_g2_i6
	TRINITY_DN90709_c1_g1_i12
	TRINITY_DN93288_c13_g1_i1
	TRINITY_DN93288_c11_g1_i4
	TRINITY_DN92506_c6_g1_i7
	TRINITY_DN76180_c10_g1_i1
	TRINITY_DN90630_c9_g1_i10
	TRINITY_DN89390_c1_g1_i8
	TRINITY_DN90515_c1_g1_i8
	TRINITY_DN92810_c0_g2_i1
	TRINITY_DN92832_c2_g1_i1
	TRINITY_DN71090_c0_g1_i3
	TRINITY_DN73011_c13_g3_i1
	TRINITY_DN75713_c11_g1_i3
	TRINITY_DN93475_c4_g1_i9
	TRINITY_DN81092_c8_g1_i1
	TRINITY_DN92460_c12_g1_i2
	TRINITY_DN92506_c6_g1_i9
	TRINITY_DN84010_c14_g1_i3
	TRINITY_DN82544_c12_g1_i1
	TRINITY_DN90125_c11_g2_i1
	TRINITY_DN91273_c9_g2_i1
	TRINITY_DN93445_c5_g1_i13
	TRINITY_DN87614_c8_g1_i1
	TRINITY_DN80486_c7_g1_i5
	TRINITY_DN90833_c7_g1_i10
	TRINITY_DN81647_c4_g2_i1
	TRINITY_DN88237_c18_g1_i1
	TRINITY_DN83954_c7_g1_i3
	TRINITY_DN83954_c7_g1_i5
	TRINITY_DN93024_c5_g1_i3
	TRINITY_DN91237_c5_g4_i7
	TRINITY_DN76726_c13_g2_i1
	TRINITY_DN93701_c4_g1_i14
	TRINITY_DN89641_c0_g1_i3
	TRINITY_DN93399_c3_g1_i1
	TRINITY_DN92810_c0_g2_i3
	TRINITY_DN83136_c13_g1_i1
	TRINITY_DN84409_c4_g1_i7
	TRINITY_DN83804_c8_g1_i3
	TRINITY_DN90630_c9_g1_i14
	TRINITY_DN92506_c6_g1_i3
	TRINITY_DN93024_c5_g1_i4
