# BUSCO version is: 5.7.1 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2024-01-08, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
774at6656	Complete	TRINITY_DN93543_c3_g1_i10:3-5816	1758.9	1287	https://v10-1.orthodb.org/?query=774at6656	WD40 repeat
980at6656	Complete	TRINITY_DN93731_c3_g2_i1:0-5134	1459.7	987	https://v10-1.orthodb.org/?query=980at6656	Leucine-rich repeat
997at6656	Complete	TRINITY_DN92722_c0_g1_i1:333-7454	3670.2	1782	https://v10-1.orthodb.org/?query=997at6656	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
1166at6656	Complete	TRINITY_DN92873_c0_g1_i5:1380-10070	2171.0	1678	https://v10-1.orthodb.org/?query=1166at6656	E3 ubiquitin ligase EDD, ubiquitin-associated domain
1885at6656	Missing
1990at6656	Complete	TRINITY_DN91022_c13_g5_i3:1-4341	1661.0	1194	https://v10-1.orthodb.org/?query=1990at6656	DnaJ domain
2148at6656	Missing
2456at6656	Complete	TRINITY_DN93566_c4_g2_i10:136-8571	2739.4	1968	https://v10-1.orthodb.org/?query=2456at6656	Translational activator Gcn1
2473at6656	Complete	TRINITY_DN93212_c1_g2_i5:2291-8627	1645.4	1304	https://v10-1.orthodb.org/?query=2473at6656	SNF2-related, N-terminal domain
3310at6656	Complete	TRINITY_DN77102_c13_g1_i6:153-5087	2696.5	1437	https://v10-1.orthodb.org/?query=3310at6656	Clathrin heavy chain
3585at6656	Complete	TRINITY_DN93322_c5_g1_i4:0-4405	1380.4	931	https://v10-1.orthodb.org/?query=3585at6656	Dbl homology (DH) domain
3644at6656	Complete	TRINITY_DN93209_c6_g1_i9:1-5298	938.4	844	https://v10-1.orthodb.org/?query=3644at6656	dDENN domain
4136at6656	Complete	TRINITY_DN87172_c5_g1_i2:38-2287	458.8	436	https://v10-1.orthodb.org/?query=4136at6656	Kelch repeat type 1
4227at6656	Complete	TRINITY_DN85442_c3_g2_i4:11-3862	1572.5	993	https://v10-1.orthodb.org/?query=4227at6656	uDENN domain
4864at6656	Missing
5277at6656	Complete	TRINITY_DN88790_c6_g1_i2:160-4428	560.6	507	https://v10-1.orthodb.org/?query=5277at6656	TRAPP III complex, Trs85
5616at6656	Complete	TRINITY_DN86809_c12_g1_i4:168-3713	2049.0	957	https://v10-1.orthodb.org/?query=5616at6656	Splicing factor 3B subunit 1
6453at6656	Complete	TRINITY_DN81558_c6_g1_i3:424-4644	1906.4	1149	https://v10-1.orthodb.org/?query=6453at6656	Sec7, C-terminal
6563at6656	Complete	TRINITY_DN80942_c12_g2_i3:219-3758	1584.0	972	https://v10-1.orthodb.org/?query=6563at6656	Transcription initiation factor TFIID subunit 2
6715at6656	Complete	TRINITY_DN89204_c5_g1_i8:570-4417	1610.1	1014	https://v10-1.orthodb.org/?query=6715at6656	TATA-binding protein interacting (TIP20)
6820at6656	Complete	TRINITY_DN84498_c11_g3_i3:530-3610	1471.5	840	https://v10-1.orthodb.org/?query=6820at6656	WD40/YVTN repeat-like-containing domain superfamily
7210at6656	Missing
8145at6656	Complete	TRINITY_DN91996_c9_g2_i18:1166-5201	830.8	794	https://v10-1.orthodb.org/?query=8145at6656	WASH complex subunit 7, central domain
8495at6656	Complete	TRINITY_DN93458_c10_g1_i5:261-4322	987.8	958	https://v10-1.orthodb.org/?query=8495at6656	Elongator complex protein 1
8847at6656	Complete	TRINITY_DN92399_c5_g2_i2:695-5863	1252.2	1031	https://v10-1.orthodb.org/?query=8847at6656	Sec7 domain
8913at6656	Complete	TRINITY_DN93494_c1_g1_i8:1682-5437	1021.0	707	https://v10-1.orthodb.org/?query=8913at6656	Ras guanine-nucleotide exchange factors catalytic domain
9647at6656	Complete	TRINITY_DN77581_c2_g5_i1:85-6306	1164.4	1113	https://v10-1.orthodb.org/?query=9647at6656	Integrator complex subunit 1
9648at6656	Complete	TRINITY_DN77616_c7_g1_i11:668-5929	1284.4	1027	https://v10-1.orthodb.org/?query=9648at6656	Anaphase-promoting complex subunit 1
10240at6656	Complete	TRINITY_DN86327_c7_g1_i7:374-3801	569.3	562	https://v10-1.orthodb.org/?query=10240at6656	Pleckstrin homology domain
10573at6656	Complete	TRINITY_DN89208_c0_g1_i1:203-2443	565.1	637	https://v10-1.orthodb.org/?query=10573at6656	EGF-like calcium-binding domain
11384at6656	Fragmented	TRINITY_DN87399_c5_g2_i2:33-1445	504.9	407	https://v10-1.orthodb.org/?query=11384at6656	Formin, FH3 domain
12029at6656	Complete	TRINITY_DN77773_c9_g1_i4:1342-4707	1312.6	792	https://v10-1.orthodb.org/?query=12029at6656	FACT complex subunit Spt16 domain
12174at6656	Complete	TRINITY_DN77312_c10_g1_i2:357-5306	1121.7	853	https://v10-1.orthodb.org/?query=12174at6656	Mediator complex subunit Med13, C-terminal
12383at6656	Complete	TRINITY_DN75122_c11_g1_i1:482-3023	927.2	537	https://v10-1.orthodb.org/?query=12383at6656	Helicase, C-terminal
12771at6656	Complete	TRINITY_DN91570_c5_g4_i1:420-2723	643.3	597	https://v10-1.orthodb.org/?query=12771at6656	Pep3/Vps18/deep orange
12846at6656	Complete	TRINITY_DN92321_c1_g2_i10:301-3093	628.4	488	https://v10-1.orthodb.org/?query=12846at6656	Rab-GTPase-TBC domain
13019at6656	Complete	TRINITY_DN92257_c8_g1_i9:594-3865	668.4	379	https://v10-1.orthodb.org/?query=13019at6656	WD40 repeat
13051at6656	Missing
13736at6656	Complete	TRINITY_DN81239_c14_g2_i2:518-3907	1659.6	875	https://v10-1.orthodb.org/?query=13736at6656	DNA2/NAM7 helicase, AAA domain
13833at6656	Complete	TRINITY_DN84589_c11_g1_i2:225-2648	466.4	449	https://v10-1.orthodb.org/?query=13833at6656	Tetratricopeptide repeat
13858at6656	Complete	TRINITY_DN69814_c0_g1_i1:182-2845	943.1	703	https://v10-1.orthodb.org/?query=13858at6656	WD40 repeat
13890at6656	Complete	TRINITY_DN93196_c7_g2_i7:331-2916	727.6	563	https://v10-1.orthodb.org/?query=13890at6656	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
13934at6656	Complete	TRINITY_DN80523_c6_g1_i3:214-3218	926.6	697	https://v10-1.orthodb.org/?query=13934at6656	WD40 repeat
14090at6656	Complete	TRINITY_DN93353_c6_g1_i6:188-3329	871.1	662	https://v10-1.orthodb.org/?query=14090at6656	UNC-45/Cro1/She4, central domain
14257at6656	Complete	TRINITY_DN92435_c7_g1_i1:331-3558	792.9	764	https://v10-1.orthodb.org/?query=14257at6656	Cysteine-rich Golgi apparatus protein 1 repeat
14447at6656	Complete	TRINITY_DN82246_c11_g1_i4:95-3750	405.2	476	https://v10-1.orthodb.org/?query=14447at6656	WW domain
14995at6656	Complete	TRINITY_DN90737_c8_g1_i4:540-4790	862.5	777	https://v10-1.orthodb.org/?query=14995at6656	TRAPP II complex, Trs120
15200at6656	Fragmented	TRINITY_DN91867_c8_g6_i1:2699-4447	877.4	504	https://v10-1.orthodb.org/?query=15200at6656	Exportin-1, C-terminal
15697at6656	Complete	TRINITY_DN83549_c14_g1_i7:173-3193	1117.9	698	https://v10-1.orthodb.org/?query=15697at6656	CLEC16A/TT9, N-terminal
15905at6656	Complete	TRINITY_DN78254_c5_g1_i6:174-2961	247.7	166	https://v10-1.orthodb.org/?query=15905at6656	SAC domain
16061at6656	Complete	TRINITY_DN86471_c6_g2_i1:457-2904	936.8	612	https://v10-1.orthodb.org/?query=16061at6656	DNA-directed RNA polymerase
16084at6656	Complete	TRINITY_DN88087_c5_g2_i5:105-4439	914.6	796	https://v10-1.orthodb.org/?query=16084at6656	Integrator complex subunit 2
16220at6656	Complete	TRINITY_DN92444_c0_g2_i1:152-3646	1421.7	918	https://v10-1.orthodb.org/?query=16220at6656	Aminoacyl-tRNA synthetase, class Ia
16630at6656	Complete	TRINITY_DN92661_c7_g2_i5:429-3617	958.8	820	https://v10-1.orthodb.org/?query=16630at6656	Symplekin/Pta1, N-terminal
16648at6656	Fragmented	TRINITY_DN93403_c5_g2_i1:1479-2210	168.7	130	https://v10-1.orthodb.org/?query=16648at6656	NHL repeat
17096at6656	Complete	TRINITY_DN86654_c11_g5_i1:269-3055	895.8	614	https://v10-1.orthodb.org/?query=17096at6656	Zinc finger, RING-CH-type
17122at6656	Complete	TRINITY_DN82544_c12_g1_i4:684-5699	988.3	946	https://v10-1.orthodb.org/?query=17122at6656	Mediator complex, subunit Med14
17128at6656	Complete	TRINITY_DN93096_c4_g1_i7:2594-8064	684.0	470	https://v10-1.orthodb.org/?query=17128at6656	Lipin, middle domain
17748at6656	Complete	TRINITY_DN89355_c9_g1_i3:2070-4928	1462.9	723	https://v10-1.orthodb.org/?query=17748at6656	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
18036at6656	Complete	TRINITY_DN93087_c14_g1_i16:924-4673	962.8	596	https://v10-1.orthodb.org/?query=18036at6656	Homeobox domain
18055at6656	Complete	TRINITY_DN91904_c2_g1_i12:482-3115	1145.2	645	https://v10-1.orthodb.org/?query=18055at6656	AP-1 complex subunit gamma
