#                                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23388at6656_38123_0:002f10|TRINITY_DN91497_c1_g3_i3:1122-1721|+ -            200 23388at6656          -            738     1e-70  235.8   2.4   1   1   1.4e-72   3.8e-70  233.9   2.4   227   392     2   200     1   200 0.88 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   1   5     2e-44   5.5e-42  140.8   0.0   347   482    10   167     4   172 0.87 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   2   5    0.0066       1.8    3.5   0.0   481   518   198   237   197   260 0.81 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   3   5      0.15        39   -0.9   0.0   545   566   370   391   348   403 0.84 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   4   5    0.0042       1.1    4.2   0.1   573   633   468   529   442   544 0.73 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i1:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   5   5   1.1e-11     3e-09   32.6   0.1   659   738   623   734   577   734 0.77 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   1   5     2e-44   5.5e-42  140.8   0.0   347   482    10   167     4   172 0.87 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   2   5    0.0066       1.8    3.5   0.0   481   518   198   237   197   260 0.81 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   3   5      0.15        39   -0.9   0.0   545   566   370   391   348   403 0.84 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   4   5    0.0042       1.1    4.2   0.1   573   633   468   529   442   544 0.73 -
23388at6656_136037_0:000a3c|TRINITY_DN91497_c1_g3_i2:10-2241|+  -            744 23388at6656          -            738   8.4e-56  186.4   3.6   5   5   1.1e-11     3e-09   32.6   0.1   659   738   623   734   577   734 0.77 -
23388at6656_1629725_0:00172c|TRINITY_DN91497_c1_g3_i3:37-1023|+ -            329 23388at6656          -            738   1.3e-44  149.5   0.0   1   2   7.9e-45   2.1e-42  142.1   0.0   348   482     2   158     1   163 0.87 -
23388at6656_1629725_0:00172c|TRINITY_DN91497_c1_g3_i3:37-1023|+ -            329 23388at6656          -            738   1.3e-44  149.5   0.0   2   2    0.0022      0.59    5.1   0.0   481   518   189   228   188   255 0.81 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i1:174-521|+  -            116 23388at6656          -            738   7.6e-42  140.3   0.1   1   1   3.1e-44   8.4e-42  140.2   0.1     2   105     5   115     4   116 0.91 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i2:242-589|+  -            116 23388at6656          -            738   7.6e-42  140.3   0.1   1   1   3.1e-44   8.4e-42  140.2   0.1     2   105     5   115     4   116 0.91 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i5:373-720|+  -            116 23388at6656          -            738   7.6e-42  140.3   0.1   1   1   3.1e-44   8.4e-42  140.2   0.1     2   105     5   115     4   116 0.91 -
23388at6656_197043_0:00479b|TRINITY_DN91497_c1_g1_i4:355-666|+  -            104 23388at6656          -            738   1.2e-36  123.2   0.2   1   1   4.5e-39   1.2e-36  123.1   0.2    18   105     9   103     1   104 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/23388at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/23388at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/23388at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:50 2026
# [ok]
