#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
359532at33208_7574_0:005035|TRINITY_DN93032_c15_g1_i6:111-1160|+    -            350 359532at33208        -            410  7.1e-136  450.4   2.2   1   1  5.9e-138  8.6e-136  450.1   2.2     1   316     1   345     1   349 0.91 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+   -            361 359532at33208        -            410   1.2e-22   77.4   4.7   1   3   0.00016     0.024   10.6   0.1   169   239    10    88     2    95 0.60 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+   -            361 359532at33208        -            410   1.2e-22   77.4   4.7   2   3   2.6e-11   3.8e-09   33.0   0.2   152   239    98   190    89   195 0.82 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+   -            361 359532at33208        -            410   1.2e-22   77.4   4.7   3   3   2.8e-12   4.2e-10   36.1   0.1   117   243   172   306   167   315 0.67 -
205220at33208_123851_0:00430a|TRINITY_DN75733_c10_g1_i6:195-1046|+  -            284 359532at33208        -            410     9e-22   74.6   0.7   1   2   2.8e-17   4.1e-15   52.6   0.7    65   244    40   222    28   224 0.79 -
205220at33208_123851_0:00430a|TRINITY_DN75733_c10_g1_i6:195-1046|+  -            284 359532at33208        -            410     9e-22   74.6   0.7   2   2   1.4e-09   2.1e-07   27.2   0.0   107   193   187   278   183   284 0.81 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+  -            309 359532at33208        -            410   7.2e-20   68.3   2.5   1   4      0.35        51   -0.4   0.0   173   196     1    26     1    35 0.71 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+  -            309 359532at33208        -            410   7.2e-20   68.3   2.5   2   4   1.5e-11   2.2e-09   33.8   0.0   146   246    37   143    23   147 0.80 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+  -            309 359532at33208        -            410   7.2e-20   68.3   2.5   3   4   6.2e-07   9.1e-05   18.5   0.2   146   242   140   250   137   253 0.74 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+  -            309 359532at33208        -            410   7.2e-20   68.3   2.5   4   4   9.6e-07   0.00014   17.9   0.1   170   244   227   301   226   308 0.69 -
361216at33208_1049336_0:00241b|TRINITY_DN89512_c2_g1_i1:1188-2822|- -            545 359532at33208        -            410   3.6e-18   62.7   0.5   1   2   2.7e-08     4e-06   23.0   0.1   171   242    71   144    65   148 0.72 -
361216at33208_1049336_0:00241b|TRINITY_DN89512_c2_g1_i1:1188-2822|- -            545 359532at33208        -            410   3.6e-18   62.7   0.5   2   2   3.4e-13     5e-11   39.2   0.1    78   208   136   272   134   303 0.72 -
361216at33208_116153_0:000a8d|TRINITY_DN86363_c5_g1_i30:571-1416|+  -            282 359532at33208        -            410   5.6e-18   62.1   2.5   1   2   1.1e-07   1.5e-05   21.1   0.0   113   189    11    94     4   100 0.80 -
361216at33208_116153_0:000a8d|TRINITY_DN86363_c5_g1_i30:571-1416|+  -            282 359532at33208        -            410   5.6e-18   62.1   2.5   2   2   1.3e-13   1.9e-11   40.5   0.8    95   241   122   270   117   279 0.74 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+  -            384 359532at33208        -            410   3.2e-17   59.6   2.9   1   4   2.9e-13   4.3e-11   39.4   0.1   118   239     4   139     1   146 0.74 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+  -            384 359532at33208        -            410   3.2e-17   59.6   2.9   2   4    0.0019      0.27    7.1   0.0   151   212   173   245   166   262 0.73 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+  -            384 359532at33208        -            410   3.2e-17   59.6   2.9   3   4     0.079        12    1.7   0.1   151   168   311   328   300   333 0.76 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+  -            384 359532at33208        -            410   3.2e-17   59.6   2.9   4   4    0.0012      0.17    7.8   0.0   160   188   334   366   329   382 0.74 -
361216at33208_121225_0:0026c1|TRINITY_DN79860_c10_g1_i6:4563-5567|- -            335 359532at33208        -            410   2.8e-15   53.2   3.6   1   2     3e-11   4.5e-09   32.7   0.2   112   240    18   153    13   157 0.71 -
361216at33208_121225_0:0026c1|TRINITY_DN79860_c10_g1_i6:4563-5567|- -            335 359532at33208        -            410   2.8e-15   53.2   3.6   2   2   1.4e-07   2.1e-05   20.7   0.3   148   248   159   275   153   331 0.73 -
409006at33208_29031_0:00078e|TRINITY_DN74425_c5_g1_i1:283-1857|+    -            525 359532at33208        -            410     7e-12   42.0   0.0   1   2   1.6e-09   2.4e-07   27.0   0.0    57   244   241   423   223   427 0.86 -
409006at33208_29031_0:00078e|TRINITY_DN74425_c5_g1_i1:283-1857|+    -            525 359532at33208        -            410     7e-12   42.0   0.0   2   2   5.7e-07   8.4e-05   18.7   0.0    98   215   382   499   375   505 0.80 -
359532at33208_121530_0:0028d7|TRINITY_DN88472_c10_g1_i2:523-873|+   -            117 359532at33208        -            410   1.1e-10   38.1   1.5   1   1   5.8e-12   8.5e-10   35.1   1.5   106   222     3   117     1   117 0.50 -
205220at33208_7536_0:0014ed|TRINITY_DN88150_c2_g3_i29:3621-4106|-   -            162 359532at33208        -            410   1.6e-10   37.5   0.0   1   2   2.4e-05    0.0035   13.3   0.0   177   223    15    58     5    64 0.84 -
205220at33208_7536_0:0014ed|TRINITY_DN88150_c2_g3_i29:3621-4106|-   -            162 359532at33208        -            410   1.6e-10   37.5   0.0   2   2   5.1e-08   7.4e-06   22.1   0.0   282   370    72   160    61   162 0.69 -
409006at33208_29031_0:00078e|TRINITY_DN88346_c7_g2_i3:1005-2462|-   -            486 359532at33208        -            410   3.8e-08   29.7   0.8   1   2   3.2e-06   0.00047   16.2   0.0   172   243   262   329   250   336 0.85 -
409006at33208_29031_0:00078e|TRINITY_DN88346_c7_g2_i3:1005-2462|-   -            486 359532at33208        -            410   3.8e-08   29.7   0.8   2   2    0.0022      0.32    6.9   0.0   199   250   333   383   330   389 0.85 -
409006at33208_29031_0:00078e|TRINITY_DN71507_c12_g2_i1:476-1918|+   -            481 359532at33208        -            410     4e-08   29.6   0.0   1   2    0.0078       1.1    5.0   0.0   180   245   214   284   208   299 0.80 -
409006at33208_29031_0:00078e|TRINITY_DN71507_c12_g2_i1:476-1918|+   -            481 359532at33208        -            410     4e-08   29.6   0.0   2   2   2.3e-07   3.3e-05   20.0   0.0   161   293   344   469   289   478 0.66 -
409006at33208_29031_0:00078e|TRINITY_DN81620_c12_g1_i4:881-2383|+   -            501 359532at33208        -            410   2.8e-06   23.5   0.0   1   2   0.00079      0.12    8.3   0.2    99   250   245   385   240   394 0.79 -
409006at33208_29031_0:00078e|TRINITY_DN81620_c12_g1_i4:881-2383|+   -            501 359532at33208        -            410   2.8e-06   23.5   0.0   2   2   1.8e-05    0.0026   13.7   0.0    98   218   385   501   378   501 0.89 -
409006at33208_29031_0:00078e|TRINITY_DN84186_c9_g1_i1:640-2427|+    -            596 359532at33208        -            410   4.5e-06   22.9   0.5   1   3      0.35        52   -0.4   0.0   219   251   310   339   296   380 0.77 -
409006at33208_29031_0:00078e|TRINITY_DN84186_c9_g1_i1:640-2427|+    -            596 359532at33208        -            410   4.5e-06   22.9   0.5   2   3   0.00024     0.034   10.1   0.1   199   250   382   432   357   471 0.84 -
409006at33208_29031_0:00078e|TRINITY_DN84186_c9_g1_i1:640-2427|+    -            596 359532at33208        -            410   4.5e-06   22.9   0.5   3   3   0.00056     0.083    8.8   0.0   160   245   486   568   475   576 0.82 -
205220at33208_7719_0:000327|TRINITY_DN87172_c5_g1_i2:335-1726|+     -            464 359532at33208        -            410   2.1e-05   20.6   0.8   1   3      0.52        75   -0.9   0.0   223   241   181   199   169   212 0.75 -
205220at33208_7719_0:000327|TRINITY_DN87172_c5_g1_i2:335-1726|+     -            464 359532at33208        -            410   2.1e-05   20.6   0.8   2   3   5.9e-05    0.0087   12.0   0.1   100   173   209   278   189   288 0.57 -
205220at33208_7719_0:000327|TRINITY_DN87172_c5_g1_i2:335-1726|+     -            464 359532at33208        -            410   2.1e-05   20.6   0.8   3   3    0.0062      0.91    5.4   0.0   180   240   378   441   361   450 0.74 -
409006at33208_29031_0:00078e|TRINITY_DN73758_c15_g1_i2:324-1862|+   -            513 359532at33208        -            410   8.2e-05   18.7   0.1   1   2     0.058       8.4    2.2   0.0   210   297   298   379   289   390 0.61 -
