#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 71018at6656          -            402  4.3e-118  393.8   1.7   1   1  1.8e-118    3e-117  391.0   1.7    98   402     1   359     1   359 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i10:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i11:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i13:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   2   3   1.9e-28   3.2e-27   94.5   0.1   278   380    72   174    72   176 0.98 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i14:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   3   3   6.8e-17   1.1e-15   56.5   0.4   277   386   155   268   153   289 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i16:104-970|-   -            289 71018at6656          -            402   7.3e-54  182.3   7.1   1   3     2e-14   3.4e-13   48.3   0.2   291   365     1    75     1    77 0.98 -
