#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 414579at33208        -            250    1e-110  368.0   4.6   1   1  8.3e-112  1.2e-110  367.8   4.6     1   250     9   277     9   277 0.93 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-       -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
