#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 45131at6656          -            346   1.2e-55  186.2   0.0   1   1   6.2e-57   1.4e-55  186.0   0.0     4   120    61   179    58   179 0.96 -
45131at6656_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+    -            112 45131at6656          -            346   2.4e-42  142.4   1.7   1   2   2.4e-27   5.3e-26   88.7   0.0   256   314     4    62     1    68 0.95 -
45131at6656_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+    -            112 45131at6656          -            346   2.4e-42  142.4   1.7   2   2   1.4e-16   3.2e-15   53.3   0.6   310   346    76   112    69   112 0.92 -
45131at6656_38123_0:000bea|TRINITY_DN74397_c12_g2_i1:120-359|+    -             80 45131at6656          -            346   1.3e-28   97.3   0.1   1   1   6.3e-30   1.4e-28   97.2   0.1   174   245     1    80     1    80 0.91 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 45131at6656          -            346   3.2e-28   96.0   0.4   1   3   7.7e-05    0.0017   14.7   0.0    88   124     1    37     1    46 0.89 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 45131at6656          -            346   3.2e-28   96.0   0.4   2   3   9.4e-18   2.1e-16   57.2   0.1     7   124    45   163    39   172 0.89 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 45131at6656          -            346   3.2e-28   96.0   0.4   3   3   6.7e-11   1.5e-09   34.6   0.0    15   119   137   242   137   244 0.87 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 45131at6656          -            346   4.2e-26   89.0   0.2   1   5     2e-09   4.4e-08   29.8   0.0    19   118    73   172    56   178 0.83 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 45131at6656          -            346   4.2e-26   89.0   0.2   2   5   0.00093     0.021   11.1   0.0    61   118   158   222   155   229 0.78 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 45131at6656          -            346   4.2e-26   89.0   0.2   3   5   4.9e-05    0.0011   15.3   0.1    40    97   228   284   205   297 0.80 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 45131at6656          -            346   4.2e-26   89.0   0.2   4   5     6e-09   1.3e-07   28.2   0.0    63   118   335   390   330   395 0.95 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 45131at6656          -            346   4.2e-26   89.0   0.2   5   5     0.027      0.61    6.3   0.0    83   112   397   426   392   429 0.87 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 45131at6656          -            346     8e-26   88.1   6.8   1   4   3.3e-16   7.4e-15   52.1   0.6     8   121     6   120     1   122 0.88 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 45131at6656          -            346     8e-26   88.1   6.8   2   4   3.8e-06   8.4e-05   19.0   0.0    73   122   115   163   115   174 0.89 -
