#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117586at6656_7004_0:0028f3|TRINITY_DN72266_c12_g1_i6:154-1347|-   -            398 117586at6656         -            306  1.3e-122  406.1  10.7   1   1  1.1e-121  5.6e-119  394.2  10.7     2   305    25   391    24   392 0.88 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i12:1053-2003|+ -            317 117586at6656         -            306   2.7e-13   47.1  17.0   1   2   7.6e-05     0.039   10.5   6.9     2    84    10    82     9    87 0.85 -
117586at6656_39758_0:0024d9|TRINITY_DN89306_c8_g2_i12:1053-2003|+ -            317 117586at6656         -            306   2.7e-13   47.1  17.0   2   2   2.3e-14   1.2e-11   41.7   2.5   217   288   237   312   206   315 0.84 -
117586at6656_88015_0:001124|TRINITY_DN86253_c3_g1_i3:700-1134|+   -            145 117586at6656         -            306   1.2e-10   38.4   0.2   1   1     3e-13   1.5e-10   38.1   0.2   209   289    58   142    38   145 0.77 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i1:1491-2486|-  -            332 117586at6656         -            306   3.2e-09   33.7   4.9   1   2    0.0068       3.4    4.1   2.6    58    84    71   101    27   104 0.67 -
117586at6656_39758_0:0024da|TRINITY_DN90373_c7_g2_i1:1491-2486|-  -            332 117586at6656         -            306   3.2e-09   33.7   4.9   2   2   2.8e-10   1.4e-07   28.3   0.0   199   287   239   332   235   332 0.82 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i3:458-2074|+    -            539 117586at6656         -            306   6.4e-09   32.7   6.3   1   2     0.014       6.9    3.1   1.1    35    87   254   309   233   368 0.68 -
164354at6656_7176_0:003cd5|TRINITY_DN89139_c9_g1_i3:458-2074|+    -            539 117586at6656         -            306   6.4e-09   32.7   6.3   2   2   1.8e-11   9.2e-09   32.2   0.3   216   287   463   538   450   539 0.83 -
117586at6656_39758_0:0024d9|TRINITY_DN87504_c1_g1_i3:607-1578|-   -            324 117586at6656         -            306   2.3e-07   27.6  13.2   1   2    0.0068       3.4    4.1   5.7     5    84    23    93    19   119 0.58 -
117586at6656_39758_0:0024d9|TRINITY_DN87504_c1_g1_i3:607-1578|-   -            324 117586at6656         -            306   2.3e-07   27.6  13.2   2   2   4.9e-10   2.5e-07   27.5   0.8   217   288   249   323   241   324 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/117586at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/117586at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/117586at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:07 2026
# [ok]
