#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 449139at33208        -            321  3.7e-158  523.1   1.0   1   1    2e-159  5.3e-158  522.6   1.0     6   320    68   415    65   415 0.91 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 449139at33208        -            321   9.2e-28   94.7   0.6   1   4   6.6e-08   1.8e-06   24.7   0.0   140   178    13    51    10    53 0.94 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 449139at33208        -            321   9.2e-28   94.7   0.6   2   4   4.1e-09   1.1e-07   28.7   0.0    92   174    53   131    50   138 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 449139at33208        -            321   9.2e-28   94.7   0.6   3   4     0.093       2.5    4.5   0.1   286   316   136   166   130   171 0.76 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 449139at33208        -            321   9.2e-28   94.7   0.6   4   4   4.8e-10   1.3e-08   31.8   0.0    68   165   197   290   186   292 0.91 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 449139at33208        -            321   7.4e-25   85.1   3.5   1   4   3.1e-06   8.4e-05   19.2   0.1   138   175     3    40     1    58 0.85 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 449139at33208        -            321   7.4e-25   85.1   3.5   2   4   6.1e-07   1.6e-05   21.6   0.1   111   173    66   127    43   131 0.88 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 449139at33208        -            321   7.4e-25   85.1   3.5   3   4   4.8e-11   1.3e-09   35.0   0.1    87   171   132   214   128   217 0.94 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 449139at33208        -            321   7.4e-25   85.1   3.5   4   4     0.008      0.22    8.0   0.0    94   127   292   325   242   327 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 449139at33208        -            321   1.5e-24   84.1   0.8   1   3   2.5e-12   6.6e-11   39.3   0.1    70   173    14   113     3   116 0.92 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 449139at33208        -            321   1.5e-24   84.1   0.8   2   3   2.1e-06   5.6e-05   19.8   0.0    87   172   115   197   113   200 0.92 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 449139at33208        -            321   1.5e-24   84.1   0.8   3   3   2.5e-07   6.8e-06   22.8   0.1    87   173   200   287   196   288 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 449139at33208        -            321   1.9e-23   80.5   5.3   1   3   8.2e-07   2.2e-05   21.1   0.0    23   175    72   224    61   236 0.88 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 449139at33208        -            321   1.9e-23   80.5   5.3   2   3   1.8e-11   4.7e-10   36.5   0.9    67   228   354   517   312   521 0.79 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 449139at33208        -            321   1.9e-23   80.5   5.3   3   3     2e-07   5.4e-06   23.2   0.0   101   173   531   599   519   615 0.51 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 449139at33208        -            321   4.5e-21   72.7   1.6   1   2   3.4e-10   9.2e-09   32.3   0.1    95   173     3    77     1    79 0.89 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 449139at33208        -            321   4.5e-21   72.7   1.6   2   2   1.3e-12   3.5e-11   40.2   0.2    86   172    78   160    76   178 0.90 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 449139at33208        -            321   1.3e-20   71.2   7.2   1   3   6.7e-10   1.8e-08   31.3   0.4    69   172    23   117    12   120 0.84 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 449139at33208        -            321   1.3e-20   71.2   7.2   2   3     6e-10   1.6e-08   31.4   0.1    72   174    64   159    63   164 0.89 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 449139at33208        -            321   1.3e-20   71.2   7.2   3   3   4.4e-08   1.2e-06   25.3   0.1   105   173   178   241   159   244 0.83 -
