#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 132857at6656         -            201   6.2e-70  231.9   4.8   1   1   8.1e-72   8.5e-70  231.4   4.8     1   201     9   240     9   240 0.88 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   3.6e-31  105.3  32.3   1   5   1.3e-12   1.4e-10   38.1   5.5    30   151   165   287   147   292 0.81 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   3.6e-31  105.3  32.3   2   5   4.5e-07   4.7e-05   20.0   1.2    98   151   273   333   273   340 0.85 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   3.6e-31  105.3  32.3   3   5   2.4e-12   2.5e-10   37.3   2.6    22   151   295   451   292   452 0.77 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   3.6e-31  105.3  32.3   4   5   1.6e-12   1.7e-10   37.8   6.6    23   152   413   567   412   573 0.79 -
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 132857at6656         -            201   3.6e-31  105.3  32.3   5   5   2.8e-06   0.00029   17.4   1.2    71   162   523   622   523   636 0.78 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     3e-24   82.7  24.8   1   4   3.2e-05    0.0033   14.0   0.2    68   129     8    78     1    81 0.63 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     3e-24   82.7  24.8   2   4     8e-10   8.4e-08   29.0   6.3    61   153    72   174    61   184 0.79 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     3e-24   82.7  24.8   3   4   9.8e-14     1e-11   41.8   3.6    54   175   177   314   172   319 0.78 -
56523at6656_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-     -            352 132857at6656         -            201     3e-24   82.7  24.8   4   4    0.0006     0.063    9.8   0.3    34    61   312   345   301   352 0.52 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 132857at6656         -            201   4.6e-21   72.3  16.4   1   2   2.5e-16   2.6e-14   50.2   7.2     6   153     7   164     2   170 0.75 -
