#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465703at33208_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+     -            281 465703at33208        -            212   2.3e-93  310.6   6.4   1   1   7.5e-95     4e-92  306.5   6.4     1   209     3   238     3   241 0.91 -
465703at33208_114398_0:0030a1|TRINITY_DN72204_c16_g3_i2:26-454|+     -            143 465703at33208        -            212   1.2e-39  135.0   0.3   1   1   2.8e-42   1.5e-39  134.7   0.3     1   113     3   128     3   141 0.90 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i10:6010-8690|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i10:6010-8690|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i10:6010-8690|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i11:6031-8711|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i11:6031-8711|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i11:6031-8711|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i13:5955-8635|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i13:5955-8635|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i13:5955-8635|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i15:5955-8435|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i15:5955-8435|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i15:5955-8435|- -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i1:6010-8690|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i1:6010-8690|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i1:6010-8690|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i7:5955-8635|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i7:5955-8635|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i7:5955-8635|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i8:6031-8711|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i8:6031-8711|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i8:6031-8711|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i9:6010-8490|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   1   3   1.5e-08   7.9e-06   24.5   0.2    71   155   127   210   117   234 0.81 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i9:6010-8490|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   2   3     0.049        26    3.2   0.2   118   192   374   453   367   465 0.66 -
108764at33208_294128_0:002810|TRINITY_DN88875_c11_g1_i9:6010-8490|-  -            827 465703at33208        -            212   1.9e-06   26.6   7.9   3   3       0.3   1.6e+02    0.6   0.3   110   150   597   641   569   648 0.77 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i10:250-1839|+    -            530 465703at33208        -            212   9.1e-06   24.3  11.9   1   6      0.45   2.4e+02    0.1   0.1   145   195    62   108    40   123 0.72 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i10:250-1839|+    -            530 465703at33208        -            212   9.1e-06   24.3  11.9   2   6      0.36   1.9e+02    0.4   0.0   167   196   149   178   135   185 0.86 -
