#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465092at33208_294128_0:002584|TRINITY_DN74081_c3_g1_i3:6-1286|-      -            427 465092at33208        -            222  4.4e-114  378.5   1.8   1   1  1.1e-116  5.2e-114  378.3   1.8     3   222     1   237     1   237 0.95 -
465092at33208_7493_0:0027c2|TRINITY_DN74081_c3_g1_i1:229-906|-       -            226 465092at33208        -            222  4.4e-107  355.6   1.3   1   1  1.1e-109    5e-107  355.5   1.3     3   211     1   226     1   226 0.95 -
465092at33208_158441_0:004340|TRINITY_DN85374_c13_g1_i10:2953-4914|- -            235 465092at33208        -            222   8.5e-49  165.1   1.2   1   1   2.3e-51   1.1e-48  164.7   1.2     3   215     2   232     1   235 0.87 -
430701at33208_69319_0:0015a8|TRINITY_DN85374_c13_g1_i7:2920-3651|-   -            244 465092at33208        -            222   3.7e-47  159.7   1.8   1   1     1e-49   4.8e-47  159.3   1.8     2   219     2   234     1   237 0.85 -
430701at33208_69319_0:0015a8|TRINITY_DN85374_c13_g1_i2:2920-7867|-   -            228 465092at33208        -            222   6.5e-43  145.8   3.6   1   2   5.9e-38   2.8e-35  120.8   0.1     2   139     2   153     1   159 0.85 -
430701at33208_69319_0:0015a8|TRINITY_DN85374_c13_g1_i2:2920-7867|-   -            228 465092at33208        -            222   6.5e-43  145.8   3.6   2   2     7e-09   3.3e-06   25.8   1.2   163   219   159   218   152   221 0.85 -
430701at33208_69319_0:0015a8|TRINITY_DN85374_c13_g1_i9:2654-7601|-   -            228 465092at33208        -            222   6.5e-43  145.8   3.6   1   2   5.9e-38   2.8e-35  120.8   0.1     2   139     2   153     1   159 0.85 -
430701at33208_69319_0:0015a8|TRINITY_DN85374_c13_g1_i9:2654-7601|-   -            228 465092at33208        -            222   6.5e-43  145.8   3.6   2   2     7e-09   3.3e-06   25.8   1.2   163   219   159   218   152   221 0.85 -
465092at33208_158441_0:004340|TRINITY_DN85374_c13_g1_i11:2953-3602|- -            213 465092at33208        -            222   1.5e-42  144.6   3.1   1   2   6.8e-38   3.3e-35  120.6   0.1     3   139     2   152     1   155 0.85 -
465092at33208_158441_0:004340|TRINITY_DN85374_c13_g1_i11:2953-3602|- -            213 465092at33208        -            222   1.5e-42  144.6   3.1   2   2   1.4e-08   6.6e-06   24.8   0.9   162   215   154   210   150   213 0.85 -
430701at33208_294128_0:0029c2|TRINITY_DN74283_c8_g3_i5:1285-1971|-   -            229 465092at33208        -            222   5.6e-29  100.2   0.5   1   1   1.6e-31   7.5e-29   99.8   0.5    29   221    14   226     4   227 0.85 -
465092at33208_10228_0:0015c9|TRINITY_DN71398_c12_g1_i3:250-834|+     -            195 465092at33208        -            222   1.3e-23   82.8   1.0   1   1     3e-26   1.5e-23   82.6   1.0    31   222     1   195     1   195 0.86 -
465092at33208_114398_0:001ed1|TRINITY_DN85374_c13_g1_i5:2708-3004|-  -             99 465092at33208        -            222   6.6e-15   54.2   0.8   1   1   1.5e-17   7.2e-15   54.1   0.8   114   211     1    99     1    99 0.87 -
430701at33208_59894_0:002df6|TRINITY_DN89958_c15_g1_i3:109-411|-     -            101 465092at33208        -            222   8.9e-14   50.6   0.3   1   1   6.6e-16   3.2e-13   48.7   0.3    45   132     1   100     1   101 0.80 -
430701at33208_59894_0:002df6|TRINITY_DN89958_c15_g1_i6:125-427|-     -            101 465092at33208        -            222   8.9e-14   50.6   0.3   1   1   6.6e-16   3.2e-13   48.7   0.3    45   132     1   100     1   101 0.80 -
430701at33208_59894_0:002df6|TRINITY_DN89958_c15_g1_i8:172-474|-     -            101 465092at33208        -            222   8.9e-14   50.6   0.3   1   1   6.6e-16   3.2e-13   48.7   0.3    45   132     1   100     1   101 0.80 -
561878at33208_13686_0:000f17|TRINITY_DN87389_c7_g2_i1:480-1469|-     -            330 465092at33208        -            222   3.7e-07   28.9   0.0   1   1   1.5e-09   7.1e-07   28.0   0.0    45   132    86   168    74   234 0.80 -
561878at33208_13686_0:000f17|TRINITY_DN87389_c7_g2_i3:480-1469|-     -            330 465092at33208        -            222   3.7e-07   28.9   0.0   1   1   1.5e-09   7.1e-07   28.0   0.0    45   132    86   168    74   234 0.80 -
