#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66028at6656_438502_0:002670|TRINITY_DN83891_c8_g7_i1:258-1295|-   -            346 66028at6656          -            273  4.9e-167  551.0   2.4   1   1  1.9e-167  1.2e-165  546.5   2.4     1   273     8   323     8   323 0.95 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-   -            179 66028at6656          -            273   6.9e-13   45.5   2.2   1   1   4.3e-14   2.7e-12   43.6   2.3    94   250    15   179    10   179 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   8.3e-13   45.3   5.0   1   6     0.069       4.4    3.5   0.0   218   255   104   141    97   146 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   8.3e-13   45.3   5.0   2   6   3.4e-06   0.00022   17.7   0.0   209   256   148   195   143   206 0.91 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   8.3e-13   45.3   5.0   3   6    0.0043      0.27    7.5   0.3   217   252   206   241   200   261 0.82 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   8.3e-13   45.3   5.0   4   6     0.026       1.7    4.9   0.2   197   244   230   279   227   289 0.84 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   8.3e-13   45.3   5.0   5   6    0.0008      0.05    9.9   0.0   214   253   294   333   268   342 0.83 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 66028at6656          -            273   8.3e-13   45.3   5.0   6   6      0.16        10    2.3   0.2   219   248   356   385   352   386 0.60 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 66028at6656          -            273   9.9e-13   45.0   1.2   1   3   2.1e-09   1.3e-07   28.2   0.1   116   252    13   146     5   148 0.78 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 66028at6656          -            273   9.9e-13   45.0   1.2   2   3     0.002      0.13    8.6   0.1   210   240   147   177   145   197 0.82 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 66028at6656          -            273   9.9e-13   45.0   1.2   3   3    0.0049      0.31    7.3   0.0   176   242   199   267   170   272 0.75 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 66028at6656          -            273     2e-10   37.5   0.9   1   2   3.9e-08   2.4e-06   24.0   0.2    92   255    59   224    45   233 0.81 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 66028at6656          -            273     2e-10   37.5   0.9   2   2   0.00021     0.013   11.8   0.1   188   234   245   292   224   313 0.77 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 66028at6656          -            273   2.7e-10   37.0   0.6   1   2   0.00062     0.039   10.3   0.0    97   166     4    71     1    79 0.87 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 66028at6656          -            273   2.7e-10   37.0   0.6   2   2   4.4e-10   2.8e-08   30.4   0.4    94   250    45   202    44   208 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 66028at6656          -            273   9.6e-10   35.2   2.3   1   3    0.0001    0.0064   12.8   0.2    91   119    47    75    39    94 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 66028at6656          -            273   9.6e-10   35.2   2.3   2   3   1.8e-07   1.1e-05   21.9   0.0   184   260    94   170    87   177 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 66028at6656          -            273   9.6e-10   35.2   2.3   3   3       4.3   2.7e+02   -2.3   0.0   213   251   216   258   208   263 0.60 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 66028at6656          -            273     1e-09   35.1   1.4   1   2   2.1e-08   1.3e-06   24.9   0.3    84   249   112   283    99   293 0.79 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 66028at6656          -            273     1e-09   35.1   1.4   2   2    0.0018      0.11    8.8   0.0    95   119   307   331   300   342 0.89 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   5.4e-09   32.8   5.2   1   4     0.015      0.92    5.8   0.1   208   251   140   183   128   187 0.87 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   5.4e-09   32.8   5.2   2   4       4.7     3e+02   -2.5   0.0   211   246   268   302   267   308 0.77 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   5.4e-09   32.8   5.2   3   4      0.17        11    2.3   0.1   111   175   298   357   277   359 0.73 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 66028at6656          -            273   5.4e-09   32.8   5.2   4   4   5.8e-09   3.6e-07   26.8   0.4   103   251   332   482   326   485 0.87 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 66028at6656          -            273   8.5e-09   32.1   3.5   1   3      0.14       8.9    2.5   0.0    63    87    15    39     3    49 0.70 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 66028at6656          -            273   8.5e-09   32.1   3.5   2   3   2.2e-07   1.4e-05   21.6   0.2    92   234    63   198    54   210 0.80 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-  -            326 66028at6656          -            273   8.5e-09   32.1   3.5   3   3    0.0054      0.34    7.2   0.1   108   165   240   292   230   316 0.77 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 66028at6656          -            273     1e-08   31.8   2.1   1   3     1e-06   6.6e-05   19.4   0.0   179   250    41   110    11   113 0.82 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 66028at6656          -            273     1e-08   31.8   2.1   2   3   0.00069     0.044   10.1   0.3   210   248   113   153   110   159 0.80 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 66028at6656          -            273     1e-08   31.8   2.1   3   3      0.71        45    0.2   0.0   219   255   166   203   150   208 0.74 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+   -            203 66028at6656          -            273   1.6e-08   31.2   0.8   1   1   3.2e-10     2e-08   30.9   0.8    96   259     2   165     1   177 0.85 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   4.2e-08   29.8   0.3   1   4      0.13       8.1    2.7   0.0   211   250    46    84    42    92 0.88 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   4.2e-08   29.8   0.3   2   4     0.071       4.5    3.5   0.0   193   250    72   127    68   132 0.72 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   4.2e-08   29.8   0.3   3   4   2.4e-05    0.0015   14.9   0.1   209   253   129   173   112   197 0.83 -
