#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
85509at6656_1629725_0:0006ba|TRINITY_DN125161_c0_g1_i1:62-499|+   -            146 85509at6656          -            253   1.8e-77  259.6   0.2   1   1   6.9e-80     2e-77  259.4   0.2     1   131     2   138     2   145 0.95 -
105170at6656_294128_0:001483|TRINITY_DN85540_c5_g1_i3:89-1831|+   -            581 85509at6656          -            253   4.6e-37  127.1   0.4   1   3   1.6e-39   4.6e-37  127.1   0.4     8   115    16   122    10   134 0.90 -
105170at6656_294128_0:001483|TRINITY_DN85540_c5_g1_i3:89-1831|+   -            581 85509at6656          -            253   4.6e-37  127.1   0.4   2   3       1.6   4.8e+02   -0.7   0.2   224   247   289   313   208   362 0.60 -
105170at6656_294128_0:001483|TRINITY_DN85540_c5_g1_i3:89-1831|+   -            581 85509at6656          -            253   4.6e-37  127.1   0.4   3   3         6   1.8e+03   -2.6   0.4   205   235   542   571   456   578 0.58 -
105170at6656_294128_0:001483|TRINITY_DN85540_c5_g1_i2:89-1720|+   -            544 85509at6656          -            253   1.6e-36  125.4   4.5   1   2   5.4e-39   1.6e-36  125.4   4.5     8   117    16   124    10   281 0.63 -
105170at6656_294128_0:001483|TRINITY_DN85540_c5_g1_i2:89-1720|+   -            544 85509at6656          -            253   1.6e-36  125.4   4.5   2   2       9.7   2.9e+03   -3.2   1.5   204   234   504   533   410   541 0.52 -
85509at6656_294128_0:0003e3|TRINITY_DN77137_c14_g3_i2:659-1381|-  -            241 85509at6656          -            253   1.9e-35  121.8   0.0   1   1   9.5e-38   2.8e-35  121.3   0.0   121   242     7   139     1   143 0.89 -
85509at6656_197043_0:000181|TRINITY_DN77137_c14_g3_i1:28-540|-    -            171 85509at6656          -            253   4.3e-35  120.7   0.1   1   1     2e-37     6e-35  120.2   0.1   125   242     2   130     1   134 0.89 -
105170at6656_7539_0:0024bb|TRINITY_DN71548_c9_g1_i2:1521-1850|-   -            110 85509at6656          -            253   9.3e-21   73.7   0.0   1   1   3.7e-23   1.1e-20   73.5   0.0    12    84    17    89     7   101 0.93 -
105170at6656_7539_0:0024bb|TRINITY_DN71548_c9_g1_i4:869-1198|-    -            110 85509at6656          -            253   9.3e-21   73.7   0.0   1   1   3.7e-23   1.1e-20   73.5   0.0    12    84    17    89     7   101 0.93 -
105170at6656_7539_0:0024bb|TRINITY_DN71548_c9_g1_i6:1461-1790|-   -            110 85509at6656          -            253   9.3e-21   73.7   0.0   1   1   3.7e-23   1.1e-20   73.5   0.0    12    84    17    89     7   101 0.93 -
85509at6656_56086_0:001882|TRINITY_DN81564_c14_g1_i1:1105-1335|-  -             77 85509at6656          -            253     1e-19   70.3   0.1   1   1   3.6e-22   1.1e-19   70.3   0.1    15    76    10    71     3    77 0.93 -
85509at6656_56086_0:001882|TRINITY_DN81564_c14_g1_i2:894-1124|-   -             77 85509at6656          -            253     1e-19   70.3   0.1   1   1   3.6e-22   1.1e-19   70.3   0.1    15    76    10    71     3    77 0.93 -
85509at6656_7536_0:0000b9|TRINITY_DN90756_c15_g1_i1:136-387|+     -             84 85509at6656          -            253   1.8e-19   69.5   0.1   1   1   6.5e-22   1.9e-19   69.4   0.1    14    80    16    82     2    84 0.92 -
85509at6656_7536_0:0000b9|TRINITY_DN90756_c15_g1_i3:136-387|+     -             84 85509at6656          -            253   1.8e-19   69.5   0.1   1   1   6.5e-22   1.9e-19   69.4   0.1    14    80    16    82     2    84 0.92 -
85509at6656_7536_0:0000b9|TRINITY_DN90756_c15_g1_i4:136-387|+     -             84 85509at6656          -            253   1.8e-19   69.5   0.1   1   1   6.5e-22   1.9e-19   69.4   0.1    14    80    16    82     2    84 0.92 -
105170at6656_6973_0:0042a5|TRINITY_DN71548_c9_g1_i5:125-340|-     -             72 85509at6656          -            253   3.2e-18   65.4   0.4   1   1   1.2e-20   3.6e-18   65.3   0.4    12    62    18    68     6    71 0.93 -
105170at6656_418985_0:000c6d|TRINITY_DN87013_c6_g2_i1:336-521|-   -             62 85509at6656          -            253   4.5e-16   58.4   0.8   1   1   1.7e-18     5e-16   58.2   0.8    15    60    13    59     5    61 0.90 -
105170at6656_418985_0:000c6d|TRINITY_DN87013_c6_g2_i4:1313-1498|- -             62 85509at6656          -            253   4.5e-16   58.4   0.8   1   1   1.7e-18     5e-16   58.2   0.8    15    60    13    59     5    61 0.90 -
105170at6656_418985_0:000c6d|TRINITY_DN82240_c9_g3_i1:1-195|+     -             65 85509at6656          -            253   7.1e-16   57.7   0.1   1   1   2.6e-18   7.5e-16   57.6   0.1    26    75     1    50     1    59 0.86 -
105170at6656_418985_0:000c6d|TRINITY_DN82240_c9_g3_i2:1-195|+     -             65 85509at6656          -            253   7.1e-16   57.7   0.1   1   1   2.6e-18   7.5e-16   57.6   0.1    26    75     1    50     1    59 0.86 -
105170at6656_418985_0:000c6d|TRINITY_DN82240_c9_g3_i4:1-195|+     -             65 85509at6656          -            253   7.1e-16   57.7   0.1   1   1   2.6e-18   7.5e-16   57.6   0.1    26    75     1    50     1    59 0.86 -
105170at6656_168631_0:001951|TRINITY_DN87013_c6_g2_i5:155-361|-   -             69 85509at6656          -            253   6.7e-15   54.5   1.0   1   1   2.5e-17   7.3e-15   54.4   1.0    15    59    24    69    14    69 0.89 -
106116at6656_535359_0:001b58|TRINITY_DN87013_c6_g2_i7:1575-4607|- -           1011 85509at6656          -            253   3.2e-14   52.3   0.2   1   2   1.1e-16   3.2e-14   52.3   0.2    15    61   437   484   429   507 0.88 -
106116at6656_535359_0:001b58|TRINITY_DN87013_c6_g2_i7:1575-4607|- -           1011 85509at6656          -            253   3.2e-14   52.3   0.2   2   2         4   1.2e+03   -2.0   0.4   122   168   667   715   652   720 0.72 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i10:1165-2214|-  -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i12:981-2030|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i13:691-1740|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i14:1710-2759|-  -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i15:2130-3179|-  -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i17:1006-2055|-  -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i1:1190-2239|-   -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i2:692-1741|-    -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
85509at6656_13037_0:000340|TRINITY_DN90297_c4_g2_i3:995-2044|-    -            350 85509at6656          -            253   7.8e-12   44.5   0.8   1   1   4.1e-14   1.2e-11   43.9   0.8    16    62     1    47     1    54 0.95 -
