#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
441575at33208_6850_0:003d9d|TRINITY_DN85185_c9_g4_i1:802-3240|-   -            813 441575at33208        -            626  2.9e-128  428.1   4.0   1   1  1.4e-127  7.9e-125  416.8   4.0     8   621    29   797     4   805 0.81 -
441575at33208_123851_0:000b71|TRINITY_DN85185_c9_g4_i2:63-1127|-  -            355 441575at33208        -            626   4.1e-96  321.9   0.1   1   1     1e-98   5.7e-96  321.4   0.1    16   328     2   345     1   349 0.94 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   1   8      0.23   1.3e+02   -0.2   0.1   571   617   110   156    61   185 0.69 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   2   8      0.13        74    0.6   0.0   207   235   253   281   238   288 0.79 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   3   8   1.6e-08     9e-06   23.5   0.0    51   227   331   509   295   521 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   4   8   0.00014      0.08   10.4   0.0   116   200   558   642   531   644 0.88 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   5   8       2.3   1.3e+03   -3.5   0.0   510   548   714   751   707   762 0.71 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   6   8     0.074        42    1.5   0.1   539   577   792   830   784   873 0.68 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   7   8       3.1   1.8e+03   -3.9   0.1   292   319   889   916   888   921 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i7:83-4492|-   -           1470 441575at33208        -            626   4.6e-13   47.6   1.9   8   8     0.091        51    1.2   0.0    82   170  1134  1220  1107  1251 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   1   7       1.2   6.9e+02   -2.6   0.1   291   324   298   331   214   341 0.70 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   2   7      0.48   2.7e+02   -1.2   0.1   571   617  1299  1345  1252  1372 0.70 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   3   7      0.25   1.4e+02   -0.3   0.0   207   235  1442  1470  1428  1477 0.79 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   4   7     4e-08   2.3e-05   22.1   0.0    51   227  1520  1698  1510  1710 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   5   7   0.00028      0.16    9.5   0.0   116   200  1747  1831  1720  1833 0.88 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   6   7      0.15        83    0.5   0.1   539   577  1981  2019  1973  2061 0.68 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i10:136-8571|- -           2659 441575at33208        -            626   8.4e-12   43.4   1.8   7   7      0.19   1.1e+02    0.1   0.0    83   170  2324  2409  2308  2440 0.79 -
