#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
261284at33208_166423_0:00043c|TRINITY_DN81449_c6_g2_i1:2-1210|+   -            403 261284at33208        -            648  3.1e-101  338.5   7.4   1   1  4.3e-101   6.4e-98  327.5   7.4   320   637     1   384     1   398 0.84 -
261284at33208_294128_0:00304e|TRINITY_DN81449_c6_g1_i1:5-1306|-   -            434 261284at33208        -            648   9.3e-92  307.1   0.1   1   3   8.1e-45   1.2e-41  141.6   0.0    19   162    36   202    19   207 0.86 -
261284at33208_294128_0:00304e|TRINITY_DN81449_c6_g1_i1:5-1306|-   -            434 261284at33208        -            648   9.3e-92  307.1   0.1   2   3     3e-14   4.6e-11   40.5   0.1   162   206   221   270   218   288 0.86 -
261284at33208_294128_0:00304e|TRINITY_DN81449_c6_g1_i1:5-1306|-   -            434 261284at33208        -            648   9.3e-92  307.1   0.1   3   3   9.8e-39   1.5e-35  121.5   0.0   211   324   302   433   293   434 0.87 -
261284at33208_6973_0:0060d8|TRINITY_DN81449_c6_g1_i3:5-1066|-     -            354 261284at33208        -            648   2.4e-78  262.8   0.2   1   3   3.6e-31   5.5e-28   96.5   0.0    59   162     5   122     1   126 0.87 -
261284at33208_6973_0:0060d8|TRINITY_DN81449_c6_g1_i3:5-1066|-     -            354 261284at33208        -            648   2.4e-78  262.8   0.2   2   3   2.2e-14   3.3e-11   41.0   0.1   162   206   141   190   138   209 0.86 -
261284at33208_6973_0:0060d8|TRINITY_DN81449_c6_g1_i3:5-1066|-     -            354 261284at33208        -            648   2.4e-78  262.8   0.2   3   3   6.4e-39   9.6e-36  122.1   0.0   211   324   222   353   212   354 0.87 -
261284at33208_37621_0:002cc7|TRINITY_DN81449_c6_g2_i2:173-415|+   -             81 261284at33208        -            648   2.6e-26   90.9   0.2   1   1   1.9e-29   2.9e-26   90.8   0.2   377   450     4    81     2    81 0.94 -
365323at33208_218467_0:001992|TRINITY_DN92335_c1_g2_i1:223-1344|+ -            374 261284at33208        -            648     0.091    9.8   0.3   1   1   8.6e-05      0.13    9.3   0.3    37    76   152   194   115   222 0.80 -
365323at33208_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+ -            374 261284at33208        -            648     0.091    9.8   0.3   1   1   8.6e-05      0.13    9.3   0.3    37    76   152   194   115   222 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/261284at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/261284at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/261284at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:46 2026
# [ok]
