#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
621808at33208_294128_0:003f1b|TRINITY_DN85658_c12_g3_i1:164-466|+    -            101 621808at33208        -             82   9.2e-52  172.4   2.4   1   1   4.6e-54   1.1e-51  172.2   2.4     1    82    14    95    14    95 0.99 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i3:275-571|-     -             99 621808at33208        -             82   3.4e-11   42.3   0.3   1   1   3.1e-13   7.2e-11   41.3   0.3     4    82     7    88     5    88 0.75 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i5:29-382|-      -            118 621808at33208        -             82   5.9e-11   41.6   0.3   1   1   5.4e-13   1.3e-10   40.6   0.3     4    82    26   107    24   107 0.74 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i6:275-628|-     -            118 621808at33208        -             82   5.9e-11   41.6   0.3   1   1   5.4e-13   1.3e-10   40.6   0.3     4    82    26   107    24   107 0.74 -
621808at33208_166361_0:0018cf|TRINITY_DN75996_c5_g1_i1:153-347|+     -             65 621808at33208        -             82   3.1e-08   32.9   0.2   1   1   3.2e-10   7.4e-08   31.7   0.2    15    80     1    62     1    64 0.82 -
628082at33208_294128_0:003f8a|TRINITY_DN87195_c13_g1_i1:527-772|-    -             82 621808at33208        -             82     5e-08   32.2   0.1   1   1   2.4e-10   5.5e-08   32.1   0.1     4    47    10    53     8    79 0.92 -
617441at33208_88015_0:0003f7|TRINITY_DN81250_c1_g1_i1:147-323|-      -             59 621808at33208        -             82   1.2e-07   31.0   0.0   1   1   5.7e-10   1.3e-07   30.9   0.0    15    47     3    35     1    44 0.92 -
617441at33208_88015_0:0003f7|TRINITY_DN81250_c1_g1_i7:235-411|-      -             59 621808at33208        -             82   1.2e-07   31.0   0.0   1   1   5.7e-10   1.3e-07   30.9   0.0    15    47     3    35     1    44 0.92 -
621808at33208_13686_0:001c78|TRINITY_DN88950_c2_g1_i1:316-477|+      -             54 621808at33208        -             82   3.5e-06   26.3   0.0   1   1   1.8e-08   4.2e-06   26.0   0.0     2    46     3    53     2    54 0.84 -
618339at33208_294128_0:003796|TRINITY_DN85050_c11_g6_i1:1174-1527|-  -            118 621808at33208        -             82     3e-05   23.3   0.0   1   1   2.3e-07   5.3e-05   22.5   0.0    11    81    35   100    25   101 0.68 -
618339at33208_74869_0:00160a|TRINITY_DN85050_c11_g6_i3:415-672|-     -             86 621808at33208        -             82   6.5e-05   22.2   0.0   1   1   3.5e-07   8.2e-05   21.9   0.0     9    46    41    77    32    85 0.85 -
