#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
147873at33208_438503_0:00162f|TRINITY_DN88427_c12_g1_i2:75-2320|+   -            683 147873at33208        -            566    2e-268  888.9  53.1   1   1  1.1e-269  4.4e-267  884.5  53.1     1   565     9   660     9   661 0.93 -
107151at33208_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 147873at33208        -            566   1.5e-28   97.0   8.2   1   4   7.3e-12   2.9e-09   33.4   0.2    65   262   291   480   273   494 0.77 -
107151at33208_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 147873at33208        -            566   1.5e-28   97.0   8.2   2   4   1.8e-12     7e-10   35.4   0.0    70   211   527   671   520   696 0.86 -
107151at33208_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 147873at33208        -            566   1.5e-28   97.0   8.2   3   4   6.7e-10   2.7e-07   26.9   1.2    51   211   711   871   698   872 0.86 -
107151at33208_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 147873at33208        -            566   1.5e-28   97.0   8.2   4   4   0.00047      0.19    7.6   0.3   105   167   829   891   814   905 0.83 -
147873at33208_1629725_0:0021b9|TRINITY_DN90358_c6_g1_i5:3086-4696|- -            537 147873at33208        -            566   3.1e-19   66.3  21.3   1   5   5.5e-10   2.2e-07   27.1   2.0    88   196     5   115     1   125 0.84 -
147873at33208_1629725_0:0021b9|TRINITY_DN90358_c6_g1_i5:3086-4696|- -            537 147873at33208        -            566   3.1e-19   66.3  21.3   2   5    0.0039       1.5    4.5   0.5   154   225   152   228   141   250 0.59 -
147873at33208_1629725_0:0021b9|TRINITY_DN90358_c6_g1_i5:3086-4696|- -            537 147873at33208        -            566   3.1e-19   66.3  21.3   3   5   1.9e-09   7.7e-07   25.3   0.6    68   134   303   373   292   379 0.86 -
147873at33208_1629725_0:0021b9|TRINITY_DN90358_c6_g1_i5:3086-4696|- -            537 147873at33208        -            566   3.1e-19   66.3  21.3   4   5   7.2e-05     0.029   10.3   0.2    64   147   388   471   376   481 0.81 -
147873at33208_1629725_0:0021b9|TRINITY_DN90358_c6_g1_i5:3086-4696|- -            537 147873at33208        -            566   3.1e-19   66.3  21.3   5   5   9.9e-05     0.039    9.8   0.0    83   134   480   533   471   537 0.85 -
147873at33208_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 147873at33208        -            566   2.9e-11   40.0   9.6   1   2   2.8e-08   1.1e-05   21.5   0.7    67   214     6   160     1   171 0.77 -
147873at33208_30069_0:002af7|TRINITY_DN89121_c9_g1_i9:2396-3697|-   -            434 147873at33208        -            566   2.9e-11   40.0   9.6   2   2     3e-08   1.2e-05   21.4   2.5    62   204   256   403   207   420 0.63 -
147873at33208_591936_0:0050db|TRINITY_DN83114_c7_g1_i2:208-939|-    -            244 147873at33208        -            566   1.2e-08   31.3   4.7   1   2    0.0014      0.57    6.0   0.2    62    98     5    41     1    63 0.52 -
147873at33208_591936_0:0050db|TRINITY_DN83114_c7_g1_i2:208-939|-    -            244 147873at33208        -            566   1.2e-08   31.3   4.7   2   2   1.4e-08   5.6e-06   22.5   0.2   384   480   136   236   129   240 0.78 -
118209at33208_30025_0:00082f|TRINITY_DN74618_c9_g1_i1:889-1617|+    -            243 147873at33208        -            566   0.00033   16.7   0.0   1   2     0.045        18    1.0   0.0   408   478    57   127    38   134 0.75 -
118209at33208_30025_0:00082f|TRINITY_DN74618_c9_g1_i1:889-1617|+    -            243 147873at33208        -            566   0.00033   16.7   0.0   2   2   7.5e-06     0.003   13.5   0.0    55   132   143   221   131   242 0.82 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 147873at33208        -            566    0.0026   13.7   0.0   1   2   0.00016     0.065    9.1   0.0    59   162    62   165    35   173 0.85 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+   -            284 147873at33208        -            566    0.0026   13.7   0.0   2   2   9.2e-05     0.036    9.9   0.0    82   165   119   202   108   219 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/147873at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/147873at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/147873at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:25 2026
# [ok]
