#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 24255at6656          -            481    7e-149  494.1  15.2   1   1  1.4e-146  3.4e-145  481.9  15.2     1   475    10   558    10   562 0.84 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   1   7   8.2e-07     2e-05   21.0   0.0   225   266     2    43     1    44 0.93 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   2   7   5.9e-08   1.4e-06   24.8   0.0   224   266    43    85    40    86 0.94 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   3   7   1.9e-10   4.7e-09   33.0   0.0   224   266    85   127    84   129 0.96 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   4   7   4.8e-07   1.2e-05   21.8   0.0   226   268   129   171   126   174 0.95 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   5   7   2.1e-05    0.0005   16.4   0.0   231   266   177   212   173   215 0.91 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   6   7   0.00035    0.0084   12.3   0.0   224   264   212   255   211   258 0.82 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 24255at6656          -            481   2.6e-40  136.0   2.4   7   7     0.064       1.6    4.9   0.0   224   253   257   288   252   289 0.85 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 24255at6656          -            481   1.7e-32  110.3   9.3   1   4     3e-05   0.00073   15.8   0.0   223   266    11    54     4    55 0.90 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 24255at6656          -            481   1.7e-32  110.3   9.3   2   4   1.7e-10   4.1e-09   33.2   0.1   223   266    53    96    50    97 0.96 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 24255at6656          -            481   1.7e-32  110.3   9.3   3   4   5.6e-12   1.4e-10   38.0   0.1   224   266    96   138    95   139 0.96 -
