#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 578734at33208        -            193   1.9e-59  199.3   7.8   1   1   8.2e-61   7.8e-59  197.3   7.8     3   193     6   238     1   238 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   1   9   2.9e-10   2.8e-08   32.4   2.2    32   132    86   192    78   194 0.73 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   2   9   6.9e-05    0.0066   14.9   0.0    70   111   190   234   185   238 0.84 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   3   9   1.1e-08     1e-06   27.3   1.2    67   148   233   324   231   326 0.84 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   4   9   3.5e-06   0.00033   19.1   0.3    72   147   308   394   302   395 0.80 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   5   9   1.3e-09   1.2e-07   30.3   0.7    73   148   333   418   329   420 0.89 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   6   9   2.8e-09   2.6e-07   29.2   1.0    72   149   356   442   353   443 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   7   9     5e-09   4.7e-07   28.4   3.7    66   149   396   488   395   490 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   8   9   7.5e-08   7.2e-06   24.5   1.3    67   146   420   508   418   513 0.87 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i1:2432-4117|-   -            562 578734at33208        -            193   6.7e-37  125.8  62.4   9   9   1.4e-06   0.00013   20.4   1.2    68   146   444   532   442   538 0.81 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i2:785-2335|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   1   5   0.00038     0.036   12.5   0.2   117   149     3    35     1    36 0.93 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i2:785-2335|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   2   5   5.6e-06   0.00053   18.4   0.3    66   111    35    83    35    85 0.89 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i2:785-2335|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   3   5   3.4e-10   3.2e-08   32.2   2.9    66   150    81   174    67   176 0.84 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i2:785-2335|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   4   5   1.5e-07   1.4e-05   23.6   0.7    72   150   178   266   173   283 0.80 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i2:785-2335|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   5   5   3.4e-15   3.2e-13   48.5   0.8    29   172   347   499   320   504 0.83 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i3:439-1989|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   1   5   0.00038     0.036   12.5   0.2   117   149     3    35     1    36 0.93 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i3:439-1989|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   2   5   5.6e-06   0.00053   18.4   0.3    66   111    35    83    35    85 0.89 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i3:439-1989|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   3   5   3.4e-10   3.2e-08   32.2   2.9    66   150    81   174    67   176 0.84 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i3:439-1989|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   4   5   1.5e-07   1.4e-05   23.6   0.7    72   150   178   266   173   283 0.80 -
234290at33208_6198_0:00070b|TRINITY_DN91669_c1_g1_i3:439-1989|+      -            517 578734at33208        -            193   4.3e-35  119.9  24.6   5   5   3.4e-15   3.2e-13   48.5   0.8    29   172   347   499   320   504 0.83 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   1   8   3.5e-10   3.3e-08   32.2   2.2    32   132   165   271   158   273 0.72 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   2   8   9.9e-05    0.0094   14.4   0.0    70   111   269   313   262   315 0.84 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   3   8   1.1e-08     1e-06   27.3   1.0    67   148   312   403   310   406 0.84 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   4   8   4.2e-06    0.0004   18.8   0.3    72   147   387   473   381   474 0.80 -
