#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 83755at6656          -            256  1.3e-122  405.3   0.7   1   1  3.8e-123  8.6e-122  402.6   0.7     1   256    40   346    40   346 0.90 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 83755at6656          -            256   1.1e-46  156.5  14.3   1   2   2.7e-19   6.1e-18   62.3   2.0   101   238     6   141     4   142 0.92 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 83755at6656          -            256   1.1e-46  156.5  14.3   2   2   6.3e-33   1.4e-31  107.0   4.9    37   246    44   279    43   289 0.83 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 83755at6656          -            256   4.7e-29   98.8   0.6   1   4   0.00021    0.0048   13.5   0.1   180   246    63   129    54   137 0.86 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 83755at6656          -            256   4.7e-29   98.8   0.6   2   4   4.3e-21   9.6e-20   68.2   0.0   100   235   160   293   130   298 0.82 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 83755at6656          -            256   4.7e-29   98.8   0.6   3   4      0.42       9.4    2.7   0.0   147   168   298   319   289   322 0.80 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 83755at6656          -            256   4.7e-29   98.8   0.6   4   4    0.0019     0.043   10.4   0.0   115   163   302   356   299   358 0.79 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 83755at6656          -            256   7.3e-29   98.1   5.3   1   3   2.4e-13   5.4e-12   42.9   0.1   131   236    97   195    85   210 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 83755at6656          -            256   7.3e-29   98.1   5.3   2   3   4.3e-09   9.8e-08   28.9   0.4    24    90   217   288   213   300 0.88 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 83755at6656          -            256   7.3e-29   98.1   5.3   3   3   6.1e-07   1.4e-05   21.9   0.0    37   199   359   417   316   429 0.54 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 83755at6656          -            256   1.3e-28   97.3   2.6   1   4   5.6e-06   0.00013   18.7   0.0   134   167     1    34     1    42 0.68 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 83755at6656          -            256   1.3e-28   97.3   2.6   2   4   4.3e-05   0.00098   15.8   0.0    38    68    43    73    40    78 0.90 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 83755at6656          -            256   1.3e-28   97.3   2.6   3   4     5e-06   0.00011   18.9   0.0    35    69    82   116    74   121 0.60 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 83755at6656          -            256   1.3e-28   97.3   2.6   4   4   2.2e-08   4.9e-07   26.6   0.1    27   102   113   203   112   203 0.77 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 83755at6656          -            256   6.5e-27   91.7   3.0   1   3   3.6e-06   8.1e-05   19.3   0.1   194   251   231   290   225   294 0.88 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 83755at6656          -            256   6.5e-27   91.7   3.0   2   3   5.6e-14   1.3e-12   44.9   0.1   101   233   266   398   264   399 0.85 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 83755at6656          -            256   6.5e-27   91.7   3.0   3   3   6.8e-12   1.5e-10   38.1   0.2    37   163   390   503   384   504 0.89 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 83755at6656          -            256   3.8e-25   85.9   3.3   1   2   0.00033    0.0074   12.9   0.0    39    71    12    44     7    52 0.88 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 83755at6656          -            256   3.8e-25   85.9   3.3   2   2   4.1e-21   9.3e-20   68.3   2.6    37   238    52   276    49   284 0.77 -
