#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 361100at33208        -            270  4.2e-131  433.6   5.5   1   1  4.2e-132    9e-131  432.5   5.5     1   270    10   312    10   312 0.92 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270     2e-32  110.0   4.0   1   6   1.9e-08   4.1e-07   27.0   0.0    20   144    51   181    41   185 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270     2e-32  110.0   4.0   2   6   1.1e-06   2.4e-05   21.2   0.0    50   123   170   243   162   262 0.89 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270     2e-32  110.0   4.0   3   6   2.4e-06   5.1e-05   20.1   0.0     6   155   317   471   313   481 0.77 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270     2e-32  110.0   4.0   4   6     0.012      0.26    8.0   0.1   184   218   482   516   474   520 0.84 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270     2e-32  110.0   4.0   5   6   1.7e-08   3.7e-07   27.1   0.1   183   260   523   611   519   618 0.69 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 361100at33208        -            270     2e-32  110.0   4.0   6   6      0.81        17    2.0   0.0    79   100   627   648   624   667 0.75 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 361100at33208        -            270   1.1e-31  107.6   3.1   1   3   3.1e-10   6.6e-09   32.9   0.6   193   269     5    92     2    93 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 361100at33208        -            270   1.1e-31  107.6   3.1   2   3   6.5e-15   1.4e-13   48.2   0.0     2   111    97   207    96   219 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 361100at33208        -            270   1.1e-31  107.6   3.1   3   3   2.8e-12     6e-11   39.6   0.1     2   129   139   271   138   288 0.75 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 361100at33208        -            270   5.1e-28   95.5   0.1   1   5   0.00085     0.018   11.8   0.0   182   217    11    46     7    50 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 361100at33208        -            270   5.1e-28   95.5   0.1   2   5    0.0013     0.028   11.1   0.0   178   216    49    87    45    91 0.87 -
