#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
159231at6656_294128_0:003f1b|TRINITY_DN85658_c12_g3_i1:164-466|+   -            101 159231at6656         -             79   1.9e-45  152.3   0.8   1   1   6.4e-48   2.2e-45  152.1   0.8     1    79    14    98    14    98 0.96 -
157486at6656_294128_0:002944|TRINITY_DN81250_c1_g1_i3:275-571|-    -             99 159231at6656         -             79   4.1e-12   45.5   0.8   1   1   5.5e-14   1.9e-11   43.4   0.8     3    77     6    89     4    91 0.72 -
157486at6656_294128_0:002944|TRINITY_DN81250_c1_g1_i5:29-382|-     -            118 159231at6656         -             79   7.5e-12   44.6   0.8   1   1     1e-13   3.4e-11   42.5   0.8     3    77    25   108    23   110 0.72 -
157486at6656_294128_0:002944|TRINITY_DN81250_c1_g1_i6:275-628|-    -            118 159231at6656         -             79   7.5e-12   44.6   0.8   1   1     1e-13   3.4e-11   42.5   0.8     3    77    25   108    23   110 0.72 -
157851at6656_294128_0:003796|TRINITY_DN85050_c11_g6_i1:1174-1527|- -            118 159231at6656         -             79   8.2e-08   31.7   0.0   1   1   3.2e-10   1.1e-07   31.3   0.0    11    78    35   103    25   104 0.84 -
157486at6656_88015_0:0003f7|TRINITY_DN81250_c1_g1_i1:147-323|-     -             59 159231at6656         -             79   1.1e-07   31.4   0.0   1   1   3.2e-10   1.1e-07   31.3   0.0    15    48     3    35     1    49 0.86 -
157486at6656_88015_0:0003f7|TRINITY_DN81250_c1_g1_i7:235-411|-     -             59 159231at6656         -             79   1.1e-07   31.4   0.0   1   1   3.2e-10   1.1e-07   31.3   0.0    15    48     3    35     1    49 0.86 -
159231at6656_438502_0:001f2d|TRINITY_DN87195_c13_g1_i1:527-745|-   -             73 159231at6656         -             79   4.6e-07   29.3   0.1   1   1   1.7e-09   5.7e-07   29.0   0.0     4    48     1    44     1    60 0.91 -
149977at6656_294128_0:0021ef|TRINITY_DN87165_c7_g1_i5:200-421|+    -             74 159231at6656         -             79   1.7e-06   27.5   0.5   1   1   6.9e-09   2.4e-06   27.0   0.5    11    76    11    72     6    74 0.89 -
149977at6656_294128_0:0021ef|TRINITY_DN87165_c7_g1_i6:197-418|+    -             74 159231at6656         -             79   1.7e-06   27.5   0.5   1   1   6.9e-09   2.4e-06   27.0   0.5    11    76    11    72     6    74 0.89 -
159231at6656_166361_0:0018cf|TRINITY_DN75996_c5_g1_i1:153-347|+    -             65 159231at6656         -             79   1.9e-06   27.3   0.2   1   1   6.5e-09   2.2e-06   27.1   0.2    15    75     1    63     1    65 0.89 -
157851at6656_74869_0:00160a|TRINITY_DN85050_c11_g6_i3:415-672|-    -             86 159231at6656         -             79   6.4e-06   25.6   0.0   1   1   2.3e-08   7.9e-06   25.3   0.0    11    47    42    78    31    85 0.86 -
149977at6656_294128_0:0021ef|TRINITY_DN87165_c7_g1_i2:197-601|+    -            135 159231at6656         -             79   1.1e-05   25.0   0.3   1   2   3.1e-08   1.1e-05   25.0   0.3    11    76    11    72     6    75 0.88 -
149977at6656_294128_0:0021ef|TRINITY_DN87165_c7_g1_i2:197-601|+    -            135 159231at6656         -             79   1.1e-05   25.0   0.3   2   2       9.5   3.3e+03   -2.3   0.1    46    46    98    98    86   117 0.49 -
149977at6656_294128_0:0021ef|TRINITY_DN87165_c7_g1_i3:200-604|+    -            135 159231at6656         -             79   1.1e-05   25.0   0.3   1   2   3.1e-08   1.1e-05   25.0   0.3    11    76    11    72     6    75 0.88 -
149977at6656_294128_0:0021ef|TRINITY_DN87165_c7_g1_i3:200-604|+    -            135 159231at6656         -             79   1.1e-05   25.0   0.3   2   2       9.5   3.3e+03   -2.3   0.1    46    46    98    98    86   117 0.49 -
157486at6656_294128_0:002944|TRINITY_DN81250_c1_g1_i4:17-199|-     -             61 159231at6656         -             79     9e-05   22.0   0.5   1   1   1.3e-06   0.00043   19.8   0.5    34    77     1    51     1    53 0.67 -
157579at6656_294128_0:0028c4|TRINITY_DN85605_c15_g1_i3:192-479|+   -             96 159231at6656         -             79   0.00013   21.5   0.2   1   1   6.5e-07   0.00022   20.7   0.2    16    77    13    71     4    73 0.85 -
157579at6656_294128_0:0028c4|TRINITY_DN85605_c15_g1_i4:192-479|+   -             96 159231at6656         -             79   0.00013   21.5   0.2   1   1   6.5e-07   0.00022   20.7   0.2    16    77    13    71     4    73 0.85 -
