#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
356334at33208_29159_0:0051cd|TRINITY_DN91570_c5_g4_i1:423-2723|-   -            767 356334at33208        -            730  1.8e-182  607.5  13.5   1   1  1.2e-183  8.4e-181  602.0  13.5   162   723    69   753     6   760 0.81 -
356334at33208_6669_0:0036b5|TRINITY_DN91570_c5_g7_i1:1-423|+       -            141 356334at33208        -            730   1.5e-21   75.5   0.0   1   1   2.5e-24   1.8e-21   75.3   0.0    22   120     1   126     1   135 0.80 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i4:1006-2933|-   -            635 356334at33208        -            730   0.00037   18.0   2.5   1   1   7.4e-07   0.00051   17.5   2.5   628   675   228   279   196   314 0.82 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i3:2202-4943|-   -            914 356334at33208        -            730   0.00079   16.9   2.4   1   3      0.89   6.2e+02   -2.6   0.0   121   148   182   210   165   222 0.77 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i3:2202-4943|-   -            914 356334at33208        -            730   0.00079   16.9   2.4   2   3      0.96   6.7e+02   -2.7   0.1   382   382   479   479   325   556 0.49 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i3:2202-4943|-   -            914 356334at33208        -            730   0.00079   16.9   2.4   3   3   1.1e-06   0.00079   16.9   2.4   628   675   797   848   765   882 0.82 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i2:1006-4617|-   -           1204 356334at33208        -            730    0.0012   16.3   2.4   1   2       1.4   9.7e+02   -3.2   0.0   121   148   182   210   173   219 0.75 -
227087at33208_7004_0:00461f|TRINITY_DN86386_c9_g1_i2:1006-4617|-   -           1204 356334at33208        -            730    0.0012   16.3   2.4   2   2   1.7e-06    0.0012   16.3   2.4   629   675   798   848   766   882 0.83 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i10:2349-2645|- -             99 356334at33208        -            730      0.38    8.0   1.5   1   1   0.00063      0.44    7.8   1.5   647   683    21    56    17    70 0.81 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i2:2349-2645|-  -             99 356334at33208        -            730      0.38    8.0   1.5   1   1   0.00063      0.44    7.8   1.5   647   683    21    56    17    70 0.81 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i4:2349-2645|-  -             99 356334at33208        -            730      0.38    8.0   1.5   1   1   0.00063      0.44    7.8   1.5   647   683    21    56    17    70 0.81 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i5:2349-2645|-  -             99 356334at33208        -            730      0.38    8.0   1.5   1   1   0.00063      0.44    7.8   1.5   647   683    21    56    17    70 0.81 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i6:2349-2645|-  -             99 356334at33208        -            730      0.38    8.0   1.5   1   1   0.00063      0.44    7.8   1.5   647   683    21    56    17    70 0.81 -
527406at33208_48498_0:002814|TRINITY_DN85076_c9_g3_i9:2349-2645|-  -             99 356334at33208        -            730      0.38    8.0   1.5   1   1   0.00063      0.44    7.8   1.5   647   683    21    56    17    70 0.81 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i1:1337-3319|-  -            661 356334at33208        -            730      0.68    7.2  11.6   1   2     0.011       7.3    3.8   0.6   629   700    60   132    32   149 0.60 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i1:1337-3319|-  -            661 356334at33208        -            730      0.68    7.2  11.6   2   2    0.0007      0.48    7.7   4.7   616   677   338   399   332   440 0.80 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i4:989-2971|-   -            661 356334at33208        -            730      0.68    7.2  11.6   1   2     0.011       7.3    3.8   0.6   629   700    60   132    32   149 0.60 -
527406at33208_48498_0:0005e5|TRINITY_DN89522_c6_g1_i4:989-2971|-   -            661 356334at33208        -            730      0.68    7.2  11.6   2   2    0.0007      0.48    7.7   4.7   616   677   338   399   332   440 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/356334at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/356334at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/356334at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:49 2026
# [ok]
