#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107353at6656_91411_0:001757|TRINITY_DN85362_c8_g2_i4:128-1450|+    -            198 107353at6656         -            205   3.9e-22   76.0   0.1   1   1   2.8e-22   2.9e-20   69.9   0.1    20   161    40   194     1   198 0.73 -
107353at6656_286706_0:002598|TRINITY_DN85362_c8_g2_i1:887-1351|+   -            155 107353at6656         -            205   8.8e-20   68.3   0.0   1   1   1.2e-21   1.3e-19   67.8   0.0    26   157     5   149     1   154 0.84 -
107353at6656_286706_0:002598|TRINITY_DN85362_c8_g2_i2:846-1310|+   -            155 107353at6656         -            205   8.8e-20   68.3   0.0   1   1   1.2e-21   1.3e-19   67.8   0.0    26   157     5   149     1   154 0.84 -
107353at6656_286706_0:002598|TRINITY_DN85362_c8_g2_i3:939-1403|+   -            155 107353at6656         -            205   8.8e-20   68.3   0.0   1   1   1.2e-21   1.3e-19   67.8   0.0    26   157     5   149     1   154 0.84 -
107353at6656_166361_0:002bc3|TRINITY_DN71187_c0_g1_i1:1206-1940|-  -            245 107353at6656         -            205   8.7e-12   42.2   2.8   1   1   3.9e-13     4e-11   40.1   2.8     3   181     2   220     1   245 0.69 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i4:1048-1915|-  -            252 107353at6656         -            205   8.7e-12   42.2   0.9   1   1   5.7e-13   5.8e-11   39.5   0.9    10   154     7   185     1   218 0.70 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i1:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   1   2      0.22        23    1.7   0.1    10    24     7    21     1    24 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i1:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   2   2   2.3e-10   2.3e-08   31.0   0.8    41   154    89   222    77   256 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i2:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   1   2      0.22        23    1.7   0.1    10    24     7    21     1    24 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i2:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   2   2   2.3e-10   2.3e-08   31.0   0.8    41   154    89   222    77   256 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i3:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   1   2      0.22        23    1.7   0.1    10    24     7    21     1    24 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i3:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   2   2   2.3e-10   2.3e-08   31.0   0.8    41   154    89   222    77   256 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i5:1015-1881|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   1   2      0.22        23    1.7   0.1    10    24     7    21     1    24 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i5:1015-1881|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   2   2   2.3e-10   2.3e-08   31.0   0.8    41   154    89   222    77   256 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i6:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   1   2      0.22        23    1.7   0.1    10    24     7    21     1    24 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i6:1048-1914|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   2   2   2.3e-10   2.3e-08   31.0   0.8    41   154    89   222    77   256 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i7:1015-1881|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   1   2      0.22        23    1.7   0.1    10    24     7    21     1    24 0.74 -
107353at6656_51655_0:0020b5|TRINITY_DN88129_c11_g1_i7:1015-1881|-  -            289 107353at6656         -            205   4.4e-09   33.4   3.3   2   2   2.3e-10   2.3e-08   31.0   0.8    41   154    89   222    77   256 0.74 -
107353at6656_104452_0:0015c5|TRINITY_DN90466_c14_g1_i4:1950-2918|- -            323 107353at6656         -            205   6.5e-08   29.6   3.1   1   2   1.4e-05    0.0014   15.4   1.3     2    85    19   127    18   146 0.65 -
107353at6656_104452_0:0015c5|TRINITY_DN90466_c14_g1_i4:1950-2918|- -            323 107353at6656         -            205   6.5e-08   29.6   3.1   2   2   0.00036     0.037   10.8   0.0    87   184   200   304   186   313 0.68 -
107353at6656_104452_0:0015c5|TRINITY_DN90466_c14_g1_i5:1950-2918|- -            323 107353at6656         -            205   6.5e-08   29.6   3.1   1   2   1.4e-05    0.0014   15.4   1.3     2    85    19   127    18   146 0.65 -
107353at6656_104452_0:0015c5|TRINITY_DN90466_c14_g1_i5:1950-2918|- -            323 107353at6656         -            205   6.5e-08   29.6   3.1   2   2   0.00036     0.037   10.8   0.0    87   184   200   304   186   313 0.68 -
