#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 327301at33208        -            257   1.1e-71  240.1   0.0   1   1   1.1e-72   1.9e-71  239.3   0.0     2   249    11   295    10   299 0.86 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 327301at33208        -            257   9.7e-26   89.5   1.7   1   6    0.0066      0.11   10.7   0.0   219   246     6    33     1    45 0.62 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 327301at33208        -            257   9.7e-26   89.5   1.7   2   6     0.021      0.36    9.0   0.0    30   243    44    72    36    82 0.68 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 327301at33208        -            257   9.7e-26   89.5   1.7   3   6   2.5e-07   4.2e-06   25.2   0.1    28    69    84   125    71   129 0.87 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 327301at33208        -            257   9.7e-26   89.5   1.7   4   6   2.5e-05   0.00042   18.7   0.0    29    64   127   162   124   170 0.90 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 327301at33208        -            257   9.7e-26   89.5   1.7   5   6     0.016      0.27    9.5   0.0    33    66   173   206   166   212 0.87 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 327301at33208        -            257   9.7e-26   89.5   1.7   6   6    0.0078      0.13   10.5   0.0   189   244   226   283   218   284 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   1   7    0.0062       0.1   10.8   0.0    33   246    18    46    10    55 0.58 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   2   7     0.019      0.33    9.2   0.0    30   243    57    85    46    95 0.69 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   3   7   2.7e-07   4.5e-06   25.1   0.0    28    69    97   138    86   143 0.88 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   4   7   2.5e-05   0.00042   18.6   0.0    29    64   140   175   137   184 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   5   7     0.016      0.26    9.5   0.0    33    66   186   219   177   225 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   6   7   0.00032    0.0054   15.0   0.0     2    63   188   258   187   269 0.75 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 327301at33208        -            257     1e-24   86.2   1.3   7   7      0.25       4.2    5.5   0.0   189   239   239   291   231   292 0.66 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 327301at33208        -            257   6.8e-20   70.4   5.4   1   5      0.16       2.7    6.2   0.1    78    93    19    34     5    44 0.78 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 327301at33208        -            257   6.8e-20   70.4   5.4   2   5   0.00027    0.0046   15.2   0.0   216   247    89   120    86   130 0.75 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 327301at33208        -            257   6.8e-20   70.4   5.4   3   5    0.0004    0.0067   14.7   0.1   219   243   134   158   126   164 0.89 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 327301at33208        -            257   6.8e-20   70.4   5.4   4   5      0.24       4.1    5.6   0.0   226   245   203   222   194   226 0.83 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 327301at33208        -            257   6.8e-20   70.4   5.4   5   5     0.032      0.54    8.4   0.0   219   246   238   265   228   265 0.81 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   1.2e-16   59.8   5.0   1   5      0.11       1.9    6.7   0.0   219   244    11    36     2    39 0.69 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   1.2e-16   59.8   5.0   2   5   0.00082     0.014   13.7   0.0    27    70    49    92    37    97 0.86 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   1.2e-16   59.8   5.0   3   5   0.00068     0.011   13.9   0.0    28    62    94   128    85   140 0.77 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   1.2e-16   59.8   5.0   4   5   0.00074     0.012   13.8   0.0     2    57   146   212   145   215 0.79 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 327301at33208        -            257   1.2e-16   59.8   5.0   5   5     0.043      0.73    8.0   0.1   230   245   310   325   259   327 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257   2.6e-16   58.6   0.3   1   4   4.3e-09   7.3e-08   31.0   0.1     5    96    62   173    58   189 0.69 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257   2.6e-16   58.6   0.3   2   4      0.86        14    3.8   0.1    76    95   195   213   180   229 0.56 -
