#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 357580at33208        -            253  3.7e-119  395.4   0.4   1   1  4.7e-120  7.2e-119  394.5   0.4     1   253    49   345    49   345 0.92 -
357580at33208_199890_0:0013c2|TRINITY_DN76940_c7_g1_i1:568-1023|+   -            152 357580at33208        -            253   3.8e-69  231.6   0.0   1   1   2.9e-70   4.5e-69  231.3   0.0   123   253    11   151     2   151 0.94 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 357580at33208        -            253   2.2e-42  143.9   7.7   1   4   4.3e-21   6.6e-20   70.3   1.7   102   248     5   153     1   158 0.85 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 357580at33208        -            253   2.2e-42  143.9   7.7   2   4   3.4e-13   5.3e-12   44.4   0.1   132   242    82   188    74   192 0.88 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 357580at33208        -            253   2.2e-42  143.9   7.7   3   4   3.1e-12   4.8e-11   41.2   0.0   145   245   137   233   136   242 0.87 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 357580at33208        -            253   2.2e-42  143.9   7.7   4   4     0.012      0.18    9.8   0.0   202   249   232   280   228   284 0.45 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 357580at33208        -            253   5.7e-39  132.7   4.5   1   2     9e-23   1.4e-21   75.8   0.9   103   245     2   145     1   149 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 357580at33208        -            253   5.7e-39  132.7   4.5   2   2   2.7e-17   4.2e-16   57.8   0.1   138   244   169   274   145   285 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 357580at33208        -            253   5.7e-39  132.7   4.5   1   2     9e-23   1.4e-21   75.8   0.9   103   245     2   145     1   149 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 357580at33208        -            253   5.7e-39  132.7   4.5   2   2   2.7e-17   4.2e-16   57.8   0.1   138   244   169   274   145   285 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 357580at33208        -            253   5.7e-39  132.7   4.5   1   2     9e-23   1.4e-21   75.8   0.9   103   245     2   145     1   149 0.94 -
