#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-      -            156 111730at33208        -            629   1.2e-76  254.0   0.4   1   1   1.8e-77   1.3e-76  253.8   0.4   161   311     2   156     1   156 0.96 -
111730at33208_176946_0:001a89|TRINITY_DN78597_c13_g5_i1:7-555|-      -            183 111730at33208        -            629   3.4e-69  229.3   0.0   1   1   5.2e-70     4e-69  229.1   0.0     1   161     1   183     1   183 0.90 -
111730at33208_10224_0:003992|TRINITY_DN78597_c13_g4_i1:5-715|+       -            237 111730at33208        -            629   3.5e-46  153.3   4.5   1   1   1.5e-45   1.1e-44  148.3   4.5   479   626    27   207    19   210 0.87 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 111730at33208        -            629     5e-29   96.6   6.5   1   2   3.8e-06   2.9e-05   18.1   0.0   165   225     1    78     1    80 0.73 -
380583at33208_6669_0:003f2e|TRINITY_DN86682_c13_g1_i6:628-2067|-     -            285 111730at33208        -            629     5e-29   96.6   6.5   2   2   6.4e-26   4.9e-25   83.5   4.7    46   264    54   284    35   285 0.85 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 111730at33208        -            629   6.7e-26   86.3   9.7   1   3   8.8e-17   6.7e-16   53.3   2.2    87   196     2   118     1   125 0.88 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 111730at33208        -            629   6.7e-26   86.3   9.7   2   3   1.5e-07   1.1e-06   22.8   0.1   161   234   125   204   118   242 0.65 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 111730at33208        -            629   6.7e-26   86.3   9.7   3   3   2.7e-05   0.00021   15.3   0.3   143   193   237   289   221   289 0.89 -
380583at33208_6945_0:0047e3|TRINITY_DN73621_c6_g1_i3:74-811|+        -            246 111730at33208        -            629   2.9e-19   64.4   0.2   1   2   2.5e-06   1.9e-05   18.8   0.0   128   194    10    77     5    84 0.92 -
380583at33208_6945_0:0047e3|TRINITY_DN73621_c6_g1_i3:74-811|+        -            246 111730at33208        -            629   2.9e-19   64.4   0.2   2   2   7.8e-14   5.9e-13   43.6   0.0    86   228    88   242    83   245 0.84 -
111730at33208_9258_0:002637|TRINITY_DN78597_c13_g2_i1:80-409|+       -            110 111730at33208        -            629   5.2e-19   63.5   0.0   1   1   7.6e-20   5.8e-19   63.4   0.0   381   459     8   105     2   110 0.80 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 111730at33208        -            629   1.9e-16   55.1   0.6   1   4     0.013     0.095    6.5   0.0   127   225    33   140    30   145 0.74 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 111730at33208        -            629   1.9e-16   55.1   0.6   2   4   2.1e-05   0.00016   15.7   0.1   163   196   160   193   141   221 0.76 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 111730at33208        -            629   1.9e-16   55.1   0.6   3   4    0.0064     0.048    7.5   0.0    82   117   242   277   219   281 0.93 -
111730at33208_568069_0:004ac4|TRINITY_DN73327_c12_g1_i2:766-2214|-   -            483 111730at33208        -            629   1.9e-16   55.1   0.6   4   4   8.8e-07   6.7e-06   20.3   0.0   122   193   409   483   304   483 0.83 -
380583at33208_56086_0:001811|TRINITY_DN76940_c7_g1_i3:465-1190|+     -            242 111730at33208        -            629   8.6e-16   52.9   2.1   1   3   2.3e-06   1.7e-05   18.9   0.1   127   195     4    74     2    82 0.82 -
380583at33208_56086_0:001811|TRINITY_DN76940_c7_g1_i3:465-1190|+     -            242 111730at33208        -            629   8.6e-16   52.9   2.1   2   3   4.3e-06   3.3e-05   18.0   0.0   122   195    83   157    80   159 0.91 -
380583at33208_56086_0:001811|TRINITY_DN76940_c7_g1_i3:465-1190|+     -            242 111730at33208        -            629   8.6e-16   52.9   2.1   3   3   0.00014    0.0011   13.0   0.0   132   201   135   213   130   240 0.68 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-  -            201 111730at33208        -            629   4.5e-14   47.3   0.1   1   2   9.7e-08   7.3e-07   23.4   0.0    99   195    16   119     2   126 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-  -            201 111730at33208        -            629   4.5e-14   47.3   0.1   2   2   2.1e-07   1.6e-06   22.3   0.0   160   224   126   194   119   199 0.80 -
380583at33208_9915_0:001e2c|TRINITY_DN75784_c6_g1_i2:2149-2652|-     -            168 111730at33208        -            629   4.7e-14   47.2   0.3   1   2   8.5e-11   6.4e-10   33.5   0.1   164   273     2   117     1   123 0.84 -
380583at33208_9915_0:001e2c|TRINITY_DN75784_c6_g1_i2:2149-2652|-     -            168 111730at33208        -            629   4.7e-14   47.2   0.3   2   2    0.0001   0.00077   13.4   0.0   146   199   110   163    90   167 0.62 -
380583at33208_43151_0:0025c1|TRINITY_DN92485_c10_g1_i1:644-1381|-    -            246 111730at33208        -            629   2.8e-13   44.6   4.1   1   2     6e-05   0.00046   14.2   0.1   160   268     6   120     2   125 0.82 -
380583at33208_43151_0:0025c1|TRINITY_DN92485_c10_g1_i1:644-1381|-    -            246 111730at33208        -            629   2.8e-13   44.6   4.1   2   2   2.1e-10   1.6e-09   32.3   0.9    77   188   126   244   114   246 0.89 -
