#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 537718at33208        -            243   3.1e-65  217.4   3.0   1   1   5.3e-66   1.2e-64  215.5   3.0     1   242     1   298     1   299 0.84 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   1.1e-34  117.3   4.9   1   4   7.7e-09   1.8e-07   28.3   0.0    63   151    14   113     7   114 0.80 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   1.1e-34  117.3   4.9   2   4   6.5e-13   1.5e-11   41.6   0.1    25   130    97   213    92   217 0.84 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   1.1e-34  117.3   4.9   3   4   7.8e-16   1.8e-14   51.2   0.2    27   139   141   264   140   268 0.89 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 537718at33208        -            243   1.1e-34  117.3   4.9   4   4   2.6e-05   0.00059   16.8   0.0    38    86   241   291   240   292 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 537718at33208        -            243   3.4e-27   92.8   3.7   1   3   7.5e-08   1.7e-06   25.0   1.0    68   137     2    77     1    89 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 537718at33208        -            243   3.4e-27   92.8   3.7   2   3   2.8e-15   6.5e-14   49.3   0.0    35   136    95   203    78   216 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 537718at33208        -            243   3.4e-27   92.8   3.7   3   3   1.3e-05    0.0003   17.7   0.1    36   118   226   272   216   286 0.55 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 537718at33208        -            243   2.7e-26   89.9   3.4   1   3   1.4e-08   3.3e-07   27.4   0.2    36    96    21    82     4    86 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 537718at33208        -            243   2.7e-26   89.9   3.4   2   3     2e-14   4.6e-13   46.6   0.2    26   135    88   202    83   207 0.94 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 537718at33208        -            243   2.7e-26   89.9   3.4   3   3     5e-09   1.1e-07   28.9   0.1    35    89   180   238   169   248 0.84 -
