#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+    -            232 553585at33208        -            207   1.5e-89  296.3   7.9   1   1   4.8e-89   6.7e-87  287.7   7.9     1   207     1   231     1   231 0.89 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+     -            393 553585at33208        -            207   1.2e-14   51.6  13.3   1   5     0.008       1.1    6.1   0.1    67   116    23    73    15    75 0.75 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+     -            393 553585at33208        -            207   1.2e-14   51.6  13.3   2   5   1.3e-05    0.0019   15.1   0.2    28    98    75   147    70   159 0.88 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+     -            393 553585at33208        -            207   1.2e-14   51.6  13.3   3   5   1.3e-06   0.00019   18.4   1.5    41   116   164   244   153   248 0.83 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+     -            393 553585at33208        -            207   1.2e-14   51.6  13.3   4   5   4.9e-05    0.0068   13.3   0.1    45   112   240   309   227   321 0.78 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+     -            393 553585at33208        -            207   1.2e-14   51.6  13.3   5   5    0.0042      0.59    7.0   0.0    45    99   312   371   303   392 0.77 -
553585at33208_6087_0:000cda|TRINITY_DN78231_c3_g2_i1:132-518|+      -            129 553585at33208        -            207   4.9e-12   43.1   1.3   1   1   3.8e-14   5.3e-12   43.0   1.3    18   143     2   129     1   129 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+     -            238 553585at33208        -            207   1.9e-09   34.7   3.0   1   3   1.7e-06   0.00024   18.0   0.9    39   106    43   112    30   138 0.81 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+     -            238 553585at33208        -            207   1.9e-09   34.7   3.0   2   3       1.7   2.4e+02   -1.6   0.0    43    55   146   158   131   171 0.79 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+     -            238 553585at33208        -            207   1.9e-09   34.7   3.0   3   3   7.7e-06    0.0011   15.9   0.0    45    98   172   227   163   236 0.87 -
553585at33208_29159_0:00578f|TRINITY_DN83605_c10_g1_i6:2517-2789|-  -             91 553585at33208        -            207   2.8e-09   34.1   8.4   1   1   2.4e-11   3.3e-09   33.9   8.4    27   113     7    91     1    91 0.87 -
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+    -            240 553585at33208        -            207   5.3e-09   33.2   3.3   1   2   5.4e-07   7.5e-05   19.7   0.4    29   116    28   117    13   128 0.84 -
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+    -            240 553585at33208        -            207   5.3e-09   33.2   3.3   2   2     2e-05    0.0028   14.5   0.2    39   112   130   201   118   218 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+     -            365 553585at33208        -            207   1.6e-08   31.7  15.9   1   4     0.016       2.3    5.0   0.4    48    84    44    81    31   100 0.80 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+     -            365 553585at33208        -            207   1.6e-08   31.7  15.9   2   4   8.8e-05     0.012   12.4   0.2    29    99    94   164    86   179 0.82 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+     -            365 553585at33208        -            207   1.6e-08   31.7  15.9   3   4    0.0071      0.99    6.2   0.0    40    81   174   216   168   252 0.72 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+     -            365 553585at33208        -            207   1.6e-08   31.7  15.9   4   4   2.2e-05     0.003   14.4   4.0    45   115   248   320   240   324 0.86 -
382000at33208_28588_0:00096d|TRINITY_DN49419_c0_g1_i2:507-1067|-    -            187 553585at33208        -            207   3.3e-08   30.6  13.3   1   3    0.0076       1.1    6.1   0.3    91   142    22    67     5    69 0.70 -
