#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106470at6656_6973_0:002696|TRINITY_DN64851_c0_g2_i2:6-293|+        -             96 106470at6656         -            237   1.4e-13   49.9   0.5   1   1   2.4e-16   1.6e-13   49.7   0.5   182   236     3    62     1    63 0.88 -
106470at6656_121845_0:0010cb|TRINITY_DN64851_c0_g3_i1:77-385|+     -            103 106470at6656         -            237   1.2e-09   37.1   1.3   1   1   1.8e-12   1.2e-09   37.0   0.9   119   161    18    68     1    81 0.79 -
106470at6656_121845_0:0010cb|TRINITY_DN129651_c0_g1_i1:24-233|-    -             70 106470at6656         -            237   8.5e-08   31.0   0.5   1   1   1.2e-10   8.5e-08   31.0   0.5   126   168     1    44     1    69 0.79 -
111236at6656_133901_0:003574|TRINITY_DN73471_c16_g2_i1:290-688|+   -            133 106470at6656         -            237     1e-06   27.5   0.4   1   1   2.6e-09   1.8e-06   26.7   0.3    42   113    53   125    38   132 0.82 -
111236at6656_294128_0:003b1f|TRINITY_DN73471_c16_g2_i2:30-692|+    -            221 106470at6656         -            237   5.6e-06   25.0   0.1   1   2         5   3.4e+03   -3.7   4.0   136   151    53    68    20   123 0.67 -
111236at6656_294128_0:003b1f|TRINITY_DN73471_c16_g2_i2:30-692|+    -            221 106470at6656         -            237   5.6e-06   25.0   0.1   2   2   8.1e-09   5.6e-06   25.0   0.1    42   113   139   211   130   219 0.81 -
118496at6656_126957_0:003983|TRINITY_DN79679_c10_g1_i5:1392-1781|- -            130 106470at6656         -            237   8.6e-05   21.2   0.0   1   2    0.0017       1.2    7.6   0.0    49   108     7    68     2    70 0.89 -
118496at6656_126957_0:003983|TRINITY_DN79679_c10_g1_i5:1392-1781|- -            130 106470at6656         -            237   8.6e-05   21.2   0.0   2   2   5.7e-06    0.0039   15.7   0.1   163   234    53   128    43   130 0.76 -
118496at6656_326594_0:000584|TRINITY_DN84732_c7_g1_i1:186-626|+    -            147 106470at6656         -            237   0.00017   20.2   1.9   1   2   0.00045      0.31    9.5   0.0   175   234     4    67     1    70 0.79 -
118496at6656_326594_0:000584|TRINITY_DN84732_c7_g1_i1:186-626|+    -            147 106470at6656         -            237   0.00017   20.2   1.9   2   2   0.00014     0.093   11.2   0.5    31   105    68   144    65   146 0.82 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i1:3760-4251|-    -            164 106470at6656         -            237   0.00038   19.0   0.0   1   2     0.038        26    3.2   0.0    76   104    55    83    12    89 0.75 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i1:3760-4251|-    -            164 106470at6656         -            237   0.00038   19.0   0.0   2   2    0.0004      0.28    9.7   0.1   174   231    88   161    79   164 0.51 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i4:3760-4251|-    -            164 106470at6656         -            237   0.00038   19.0   0.0   1   2     0.038        26    3.2   0.0    76   104    55    83    12    89 0.75 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i4:3760-4251|-    -            164 106470at6656         -            237   0.00038   19.0   0.0   2   2    0.0004      0.28    9.7   0.1   174   231    88   161    79   164 0.51 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i6:3760-4251|-    -            164 106470at6656         -            237   0.00038   19.0   0.0   1   2     0.038        26    3.2   0.0    76   104    55    83    12    89 0.75 -
118496at6656_7536_0:001165|TRINITY_DN91346_c4_g1_i6:3760-4251|-    -            164 106470at6656         -            237   0.00038   19.0   0.0   2   2    0.0004      0.28    9.7   0.1   174   231    88   161    79   164 0.51 -
118496at6656_326594_0:000584|TRINITY_DN79158_c16_g1_i4:401-826|-   -            142 106470at6656         -            237    0.0017   16.9   0.0   1   2      0.11        79    1.6   0.0   183   203    12    32     2    69 0.56 -
118496at6656_326594_0:000584|TRINITY_DN79158_c16_g1_i4:401-826|-   -            142 106470at6656         -            237    0.0017   16.9   0.0   2   2   2.5e-05     0.017   13.6   0.0   166   233    69   139    60   142 0.76 -
118496at6656_326594_0:000584|TRINITY_DN79158_c16_g1_i1:315-728|-   -            138 106470at6656         -            237    0.0044   15.6   0.0   1   2      0.11        74    1.7   0.0   183   203    12    32     2    69 0.56 -
118496at6656_326594_0:000584|TRINITY_DN79158_c16_g1_i1:315-728|-   -            138 106470at6656         -            237    0.0044   15.6   0.0   2   2   6.2e-05     0.042   12.3   0.0   166   231    69   137    57   138 0.75 -
118496at6656_454923_0:000ad0|TRINITY_DN92921_c13_g1_i1:1870-2367|- -            166 106470at6656         -            237     0.018   13.5   0.1   1   2     0.028        19    3.7   0.0    44   105    22    81     4    99 0.61 -
118496at6656_454923_0:000ad0|TRINITY_DN92921_c13_g1_i1:1870-2367|- -            166 106470at6656         -            237     0.018   13.5   0.1   2   2    0.0023       1.6    7.2   0.1   194   233   115   154    80   158 0.63 -
118496at6656_6973_0:003893|TRINITY_DN79535_c7_g1_i1:142-705|-      -            188 106470at6656         -            237     0.019   13.5   0.4   1   3      0.75   5.1e+02   -1.0   0.0   182   200    33    51     8    78 0.76 -
118496at6656_6973_0:003893|TRINITY_DN79535_c7_g1_i1:142-705|-      -            188 106470at6656         -            237     0.019   13.5   0.4   2   3    0.0066       4.6    5.7   0.1    78   104   108   134    89   154 0.68 -
118496at6656_6973_0:003893|TRINITY_DN79535_c7_g1_i1:142-705|-      -            188 106470at6656         -            237     0.019   13.5   0.4   3   3     0.012         8    4.9   0.1    85   111   156   182   145   186 0.81 -
118496at6656_108931_0:000105|TRINITY_DN92921_c13_g1_i2:1870-2394|- -            175 106470at6656         -            237     0.025   13.1   0.1   1   3     0.045        31    3.0   0.0    45   105    32    90    18   106 0.60 -
118496at6656_108931_0:000105|TRINITY_DN92921_c13_g1_i2:1870-2394|- -            175 106470at6656         -            237     0.025   13.1   0.1   2   3      0.07        48    2.3   0.0    79   103   101   125    57   142 0.66 -
118496at6656_108931_0:000105|TRINITY_DN92921_c13_g1_i2:1870-2394|- -            175 106470at6656         -            237     0.025   13.1   0.1   3   3    0.0026       1.8    7.0   0.1   194   233   124   163    89   167 0.63 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/106470at6656.hmm
