#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
367551at33208_174628_0:001fdd|TRINITY_DN89438_c2_g1_i2:354-2072|+    -            573 367551at33208        -            388  2.2e-156  519.9   9.9   1   1  5.5e-158  3.6e-156  519.2   9.9     1   375   146   547   146   559 0.93 -
367551at33208_143995_0:0023e9|TRINITY_DN89438_c2_g1_i1:396-2432|+    -            679 367551at33208        -            388  3.8e-156  519.1   9.9   1   1  9.1e-158    6e-156  518.5   9.9     1   375   132   533   132   545 0.93 -
367551at33208_48498_0:00253f|TRINITY_DN91217_c15_g1_i2:392-1465|-    -            358 367551at33208        -            388   1.7e-96  322.8   0.8   1   1     3e-98     2e-96  322.5   0.8    12   336    22   355    18   358 0.92 -
367551at33208_1507135_0:001993|TRINITY_DN89438_c2_g1_i4:157-870|+    -            238 367551at33208        -            388   7.8e-86  287.7   2.3   1   1   1.3e-87     9e-86  287.5   2.3     1   184    38   238    38   238 0.94 -
367551at33208_2015173_0:000845|TRINITY_DN83807_c12_g1_i1:613-1713|-  -            367 367551at33208        -            388   3.9e-82  275.5   0.3   1   1   6.9e-84   4.6e-82  275.3   0.3    10   335    26   366    18   367 0.89 -
489997at33208_7130_0:000402|TRINITY_DN84128_c10_g2_i1:653-1888|+     -            412 367551at33208        -            388     1e-75  254.4   0.1   1   1     2e-77   1.3e-75  254.0   0.1     7   339    44   396    39   405 0.88 -
255924at33208_38654_0:000647|TRINITY_DN86754_c0_g2_i2:130-2391|+     -            754 367551at33208        -            388   2.4e-75  253.1   0.0   1   1   5.9e-77   3.9e-75  252.4   0.0     9   336    26   367    14   421 0.89 -
255924at33208_38654_0:000647|TRINITY_DN86754_c0_g2_i1:130-2406|+     -            759 367551at33208        -            388   2.5e-75  253.1   0.0   1   1     6e-77     4e-75  252.4   0.0     9   336    26   367    14   421 0.89 -
273989at33208_7168_0:001dbf|TRINITY_DN91875_c10_g1_i3:118-1416|+     -            433 367551at33208        -            388   2.7e-75  253.0   0.0   1   1   5.2e-77   3.5e-75  252.6   0.0    12   374    15   389     3   400 0.84 -
273989at33208_7168_0:001dbf|TRINITY_DN91875_c10_g1_i2:118-1203|+     -            362 367551at33208        -            388   8.7e-75  251.3   0.0   1   1   1.7e-76   1.1e-74  250.9   0.0    12   330    15   349     3   360 0.87 -
273989at33208_89399_0:0049fe|TRINITY_DN75395_c9_g1_i5:198-1304|+     -            369 367551at33208        -            388   1.1e-71  241.1   0.0   1   1     2e-73   1.4e-71  240.8   0.0    12   331    22   357    13   368 0.87 -
273989at33208_89399_0:0049fe|TRINITY_DN75395_c9_g1_i4:198-1496|+     -            433 367551at33208        -            388   1.5e-71  240.6   0.0   1   1   2.9e-73     2e-71  240.3   0.0    12   333    22   359    13   387 0.87 -
489997at33208_7217_0:000765|TRINITY_DN89873_c7_g1_i4:1178-2377|+     -            400 367551at33208        -            388   2.5e-70  236.6   0.3   1   2   2.7e-35   1.8e-33  115.3   0.1    12   155    34   191    19   195 0.84 -
489997at33208_7217_0:000765|TRINITY_DN89873_c7_g1_i4:1178-2377|+     -            400 367551at33208        -            388   2.5e-70  236.6   0.3   2   2   1.3e-36   8.9e-35  119.6   0.0   155   332   219   396   205   400 0.92 -
489997at33208_7217_0:000765|TRINITY_DN89873_c7_g1_i5:1219-2418|+     -            400 367551at33208        -            388   2.5e-70  236.6   0.3   1   2   2.7e-35   1.8e-33  115.3   0.1    12   155    34   191    19   195 0.84 -
489997at33208_7217_0:000765|TRINITY_DN89873_c7_g1_i5:1219-2418|+     -            400 367551at33208        -            388   2.5e-70  236.6   0.3   2   2   1.3e-36   8.9e-35  119.6   0.0   155   332   219   396   205   400 0.92 -
489997at33208_7217_0:000765|TRINITY_DN89873_c7_g1_i8:976-2175|+      -            400 367551at33208        -            388   2.5e-70  236.6   0.3   1   2   2.7e-35   1.8e-33  115.3   0.1    12   155    34   191    19   195 0.84 -
489997at33208_7217_0:000765|TRINITY_DN89873_c7_g1_i8:976-2175|+      -            400 367551at33208        -            388   2.5e-70  236.6   0.3   2   2   1.3e-36   8.9e-35  119.6   0.0   155   332   219   396   205   400 0.92 -
273989at33208_139723_0:00044d|TRINITY_DN92995_c4_g1_i1:240-1550|+    -            437 367551at33208        -            388   3.4e-70  236.2   0.0   1   1   6.8e-72   4.5e-70  235.8   0.0    10   375    14   392     7   406 0.84 -
273989at33208_139723_0:00044d|TRINITY_DN92995_c4_g1_i2:240-1550|+    -            437 367551at33208        -            388   3.4e-70  236.2   0.0   1   1   6.8e-72   4.5e-70  235.8   0.0    10   375    14   392     7   406 0.84 -
273989at33208_139723_0:00044d|TRINITY_DN92995_c4_g1_i6:240-1550|+    -            437 367551at33208        -            388   3.4e-70  236.2   0.0   1   1   6.8e-72   4.5e-70  235.8   0.0    10   375    14   392     7   406 0.84 -
273989at33208_139723_0:00044d|TRINITY_DN92995_c4_g1_i8:476-1786|+    -            437 367551at33208        -            388   3.4e-70  236.2   0.0   1   1   6.8e-72   4.5e-70  235.8   0.0    10   375    14   392     7   406 0.84 -
273989at33208_114398_0:00012f|TRINITY_DN92995_c4_g1_i4:216-1730|+    -            445 367551at33208        -            388   3.6e-70  236.1   0.0   1   1   7.3e-72   4.8e-70  235.7   0.0    10   375    22   400    15   414 0.84 -
489997at33208_7227_0:000723|TRINITY_DN71392_c0_g1_i1:208-1416|-      -            403 367551at33208        -            388   5.6e-69  232.2   0.4   1   1   1.1e-70   7.2e-69  231.8   0.4     8   331    30   374    18   390 0.84 -
489997at33208_42026_0:002372|TRINITY_DN87124_c13_g1_i1:352-2097|+    -            582 367551at33208        -            388   2.5e-68  230.0   0.0   1   1     4e-68   2.7e-66  223.4   0.0    12   338   163   537   152   545 0.82 -
489997at33208_42026_0:002372|TRINITY_DN87124_c13_g1_i2:280-2025|+    -            582 367551at33208        -            388   2.5e-68  230.0   0.0   1   1     4e-68   2.7e-66  223.4   0.0    12   338   163   537   152   545 0.82 -
