#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
302279at33208_6850_0:0028ba|TRINITY_DN79341_c9_g1_i1:118-1173|+     -            352 302279at33208        -            304  1.7e-143  476.4   1.3   1   1    6e-142  2.4e-140  466.0   1.3     1   304     1   352     1   352 0.89 -
302279at33208_38123_0:0002c9|TRINITY_DN79341_c9_g1_i2:118-321|+     -             68 302279at33208        -            304   3.3e-16   58.4   0.0   1   1   8.5e-18   3.4e-16   58.3   0.0     1    54     1    54     1    65 0.93 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i11:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   1   3   7.2e-05    0.0029   15.9   0.0    64   124    32    87    15    90 0.78 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i11:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   2   3   0.00061     0.024   12.8   0.0    81   124    86   129    83   133 0.87 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i11:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   3   3      0.12       4.8    5.3   0.0   272   297   133   158   124   163 0.83 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i12:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   1   3   7.2e-05    0.0029   15.9   0.0    64   124    32    87    15    90 0.78 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i12:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   2   3   0.00061     0.024   12.8   0.0    81   124    86   129    83   133 0.87 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i12:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   3   3      0.12       4.8    5.3   0.0   272   297   133   158   124   163 0.83 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   1   3   7.2e-05    0.0029   15.9   0.0    64   124    32    87    15    90 0.78 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   2   3   0.00061     0.024   12.8   0.0    81   124    86   129    83   133 0.87 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   8.5e-10   37.3   0.1   3   3      0.12       4.8    5.3   0.0   272   297   133   158   124   163 0.83 -
