#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 448514at33208        -            271   7.7e-45  149.0   0.1   1   1   1.4e-45   9.7e-45  148.7   0.1     3    98    79   179    77   179 0.93 -
448514at33208_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+     -            112 448514at33208        -            271   5.6e-38  126.5   1.3   1   2   4.3e-24     3e-23   78.2   0.0   187   238    10    61     4    72 0.91 -
448514at33208_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+     -            112 448514at33208        -            271   5.6e-38  126.5   1.3   2   2   9.2e-15   6.5e-14   47.6   0.3   235   271    76   112    70   112 0.93 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 448514at33208        -            271   3.6e-23   78.0  11.0   1   3   8.4e-10   5.9e-09   31.4   0.6     8    97     9    98     2   104 0.83 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 448514at33208        -            271   3.6e-23   78.0  11.0   2   3   1.2e-08   8.6e-08   27.5   0.5    28    98   109   179   101   187 0.87 -
380583at33208_10228_0:002359|TRINITY_DN77528_c5_g4_i1:295-984|-      -            230 448514at33208        -            271   3.6e-23   78.0  11.0   3   3   1.8e-07   1.3e-06   23.7   0.2    26    60   190   223   182   226 0.86 -
380583at33208_6945_0:0047e3|TRINITY_DN73621_c6_g1_i3:74-811|+        -            246 448514at33208        -            271     2e-22   75.6   6.3   1   4   2.7e-06   1.9e-05   19.8   0.2    29   123     6   104     2   106 0.77 -
380583at33208_6945_0:0047e3|TRINITY_DN73621_c6_g1_i3:74-811|+        -            246 448514at33208        -            271     2e-22   75.6   6.3   2   4   2.2e-10   1.5e-09   33.3   0.4    27    80    88   142    83   143 0.92 -
380583at33208_6945_0:0047e3|TRINITY_DN73621_c6_g1_i3:74-811|+        -            246 448514at33208        -            271     2e-22   75.6   6.3   3   4   8.3e-05   0.00058   15.0   0.1    33    62   136   166   136   181 0.84 -
380583at33208_6945_0:0047e3|TRINITY_DN73621_c6_g1_i3:74-811|+        -            246 448514at33208        -            271     2e-22   75.6   6.3   4   4   0.00026    0.0018   13.3   0.0    43    94   189   243   175   246 0.73 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 448514at33208        -            271   2.9e-22   75.0   1.7   1   3   5.8e-08   4.1e-07   25.3   0.5    27    77     7    59     2    64 0.85 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 448514at33208        -            271   2.9e-22   75.0   1.7   2   3   1.4e-06   9.7e-06   20.8   0.0    40    80    65   105    60   107 0.94 -
380583at33208_62625_0:0005f7|TRINITY_DN82372_c8_g1_i4:2685-3272|-    -            196 448514at33208        -            271   2.9e-22   75.0   1.7   3   3   2.5e-09   1.7e-08   29.8   0.1    33   103    99   175    97   184 0.84 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 448514at33208        -            271   2.2e-21   72.1   7.4   1   5    0.0024     0.017   10.2   0.0    29    78     3    53     1    56 0.86 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 448514at33208        -            271   2.2e-21   72.1   7.4   2   5   2.4e-12   1.7e-11   39.7   0.3    40    99    57   119    48   123 0.91 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 448514at33208        -            271   2.2e-21   72.1   7.4   3   5     5e-08   3.5e-07   25.5   0.1    41    99   100   161    93   170 0.89 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 448514at33208        -            271   2.2e-21   72.1   7.4   4   5     0.004     0.028    9.4   0.2    30    99   173   249   160   256 0.69 -
380583at33208_8355_0:002540|TRINITY_DN93367_c10_g1_i2:101-967|-      -            289 448514at33208        -            271   2.2e-21   72.1   7.4   5   5     0.052      0.37    5.8   0.0   238   261   258   281   247   287 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-  -            201 448514at33208        -            271   8.3e-21   70.2   0.0   1   3   8.6e-08     6e-07   24.8   0.0    28    99     3    79     2    83 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-  -            201 448514at33208        -            271   8.3e-21   70.2   0.0   2   3   6.8e-08   4.8e-07   25.1   0.0    10    80    70   141    61   142 0.86 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-  -            201 448514at33208        -            271   8.3e-21   70.2   0.0   3   3   1.7e-08   1.2e-07   27.1   0.0    27    95   129   201   125   201 0.87 -
380583at33208_378494_0:000e7b|TRINITY_DN84760_c5_g1_i6:997-1614|-    -            206 448514at33208        -            271   1.3e-18   63.0   0.0   1   2   5.4e-11   3.8e-10   35.3   0.0    25    87     7    72     2    77 0.84 -
380583at33208_378494_0:000e7b|TRINITY_DN84760_c5_g1_i6:997-1614|-    -            206 448514at33208        -            271   1.3e-18   63.0   0.0   2   2   3.4e-08   2.4e-07   26.1   0.0     8   102    76   176    67   184 0.84 -
380583at33208_6500_0:000e99|TRINITY_DN84398_c2_g1_i4:470-1078|+      -            203 448514at33208        -            271   3.2e-17   58.4   3.7   1   3   8.8e-09   6.2e-08   28.0   0.1    29    96     7    78     2    78 0.85 -
380583at33208_6500_0:000e99|TRINITY_DN84398_c2_g1_i4:470-1078|+      -            203 448514at33208        -            271   3.2e-17   58.4   3.7   2   3     0.013     0.092    7.8   0.2    51    96    72   128    64   130 0.62 -
