#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54527at6656_294128_0:002acd|TRINITY_DN76475_c5_g3_i1:49-930|-     -            294 54527at6656          -            350  3.2e-116  387.2   0.0   1   1  1.2e-117  1.3e-115  385.2   0.0   110   350     1   292     1   292 0.87 -
54527at6656_13249_0:002cd0|TRINITY_DN76475_c5_g1_i2:104-496|+     -            131 54527at6656          -            350   1.9e-73  246.5   0.1   1   1     2e-75   2.2e-73  246.4   0.1     1   117     5   131     5   131 0.95 -
78202at6656_28612_0:003734|TRINITY_DN86583_c11_g1_i1:100-1200|+   -            367 54527at6656          -            350   8.2e-62  208.3   0.0   1   1   9.1e-64   9.8e-62  208.0   0.0     4   330     3   338     1   352 0.86 -
78202at6656_28612_0:003734|TRINITY_DN86583_c11_g1_i3:100-1200|+   -            367 54527at6656          -            350   8.2e-62  208.3   0.0   1   1   9.1e-64   9.8e-62  208.0   0.0     4   330     3   338     1   352 0.86 -
59681at6656_294128_0:001b4e|TRINITY_DN89898_c8_g1_i1:2576-3977|-  -            395 54527at6656          -            350   1.1e-56  191.4   0.0   1   1   1.2e-58   1.3e-56  191.2   0.0     4   301     9   327     6   367 0.86 -
59681at6656_294128_0:001b4e|TRINITY_DN89898_c8_g1_i3:2576-3760|-  -            395 54527at6656          -            350   1.1e-56  191.4   0.0   1   1   1.2e-58   1.3e-56  191.2   0.0     4   301     9   327     6   367 0.86 -
59681at6656_294128_0:001b4e|TRINITY_DN89898_c8_g1_i2:2576-3760|-  -            395 54527at6656          -            350   6.1e-54  182.4   0.0   1   1     7e-56   7.5e-54  182.1   0.0     9   301    14   327     6   367 0.86 -
59681at6656_294128_0:001b4e|TRINITY_DN89898_c8_g1_i4:2576-3977|-  -            395 54527at6656          -            350   6.1e-54  182.4   0.0   1   1     7e-56   7.5e-54  182.1   0.0     9   301    14   327     6   367 0.86 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i14:2-829|-      -            276 54527at6656          -            350   4.9e-52  176.1   0.0   1   1   5.5e-54   5.9e-52  175.9   0.0    67   330     1   273     1   276 0.89 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i12:2-829|-      -            276 54527at6656          -            350   8.2e-52  175.4   0.0   1   1   9.2e-54   9.9e-52  175.1   0.0    67   330     1   273     1   276 0.89 -
78202at6656_28612_0:003734|TRINITY_DN83555_c2_g1_i13:2-829|-      -            276 54527at6656          -            350   8.4e-52  175.4   0.0   1   1   9.6e-54     1e-51  175.1   0.0    67   330     1   273     1   276 0.89 -
