#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
495329at33208_294128_0:00388d|TRINITY_DN92598_c7_g1_i1:87-695|-   -            203 495329at33208        -            179   2.1e-49  166.3   1.5   1   1   3.8e-52   2.5e-49  166.1   1.5     1   177     4   203     4   203 0.88 -
566527at33208_294128_0:000477|TRINITY_DN79789_c12_g2_i1:120-839|+ -            240 495329at33208        -            179     2e-23   81.6   0.4   1   2   3.9e-11   2.5e-08   32.5   0.0     1    41    24    64    24    75 0.89 -
566527at33208_294128_0:000477|TRINITY_DN79789_c12_g2_i1:120-839|+ -            240 495329at33208        -            179     2e-23   81.6   0.4   2   2   9.6e-16   6.2e-13   47.5   0.3    56   125    98   169    85   230 0.81 -
566527at33208_378494_0:003419|TRINITY_DN83438_c11_g2_i3:198-920|+ -            241 495329at33208        -            179   1.1e-19   69.5   0.0   1   2   5.4e-08   3.5e-05   22.3   0.0     3    42    24    63    22    74 0.80 -
566527at33208_378494_0:003419|TRINITY_DN83438_c11_g2_i3:198-920|+ -            241 495329at33208        -            179   1.1e-19   69.5   0.0   2   2   5.5e-15   3.5e-12   45.0   0.0    56   127    95   168    82   173 0.86 -
495329at33208_7200_0:00101c|TRINITY_DN92598_c7_g1_i3:88-258|-     -             57 495329at33208        -            179   1.9e-12   45.9   0.0   1   1   3.4e-15   2.2e-12   45.7   0.0     1    49     2    54     2    56 0.88 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 495329at33208        -            179   4.7e-08   31.6   0.3   1   4      0.23   1.5e+02    0.7   0.0     9    25    19    35    11    59 0.88 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 495329at33208        -            179   4.7e-08   31.6   0.3   2   4   0.00094      0.61    8.4   0.0    89   146   120   181    79   206 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 495329at33208        -            179   4.7e-08   31.6   0.3   3   4    0.0068       4.4    5.6   0.0     1    26   325   350   325   364 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i10:773-2548|+  -            592 495329at33208        -            179   4.7e-08   31.6   0.3   4   4   0.00014      0.09   11.1   0.0    73   116   422   465   408   484 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 495329at33208        -            179   4.7e-08   31.6   0.3   1   4      0.23   1.5e+02    0.7   0.0     9    25    19    35    11    59 0.88 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 495329at33208        -            179   4.7e-08   31.6   0.3   2   4   0.00094      0.61    8.4   0.0    89   146   120   181    79   206 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 495329at33208        -            179   4.7e-08   31.6   0.3   3   4    0.0068       4.4    5.6   0.0     1    26   325   350   325   364 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i2:718-2493|+   -            592 495329at33208        -            179   4.7e-08   31.6   0.3   4   4   0.00014      0.09   11.1   0.0    73   116   422   465   408   484 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 495329at33208        -            179   1.1e-07   30.4   0.4   1   4      0.28   1.8e+02    0.4   0.0     9    25    14    30     6    53 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 495329at33208        -            179   1.1e-07   30.4   0.4   2   4    0.0012      0.77    8.1   0.0    89   146   115   176    76   201 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 495329at33208        -            179   1.1e-07   30.4   0.4   3   4    0.0082       5.3    5.4   0.0     1    26   318   343   318   356 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 495329at33208        -            179   1.1e-07   30.4   0.4   4   4   0.00017      0.11   10.8   0.0    73   115   415   457   401   477 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   1   4      0.28   1.8e+02    0.4   0.0     9    25    14    30     6    53 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   2   4    0.0012      0.78    8.1   0.0    89   146   115   176    76   201 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   3   4    0.0083       5.3    5.4   0.0     1    26   320   345   320   358 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   4   4   0.00017      0.11   10.8   0.0    73   115   417   459   403   479 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   1   4      0.28   1.8e+02    0.4   0.0     9    25    14    30     6    53 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   2   4    0.0012      0.78    8.1   0.0    89   146   115   176    76   201 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   3   4    0.0083       5.3    5.4   0.0     1    26   320   345   320   358 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 495329at33208        -            179   1.1e-07   30.4   0.4   4   4   0.00017      0.11   10.8   0.0    73   115   417   459   403   479 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 495329at33208        -            179   1.2e-07   30.3   0.4   1   4      0.28   1.8e+02    0.4   0.0     9    25    19    35    11    58 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 495329at33208        -            179   1.2e-07   30.3   0.4   2   4    0.0012      0.78    8.1   0.0    89   146   120   181    81   206 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 495329at33208        -            179   1.2e-07   30.3   0.4   3   4    0.0083       5.4    5.3   0.0     1    26   325   350   325   363 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 495329at33208        -            179   1.2e-07   30.3   0.4   4   4   0.00017      0.11   10.8   0.0    73   115   422   464   408   484 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 495329at33208        -            179   1.2e-07   30.3   0.4   1   4      0.28   1.8e+02    0.4   0.0     9    25    19    35    11    58 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 495329at33208        -            179   1.2e-07   30.3   0.4   2   4    0.0012      0.78    8.1   0.0    89   146   120   181    81   206 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 495329at33208        -            179   1.2e-07   30.3   0.4   3   4    0.0083       5.4    5.3   0.0     1    26   325   350   325   363 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 495329at33208        -            179   1.2e-07   30.3   0.4   4   4   0.00017      0.11   10.8   0.0    73   115   422   464   408   484 0.85 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 495329at33208        -            179   3.8e-07   28.7   0.3   1   4      0.28   1.8e+02    0.4   0.0     9    25    14    30     6    53 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 495329at33208        -            179   3.8e-07   28.7   0.3   2   4    0.0012      0.78    8.1   0.0    89   146   115   176    76   201 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 495329at33208        -            179   3.8e-07   28.7   0.3   3   4    0.0083       5.3    5.4   0.0     1    26   320   345   320   358 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 495329at33208        -            179   3.8e-07   28.7   0.3   4   4    0.0006      0.39    9.1   0.0    73   115   417   459   403   479 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 495329at33208        -            179   3.9e-07   28.6   0.3   1   4      0.28   1.8e+02    0.4   0.0     9    25    19    35    11    58 0.89 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 495329at33208        -            179   3.9e-07   28.6   0.3   2   4    0.0012      0.78    8.1   0.0    89   146   120   181    81   206 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 495329at33208        -            179   3.9e-07   28.6   0.3   3   4    0.0083       5.4    5.3   0.0     1    26   325   350   325   363 0.93 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 495329at33208        -            179   3.9e-07   28.6   0.3   4   4    0.0006      0.39    9.1   0.0    73   115   422   464   408   484 0.84 -
566527at33208_246812_0:002588|TRINITY_DN83438_c11_g2_i1:198-506|+ -            103 495329at33208        -            179   5.5e-06   24.8   0.0   1   1   1.1e-08     7e-06   24.5   0.0     3    42    24    63    22    73 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/495329at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/495329at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/495329at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:51 2026
# [ok]
