#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-       -            156 111730at33208        -            629     4e-76  254.0   0.4   1   1   1.9e-77   4.4e-76  253.8   0.4   161   311     2   156     1   156 0.96 -
111730at33208_176946_0:001a89|TRINITY_DN78597_c13_g5_i1:7-555|-       -            183 111730at33208        -            629   1.1e-68  229.3   0.0   1   1   5.6e-70   1.3e-68  229.1   0.0     1   161     1   183     1   183 0.90 -
111730at33208_10224_0:003992|TRINITY_DN78597_c13_g4_i1:5-715|+        -            237 111730at33208        -            629   1.2e-45  153.3   4.5   1   1   1.6e-45   3.8e-44  148.3   4.5   479   626    27   207    19   210 0.87 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 111730at33208        -            629   9.6e-28   94.1   6.3   1   3   3.5e-07   8.3e-06   21.7   0.0   157   225   132   217   126   217 0.74 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 111730at33208        -            629   9.6e-28   94.1   6.3   2   3     7e-15   1.6e-13   47.1   0.2    47   192   194   346   189   350 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 111730at33208        -            629   9.6e-28   94.1   6.3   3   3   4.8e-10   1.1e-08   31.1   0.7   179   270   367   463   359   466 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 111730at33208        -            629   1.2e-24   83.9   9.3   1   3   1.8e-15   4.1e-14   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 111730at33208        -            629   1.2e-24   83.9   9.3   2   3   2.9e-07   6.9e-06   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 111730at33208        -            629   1.2e-24   83.9   9.3   3   3   9.2e-06   0.00022   17.0   0.3   143   195   232   286   218   287 0.89 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   7.9e-22   74.6   4.9   1   6   3.5e-06   8.2e-05   18.4   0.0   135   196    32    93    26   105 0.92 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   7.9e-22   74.6   4.9   2   6      0.02      0.48    5.9   0.0   127   225   109   216   106   219 0.73 -
