#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55094at6656_294128_0:002e5b|TRINITY_DN90053_c5_g5_i2:186-1379|+   -            398 55094at6656          -            446  2.6e-104  348.4   5.8   1   1  2.7e-106  1.4e-103  346.0   5.8    19   333    37   398    32   398 0.89 -
55094at6656_218467_0:005180|TRINITY_DN90053_c5_g5_i1:146-1069|+   -            308 55094at6656          -            446   2.2e-94  315.7   7.1   1   1     2e-96     1e-93  313.5   7.1    69   334     4   305     1   307 0.89 -
55094at6656_438502_0:0007d0|TRINITY_DN90053_c5_g5_i3:390-989|+    -            200 55094at6656          -            446   2.1e-75  253.1   0.1   1   1   4.8e-78   2.5e-75  252.9   0.1   136   320     6   200     2   200 0.95 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i11:2064-2816|+ -            251 55094at6656          -            446   1.2e-45  155.0  22.4   1   3   2.6e-34   1.3e-31  108.7   7.7   280   420     2   151     1   159 0.77 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i11:2064-2816|+ -            251 55094at6656          -            446   1.2e-45  155.0  22.4   2   3       1.3   6.6e+02   -2.3   5.7   377   402   140   165   115   173 0.75 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i11:2064-2816|+ -            251 55094at6656          -            446   1.2e-45  155.0  22.4   3   3   1.7e-16   8.9e-14   50.0   6.2   394   446   195   249   189   249 0.92 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i5:1834-2586|+  -            251 55094at6656          -            446   1.2e-45  155.0  22.4   1   3   2.6e-34   1.3e-31  108.7   7.7   280   420     2   151     1   159 0.77 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i5:1834-2586|+  -            251 55094at6656          -            446   1.2e-45  155.0  22.4   2   3       1.3   6.6e+02   -2.3   5.7   377   402   140   165   115   173 0.75 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i5:1834-2586|+  -            251 55094at6656          -            446   1.2e-45  155.0  22.4   3   3   1.7e-16   8.9e-14   50.0   6.2   394   446   195   249   189   249 0.92 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i1:41-2104|+    -            688 55094at6656          -            446   1.6e-17   62.3   4.1   1   2      0.12        62    1.1   0.0    48    64   206   222   194   227 0.82 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i1:41-2104|+    -            688 55094at6656          -            446   1.6e-17   62.3   4.1   2   2   1.1e-18   5.6e-16   57.2   3.1    50   424   247   661   220   681 0.70 -
