#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+ -            721 27655at6656          -            661    1e-282  938.9  41.1   1   1  1.4e-282  1.1e-279  928.8  41.1     2   619     3   715     2   721 0.84 -
27655at6656_116153_0:001246|TRINITY_DN87343_c11_g3_i2:243-1667|+ -            475 27655at6656          -            661  1.9e-160  534.8  17.2   1   1  1.3e-160    1e-157  525.8  17.2   244   623     5   441     1   462 0.83 -
27655at6656_7070_0:0011cd|TRINITY_DN87343_c11_g3_i1:243-1631|+   -            463 27655at6656          -            661  2.3e-160  534.6  17.4   1   1  1.6e-160  1.2e-157  525.5  17.4   244   623     5   441     1   458 0.83 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+ -            371 27655at6656          -            661    0.0016   16.3   3.0   1   2    0.0037         3    5.5   0.1   308   364   102   156    75   167 0.84 -
93152at6656_294128_0:00136c|TRINITY_DN89800_c11_g2_i3:361-1547|+ -            371 27655at6656          -            661    0.0016   16.3   3.0   2   2    0.0002      0.16    9.7   0.3    91   193   212   314   198   327 0.78 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+  -            459 27655at6656          -            661    0.0024   15.7   2.8   1   2    0.0053       4.2    5.0   0.1   308   364   182   236   164   249 0.83 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+  -            459 27655at6656          -            661    0.0024   15.7   2.8   2   2    0.0002      0.15    9.7   0.3    92   196   293   397   275   412 0.66 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+  -            459 27655at6656          -            661    0.0026   15.6   2.8   1   2    0.0053       4.2    5.0   0.1   308   364   182   236   164   249 0.83 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+  -            459 27655at6656          -            661    0.0026   15.6   2.8   2   2    0.0002      0.15    9.7   0.3    92   196   293   397   275   412 0.66 -
93152at6656_7004_0:004f57|TRINITY_DN89800_c11_g2_i6:140-757|+    -            206 27655at6656          -            661    0.0094   13.8   0.4   1   1   5.3e-05     0.042   11.6   0.4    91   195    36   140    20   151 0.78 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+  -            135 27655at6656          -            661     0.019   12.8   0.1   1   2   0.00066      0.52    8.0   0.1   316   370    30    84    14    95 0.87 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+  -            135 27655at6656          -            661     0.019   12.8   0.1   2   2   0.00023      0.18    9.5   0.0   320   377    68   127    62   133 0.89 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+  -            135 27655at6656          -            661     0.019   12.8   0.1   1   2   0.00066      0.52    8.0   0.1   316   370    30    84    14    95 0.87 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+  -            135 27655at6656          -            661     0.019   12.8   0.1   2   2   0.00023      0.18    9.5   0.0   320   377    68   127    62   133 0.89 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+  -            135 27655at6656          -            661     0.019   12.8   0.1   1   2   0.00066      0.52    8.0   0.1   316   370    30    84    14    95 0.87 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+  -            135 27655at6656          -            661     0.019   12.8   0.1   2   2   0.00023      0.18    9.5   0.0   320   377    68   127    62   133 0.89 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+  -            135 27655at6656          -            661     0.019   12.8   0.1   1   2   0.00066      0.52    8.0   0.1   316   370    30    84    14    95 0.87 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+  -            135 27655at6656          -            661     0.019   12.8   0.1   2   2   0.00023      0.18    9.5   0.0   320   377    68   127    62   133 0.89 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+   -            358 27655at6656          -            661     0.066   11.0   3.0   1   3    0.0016       1.3    6.7   0.0    97   167   123   193   117   204 0.88 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+   -            358 27655at6656          -            661     0.066   11.0   3.0   2   3      0.25     2e+02   -0.5   0.0   271   338   196   273   193   307 0.67 -
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+   -            358 27655at6656          -            661     0.066   11.0   3.0   3   3     0.016        12    3.5   0.4    60   109   290   339   278   353 0.75 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+   -            357 27655at6656          -            661     0.074   10.8   3.1   1   3    0.0019       1.5    6.5   0.0    97   166   126   195   115   200 0.89 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+   -            357 27655at6656          -            661     0.074   10.8   3.1   2   3      0.21   1.6e+02   -0.2   0.0   270   338   198   276   192   308 0.69 -
55417at6656_121225_0:00110b|TRINITY_DN88830_c8_g1_i2:13-1083|+   -            357 27655at6656          -            661     0.074   10.8   3.1   3   3     0.017        13    3.3   0.4    60   109   293   342   283   355 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/27655at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/27655at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/27655at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:50 2026
# [ok]
