#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69403at6656_294128_0:002eec|TRINITY_DN76693_c10_g2_i5:360-1037|- -            226 69403at6656          -            315     1e-85  283.2   0.4   1   1   1.4e-87     2e-85  282.2   0.4   120   314     1   222     1   223 0.89 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315     9e-57  188.1   4.9   1   3   3.2e-41   4.5e-39  130.0   1.0     2    79    12    89    11    95 0.97 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315     9e-57  188.1   4.9   2   3   2.7e-17   3.8e-15   51.4   0.0    78   118   126   166    98   177 0.86 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315     9e-57  188.1   4.9   3   3   0.00069     0.098    7.3   0.0   116   134   221   239   210   239 0.82 -
69403at6656_79782_0:002942|TRINITY_DN79443_c10_g3_i1:458-1666|-  -            403 69403at6656          -            315   3.5e-47  156.6   0.3   1   2   1.3e-10   1.8e-08   29.4   0.0    11    79     6    73     1    96 0.88 -
69403at6656_79782_0:002942|TRINITY_DN79443_c10_g3_i1:458-1666|-  -            403 69403at6656          -            315   3.5e-47  156.6   0.3   2   2   9.9e-40   1.4e-37  125.0   0.1   151   313   227   402   168   403 0.83 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315     3e-45  150.2   0.0   1   3   1.2e-11   1.6e-09   32.8   0.0     7    70     2    66     1    84 0.88 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315     3e-45  150.2   0.0   2   3   4.2e-05     0.006   11.3   0.0    83   121   116   154   110   172 0.92 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315     3e-45  150.2   0.0   3   3   5.9e-33   8.3e-31  102.8   0.0   119   315   205   419   167   419 0.85 -
69403at6656_7176_0:0006fa|TRINITY_DN78694_c6_g1_i3:1407-2093|+   -            229 69403at6656          -            315     1e-39  132.0   0.0   1   1     1e-41   1.5e-39  131.5   0.0   120   315     6   229     2   229 0.79 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i1:30-413|-   -            128 69403at6656          -            315    0.0014   13.3   0.2   1   1   1.3e-05    0.0018   13.0   0.2    59   102    43    86    32    93 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/69403at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/rerun_results/69403at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/69403at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:28:08 2026
# [ok]
