#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109923at6656_136037_0:002ca0|TRINITY_DN80937_c10_g1_i1:123-1220|+ -            366 109923at6656         -            304  1.6e-108  361.8   0.5   1   1    2e-111  2.2e-108  361.3   0.5     4   303    30   364    20   365 0.87 -
109923at6656_28588_0:000818|TRINITY_DN75820_c9_g1_i1:337-825|-    -            163 109923at6656         -            304   1.7e-22   79.3   0.0   1   1   1.8e-25     2e-22   79.0   0.0    81   215     8   160     3   163 0.78 -
109923at6656_28588_0:000818|TRINITY_DN75820_c9_g1_i3:337-825|-    -            163 109923at6656         -            304   1.7e-22   79.3   0.0   1   1   1.8e-25     2e-22   79.0   0.0    81   215     8   160     3   163 0.78 -
109923at6656_28588_0:000818|TRINITY_DN75820_c9_g1_i4:337-825|-    -            163 109923at6656         -            304   1.7e-22   79.3   0.0   1   1   1.8e-25     2e-22   79.0   0.0    81   215     8   160     3   163 0.78 -
109923at6656_28588_0:000818|TRINITY_DN75820_c9_g1_i2:337-717|-    -            127 109923at6656         -            304   1.5e-15   56.5   0.0   1   1   1.5e-18   1.7e-15   56.3   0.0   123   215    26   124    13   127 0.81 -
109923at6656_1041015_0:001157|TRINITY_DN80937_c10_g1_i2:150-518|+ -            123 109923at6656         -            304   2.4e-15   55.8   0.0   1   1   3.3e-18   3.7e-15   55.2   0.0     4    96    21   123    18   123 0.82 -
109923at6656_319348_0:002d36|TRINITY_DN75647_c2_g2_i1:410-619|+   -             70 109923at6656         -            304     3e-12   45.7   0.0   1   1   2.8e-15   3.2e-12   45.5   0.0   108   169     1    69     1    70 0.85 -
109923at6656_319348_0:002d36|TRINITY_DN75647_c2_g2_i2:325-534|+   -             70 109923at6656         -            304     3e-12   45.7   0.0   1   1   2.8e-15   3.2e-12   45.5   0.0   108   169     1    69     1    70 0.85 -
109923at6656_319348_0:002d36|TRINITY_DN75647_c2_g2_i4:388-597|+   -             70 109923at6656         -            304     3e-12   45.7   0.0   1   1   2.8e-15   3.2e-12   45.5   0.0   108   169     1    69     1    70 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/109923at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/109923at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/109923at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:44 2026
# [ok]
