#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
587958at33208_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-    -            115 587958at33208        -             89     7e-55  182.4   0.3   1   1   1.5e-56   8.5e-55  182.1   0.3     2    85    10    93     9    97 0.97 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 587958at33208        -             89   1.6e-19   69.0   0.0   1   5     0.014      0.79    9.1   0.1    12    71     4    64     2    80 0.85 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 587958at33208        -             89   1.6e-19   69.0   0.0   2   5   0.00031     0.017   14.5   0.0    12    77   349   417   341   426 0.76 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 587958at33208        -             89   1.6e-19   69.0   0.0   3   5    0.0017     0.094   12.1   0.0     8    40   527   559   523   584 0.87 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 587958at33208        -             89   1.6e-19   69.0   0.0   4   5     0.018         1    8.8   0.0     6    63   642   700   638   708 0.85 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 587958at33208        -             89   1.6e-19   69.0   0.0   5   5   5.6e-05    0.0031   16.8   0.0    12    68   745   804   735   823 0.82 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 587958at33208        -             89   1.8e-19   68.9   0.0   1   5     0.015      0.81    9.1   0.1    12    71     4    64     2    80 0.85 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 587958at33208        -             89   1.8e-19   68.9   0.0   2   5   0.00032     0.017   14.4   0.0    12    77   349   417   341   426 0.76 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 587958at33208        -             89   1.8e-19   68.9   0.0   3   5    0.0017     0.095   12.1   0.0     8    40   527   559   523   584 0.87 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 587958at33208        -             89   1.8e-19   68.9   0.0   4   5     0.019         1    8.7   0.0     6    63   642   700   638   708 0.85 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 587958at33208        -             89   1.8e-19   68.9   0.0   5   5   5.7e-05    0.0031   16.8   0.0    12    68   745   804   735   823 0.82 -
