#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
564286at33208_6565_0:0040cb|TRINITY_DN91187_c13_g1_i1:120-647|+     -            176 564286at33208        -            121   1.5e-64  214.2   0.1   1   1   4.6e-66   2.2e-64  213.7   0.1     1   119     1   124     1   126 0.96 -
434863at33208_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-  -            445 564286at33208        -            121   3.7e-32  109.6   0.7   1   3   5.1e-14   2.4e-12   45.7   0.0    33    98     1    66     1    82 0.94 -
434863at33208_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-  -            445 564286at33208        -            121   3.7e-32  109.6   0.7   2   3   6.4e-10     3e-08   32.4   0.1    24    99    79   153    59   177 0.80 -
434863at33208_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-  -            445 564286at33208        -            121   3.7e-32  109.6   0.7   3   3   6.6e-09   3.1e-07   29.2   0.0    29   105   362   438   337   444 0.92 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i12:1110-1640|- -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i12:1110-1640|- -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i14:1092-1622|- -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i14:1092-1622|- -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i1:1110-1640|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i1:1110-1640|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i2:1783-2313|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
