#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
302279at33208_6850_0:0028ba|TRINITY_DN79341_c9_g1_i1:118-1173|+     -            352 302279at33208        -            304  5.1e-144  476.4   1.3   1   1  1.7e-142  7.3e-141  466.0   1.3     1   304     1   352     1   352 0.89 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   2.6e-10   37.3   0.1   1   4     2e-05   0.00089   15.9   0.0    64   124    32    87    15    90 0.78 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   2.6e-10   37.3   0.1   2   4   0.00017    0.0075   12.8   0.0    81   124    86   129    83   133 0.87 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   2.6e-10   37.3   0.1   3   4     0.034       1.5    5.3   0.0   272   297   133   158   124   163 0.83 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 302279at33208        -            304   2.6e-10   37.3   0.1   4   4         3   1.3e+02   -1.1   0.0    93   112   238   257   195   263 0.79 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 302279at33208        -            304   8.8e-10   35.6   0.7   1   2   4.2e-09   1.8e-07   28.0   0.5    53   167   114   217    85   227 0.70 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 302279at33208        -            304   8.8e-10   35.6   0.7   2   2     0.036       1.6    5.2   0.0    84   182   225   325   218   334 0.70 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   4.2e-09   33.3   0.5   1   5   0.00012     0.005   13.4   0.0    84   127    16    60     9    74 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   4.2e-09   33.3   0.5   2   5     0.014      0.62    6.5   0.0    98   123    76   100    64   112 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   4.2e-09   33.3   0.5   3   5      0.36        16    1.9   0.0   100   126   121   147   112   156 0.83 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   4.2e-09   33.3   0.5   4   5     0.024       1.1    5.7   0.1   218   296   142   217   126   220 0.69 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   4.2e-09   33.3   0.5   5   5      0.37        16    1.9   0.0   248   296   216   261   194   263 0.84 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 302279at33208        -            304     1e-08   32.0   1.1   1   2   5.4e-09   2.3e-07   27.6   0.4   102   209     7   106     2   120 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 302279at33208        -            304     1e-08   32.0   1.1   2   2      0.21       9.1    2.7   0.0    95   124   127   155   118   175 0.73 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   1.4e-08   31.6   0.3   1   4      0.12       5.1    3.5   0.0    70   112   188   233   165   241 0.67 -
