#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68491at6656_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+     -             51 68491at6656          -            382   1.6e-21   74.2   0.1   1   1   5.8e-24   1.6e-21   74.1   0.1   237   284     1    51     1    51 0.89 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+  -            459 68491at6656          -            382   1.6e-14   51.1   3.2   1   2   0.00031     0.087    9.2   0.4   240   321    90   172    55   180 0.83 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+  -            459 68491at6656          -            382   1.6e-14   51.1   3.2   2   2   5.9e-17   1.6e-14   51.1   3.2   154   342   130   329   107   344 0.81 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i9:2409-2813|+  -            135 68491at6656          -            382   1.2e-05   21.9   0.6   1   1   1.3e-07   3.5e-05   20.3   0.6   214   335     5   130     2   132 0.88 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+  -            284 68491at6656          -            382     2e-05   21.1   0.6   1   1   3.1e-07   8.7e-05   19.0   0.1   228   323   108   203    86   207 0.86 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+  -            498 68491at6656          -            382     7e-05   19.3  11.1   1   3      0.81   2.2e+02   -2.1   0.1   166   197   148   179   142   193 0.72 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+  -            498 68491at6656          -            382     7e-05   19.3  11.1   2   3     6e-06    0.0017   14.8   4.3   249   334   300   386   201   389 0.79 -
27617at6656_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+  -            498 68491at6656          -            382     7e-05   19.3  11.1   3   3   1.1e-05     0.003   14.0   0.7   173   288   351   475   347   481 0.87 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+ -            329 68491at6656          -            382   0.00058   16.3   0.1   1   3       2.4   6.7e+02   -3.6   0.0   199   235    47    83    44   103 0.69 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+ -            329 68491at6656          -            382   0.00058   16.3   0.1   2   3    0.0086       2.4    4.4   0.0   171   255   115   208   113   226 0.76 -
36374at6656_13249_0:000c5a|TRINITY_DN88265_c10_g1_i3:1189-2175|+ -            329 68491at6656          -            382   0.00058   16.3   0.1   3   3   0.00025      0.07    9.5   0.1   171   259   219   316   209   327 0.75 -
