#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
462325at33208_294128_0:002083|TRINITY_DN80721_c7_g1_i4:1151-2632|- -            395 462325at33208        -            295  1.2e-118  393.0   0.8   1   1  7.7e-119    1e-116  386.7   0.8     1   295     5   385     5   385 0.84 -
462325at33208_50429_0:0032dd|TRINITY_DN86583_c11_g1_i3:106-1194|+  -            363 462325at33208        -            295   1.4e-47  159.7   0.0   1   1   1.9e-49   2.6e-47  158.8   0.0     1   295     2   356     2   356 0.77 -
462325at33208_50429_0:0032dd|TRINITY_DN89898_c8_g1_i1:2618-3959|-  -            372 462325at33208        -            295   1.2e-41  140.2   0.0   1   1   2.7e-43   3.6e-41  138.7   0.0    27   266    47   314     4   320 0.80 -
462325at33208_7539_0:0027d5|TRINITY_DN83555_c2_g1_i12:125-694|-    -            190 462325at33208        -            295   1.1e-32  110.9   0.0   1   1   1.1e-34   1.4e-32  110.5   0.0    90   254     1   190     1   190 0.81 -
462325at33208_7539_0:0027d5|TRINITY_DN87347_c1_g1_i2:2-388|+       -            129 462325at33208        -            295   1.5e-23   80.8   0.0   1   1   1.4e-25   1.8e-23   80.6   0.0   117   232     1   122     1   127 0.89 -
462325at33208_7539_0:0027d5|TRINITY_DN75674_c0_g1_i10:1-393|-      -            131 462325at33208        -            295   1.7e-23   80.6   0.0   1   1   1.5e-25   1.9e-23   80.5   0.0   134   236     4   111     2   131 0.86 -
462325at33208_7719_0:002e72|TRINITY_DN86232_c5_g3_i6:2074-2943|+   -            290 462325at33208        -            295   4.6e-20   69.4   0.0   1   1   1.1e-21   1.4e-19   67.8   0.0    80   274    19   246     9   252 0.76 -
462325at33208_7719_0:002e72|TRINITY_DN76475_c5_g3_i1:79-930|-      -            284 462325at33208        -            295   7.9e-19   65.3   0.0   1   2   3.6e-20   4.7e-18   62.8   0.0   105   281    36   233     1   237 0.73 -
462325at33208_7719_0:002e72|TRINITY_DN76475_c5_g3_i1:79-930|-      -            284 462325at33208        -            295   7.9e-19   65.3   0.0   2   2      0.97   1.3e+02   -1.0   0.0   274   291   251   268   240   281 0.55 -
462325at33208_9258_0:003884|TRINITY_DN91750_c9_g3_i1:268-1470|+    -            401 462325at33208        -            295   1.7e-18   64.2   0.0   1   2   3.7e-09   4.9e-07   26.6   0.0    50   149    61   179    21   199 0.79 -
462325at33208_9258_0:003884|TRINITY_DN91750_c9_g3_i1:268-1470|+    -            401 462325at33208        -            295   1.7e-18   64.2   0.0   2   2   1.3e-11   1.7e-09   34.7   0.0   166   295   231   392   213   392 0.65 -
