#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80693at6656_13249_0:00256d|TRINITY_DN91554_c9_g11_i1:1518-2240|-  -            241 80693at6656          -            259   1.4e-49  166.2   0.0   1   1   9.3e-52   1.9e-49  165.8   0.0   164   259    74   174    66   174 0.94 -
80693at6656_38123_0:000727|TRINITY_DN63131_c0_g2_i1:528-914|-     -            129 80693at6656          -            259     2e-34  116.5   1.2   1   2   5.9e-05     0.012   12.4   0.2    47    63     1    17     1    28 0.87 -
80693at6656_38123_0:000727|TRINITY_DN63131_c0_g2_i1:528-914|-     -            129 80693at6656          -            259     2e-34  116.5   1.2   2   2   9.9e-33     2e-30  103.4   0.0    57   137    38   128    30   129 0.91 -
80693at6656_1218281_0:0015f5|TRINITY_DN78099_c7_g1_i5:86-388|-    -            101 80693at6656          -            259   2.3e-16   57.3   0.0   1   1   1.2e-18   2.4e-16   57.3   0.0   163   252     4    92     1    98 0.93 -
86488at6656_126957_0:001721|TRINITY_DN81655_c9_g1_i5:267-836|+    -            190 80693at6656          -            259   3.2e-13   47.0   0.0   1   2    0.0009      0.18    8.5   0.0   164   212     2    53     1    82 0.86 -
86488at6656_126957_0:001721|TRINITY_DN81655_c9_g1_i5:267-836|+    -            190 80693at6656          -            259   3.2e-13   47.0   0.0   2   2   1.9e-12   3.9e-10   36.9   0.0   161   241   105   189    91   190 0.88 -
86488at6656_1629725_0:001166|TRINITY_DN72494_c7_g1_i6:1167-1643|- -            159 80693at6656          -            259   1.6e-10   38.2   0.0   1   1   9.9e-13     2e-10   37.9   0.0   157   241    58   144    40   155 0.89 -
86488at6656_1629725_0:001166|TRINITY_DN77745_c8_g1_i2:1800-2246|- -            149 80693at6656          -            259   2.2e-09   34.4   0.0   1   1   1.3e-11   2.7e-09   34.2   0.0   155   238    59   148    48   149 0.86 -
86488at6656_294128_0:002049|TRINITY_DN91478_c11_g4_i1:83-1381|+   -            433 80693at6656          -            259   4.9e-09   33.3   0.0   1   1   3.7e-11   7.4e-09   32.7   0.0   160   243   332   417   330   427 0.85 -
86488at6656_418985_0:001fee|TRINITY_DN93075_c8_g1_i2:224-505|+    -             94 80693at6656          -            259   3.2e-08   30.7   0.0   1   1   1.9e-10   3.8e-08   30.4   0.0   164   240     6    88     3    92 0.82 -
86488at6656_418985_0:001fee|TRINITY_DN93277_c1_g1_i5:2070-2477|+  -            136 80693at6656          -            259   6.6e-07   26.3   0.0   1   2      0.26        54    0.4   0.0   226   242    17    33    13    46 0.79 -
86488at6656_418985_0:001fee|TRINITY_DN93277_c1_g1_i5:2070-2477|+  -            136 80693at6656          -            259   6.6e-07   26.3   0.0   2   2     2e-08     4e-06   23.8   0.0   163   240    55   133    51   135 0.87 -
86488at6656_34638_0:002cf7|TRINITY_DN84489_c15_g1_i2:868-1377|-   -            170 80693at6656          -            259   4.8e-06   23.5   0.0   1   1   6.4e-08   1.3e-05   22.1   0.0   158   207    50   101    46   162 0.84 -
86488at6656_34638_0:002cf7|TRINITY_DN93596_c13_g1_i5:2639-3106|+  -            156 80693at6656          -            259   7.1e-05   19.7   0.0   1   1   4.5e-07   9.2e-05   19.3   0.0   162   239    68   155    53   156 0.78 -
86488at6656_418985_0:001fee|TRINITY_DN79287_c17_g1_i1:1043-1441|+ -            133 80693at6656          -            259   0.00014   18.7   0.0   1   1   7.1e-07   0.00014   18.7   0.0   164   211    54   103    49   133 0.81 -
80693at6656_1218281_0:0015f5|TRINITY_DN85749_c14_g1_i4:398-658|-  -             87 80693at6656          -            259   0.00014   18.7   0.0   1   1   1.1e-06   0.00023   18.0   0.0   164   209     1    47     1    56 0.78 -
80693at6656_407821_0:0010a3|TRINITY_DN94238_c0_g1_i1:105-524|+    -            140 80693at6656          -            259   0.00025   17.9   1.4   1   2   9.8e-05      0.02   11.7   1.1     1    21    19    39    19    78 0.76 -
80693at6656_407821_0:0010a3|TRINITY_DN94238_c0_g1_i1:105-524|+    -            140 80693at6656          -            259   0.00025   17.9   1.4   2   2     0.043       8.7    3.0   0.0    11    49   102   140    95   140 0.86 -
86488at6656_1629725_0:001166|TRINITY_DN91342_c2_g1_i4:542-991|+   -            150 80693at6656          -            259     0.012   12.4   0.0   1   1   7.6e-05     0.015   12.0   0.0   163   236    66   149    59   150 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/80693at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/80693at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/80693at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
