#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
58276at6656_88015_0:003054|TRINITY_DN84319_c14_g1_i3:941-2188|-  -            416 58276at6656          -            337  3.2e-176  582.6   0.0   1   1  1.8e-178  3.8e-176  582.4   0.0     1   337    31   410    31   410 0.94 -
58276at6656_319348_0:003341|TRINITY_DN84209_c16_g2_i5:711-1772|+ -            354 58276at6656          -            337   2.5e-40  135.9   0.0   1   1   1.4e-42     3e-40  135.6   0.0    62   328    51   353    28   354 0.84 -
58276at6656_319348_0:003341|TRINITY_DN80741_c8_g2_i4:137-1508|+  -            376 58276at6656          -            337   7.5e-40  134.3   0.1   1   1   4.3e-42   9.4e-40  134.0   0.1    12   333    13   376     6   376 0.80 -
58276at6656_319348_0:003341|TRINITY_DN84644_c12_g2_i2:245-1366|+ -            374 58276at6656          -            337   3.3e-33  112.5   0.0   1   1   2.1e-35   4.5e-33  112.0   0.0    12   334     3   373     1   374 0.78 -
58276at6656_307658_0:00028f|TRINITY_DN77041_c11_g1_i6:695-1756|+ -            354 58276at6656          -            337   8.2e-32  107.9   0.0   1   1   5.6e-34   1.2e-31  107.3   0.0    78   332    55   348    11   352 0.81 -
58276at6656_319348_0:003341|TRINITY_DN89525_c6_g2_i1:171-1007|+  -            279 58276at6656          -            337     2e-30  103.3   0.0   1   1   1.2e-32   2.5e-30  103.0   0.0    14   246     5   279     2   279 0.80 -
58276at6656_319348_0:003341|TRINITY_DN85770_c11_g1_i2:905-1924|- -            340 58276at6656          -            337   2.2e-30  103.2   0.1   1   1     2e-32   4.2e-30  102.2   0.1    84   332    48   335    11   338 0.78 -
58276at6656_319348_0:003341|TRINITY_DN73801_c9_g2_i5:238-1362|+  -            375 58276at6656          -            337   8.4e-25   84.8   0.0   1   1   5.6e-27   1.2e-24   84.3   0.0    90   336    96   375     2   375 0.73 -
58276at6656_319348_0:003341|TRINITY_DN85098_c8_g1_i4:890-1960|-  -            357 58276at6656          -            337   3.2e-21   73.1   0.0   1   1     2e-23   4.4e-21   72.6   0.0    91   312    85   337    72   353 0.74 -
58276at6656_39758_0:00079c|TRINITY_DN80741_c8_g2_i4:936-1313|+   -            126 58276at6656          -            337   1.3e-14   51.3   0.0   1   1     6e-17   1.3e-14   51.3   0.0   159   269     8   122     1   126 0.87 -
58276at6656_319348_0:003341|TRINITY_DN86972_c2_g2_i1:150-833|+   -            228 58276at6656          -            337   1.5e-14   51.1   0.0   1   1   8.6e-17   1.9e-14   50.8   0.0    12   192     8   227     2   228 0.71 -
58276at6656_158441_0:00026c|TRINITY_DN79931_c12_g1_i3:256-924|+  -            223 58276at6656          -            337   4.1e-09   33.3   0.0   1   1   2.4e-11   5.3e-09   32.9   0.0    57   194    57   220     1   223 0.66 -
58276at6656_56086_0:001d4c|TRINITY_DN93072_c9_g2_i14:1045-1965|+ -            307 58276at6656          -            337   2.6e-07   27.4   0.0   1   1   9.6e-09   2.1e-06   24.4   0.0    88   198    20   166     1   182 0.65 -
58276at6656_568069_0:004031|TRINITY_DN76680_c13_g2_i1:508-1554|+ -            349 58276at6656          -            337   0.00099   15.6   0.0   1   2   8.1e-05     0.018   11.5   0.0    87   142    49   109    42   137 0.71 -
58276at6656_568069_0:004031|TRINITY_DN76680_c13_g2_i1:508-1554|+ -            349 58276at6656          -            337   0.00099   15.6   0.0   2   2     0.067        15    1.9   0.0   168   198   169   199   162   259 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/58276at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/58276at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/58276at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
