#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 581717at33208        -            249   3.4e-63  212.2   0.4   1   1   1.2e-62   3.4e-61  205.7   0.4    33   232    81   315    35   316 0.79 -
581717at33208_10224_0:000b22|TRINITY_DN74244_c12_g1_i1:214-813|-    -            200 581717at33208        -            249   1.5e-44  151.1   0.1   1   1   7.4e-46     2e-44  150.7   0.1    98   238     2   157     1   160 0.87 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 581717at33208        -            249   2.7e-15   55.3   3.7   1   6      0.23       6.3    5.0   0.0   184   214     6    36     1    40 0.89 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 581717at33208        -            249   2.7e-15   55.3   3.7   2   6     0.044       1.2    7.3   0.0   176   209    40    73    32    78 0.84 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 581717at33208        -            249   2.7e-15   55.3   3.7   3   6      0.26       7.2    4.8   0.1   170   213    76   119    73   124 0.86 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 581717at33208        -            249   2.7e-15   55.3   3.7   4   6     0.012      0.32    9.2   0.1   181   212   129   160   119   163 0.87 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 581717at33208        -            249   2.7e-15   55.3   3.7   5   6   1.1e-05    0.0003   19.1   0.0   173   221   163   211   161   215 0.92 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+      -            284 581717at33208        -            249   2.7e-15   55.3   3.7   6   6     0.073         2    6.6   0.0   156   209   228   283   215   284 0.86 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   4.5e-15   54.6   5.0   1   6     0.017      0.46    8.7   0.0   175   215    10    50     6    55 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   4.5e-15   54.6   5.0   2   6      0.06       1.7    6.9   0.0   177   210    54    87    48    92 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   4.5e-15   54.6   5.0   3   6       0.2       5.4    5.2   0.0   170   213    89   132    84   143 0.86 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   4.5e-15   54.6   5.0   4   6     0.011      0.31    9.3   0.1   181   213   142   174   132   177 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   4.5e-15   54.6   5.0   5   6   1.1e-05   0.00029   19.2   0.0   173   221   176   224   173   228 0.92 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 581717at33208        -            249   4.5e-15   54.6   5.0   6   6      0.56        15    3.7   0.0   155   203   240   290   227   292 0.82 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+   -            303 581717at33208        -            249   3.4e-14   51.7   0.0   1   3    0.0056      0.15   10.3   0.0   171   210     3    43     2    46 0.92 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+   -            303 581717at33208        -            249   3.4e-14   51.7   0.0   2   3   3.9e-07   1.1e-05   23.9   0.0   169   239    45   116    41   118 0.94 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+   -            303 581717at33208        -            249   3.4e-14   51.7   0.0   3   3   0.00012    0.0034   15.7   0.0   155   212   115   174   114   189 0.89 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+   -            303 581717at33208        -            249   3.4e-14   51.7   0.0   1   3    0.0056      0.15   10.3   0.0   171   210     3    43     2    46 0.92 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+   -            303 581717at33208        -            249   3.4e-14   51.7   0.0   2   3   3.9e-07   1.1e-05   23.9   0.0   169   239    45   116    41   118 0.94 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+   -            303 581717at33208        -            249   3.4e-14   51.7   0.0   3   3   0.00012    0.0034   15.7   0.0   155   212   115   174   114   189 0.89 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249   3.4e-14   51.7   0.0   1   3    0.0056      0.15   10.3   0.0   171   210     3    43     2    46 0.92 -
