#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69403at6656_294128_0:002eec|TRINITY_DN76693_c10_g2_i5:360-1037|- -            226 69403at6656          -            315   1.2e-84  283.2   0.4   1   1   5.6e-87   2.4e-84  282.2   0.4   120   314     1   222     1   223 0.89 -
69403at6656_6945_0:001315|TRINITY_DN76693_c10_g2_i3:360-989|-    -            210 69403at6656          -            315   1.7e-76  256.5   0.1   1   1   7.9e-79   3.4e-76  255.5   0.1   136   314     1   206     1   207 0.89 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315   1.1e-55  188.1   4.9   1   3   1.3e-40   5.5e-38  130.0   1.0     2    79    12    89    11    95 0.97 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315   1.1e-55  188.1   4.9   2   3   1.1e-16   4.6e-14   51.4   0.0    78   118   126   166    98   177 0.86 -
69403at6656_64459_0:001438|TRINITY_DN92031_c9_g2_i2:1031-1747|+  -            239 69403at6656          -            315   1.1e-55  188.1   4.9   3   3    0.0028       1.2    7.3   0.0   116   134   221   239   210   239 0.82 -
69403at6656_79782_0:002942|TRINITY_DN79443_c10_g3_i1:458-1666|-  -            403 69403at6656          -            315   4.2e-46  156.6   0.3   1   2   5.1e-10   2.2e-07   29.4   0.0    11    79     6    73     1    96 0.88 -
69403at6656_79782_0:002942|TRINITY_DN79443_c10_g3_i1:458-1666|-  -            403 69403at6656          -            315   4.2e-46  156.6   0.3   2   2     4e-39   1.7e-36  125.0   0.1   151   313   227   402   168   403 0.83 -
69403at6656_79782_0:002942|TRINITY_DN78694_c6_g1_i8:302-1624|+   -            441 69403at6656          -            315   1.6e-44  151.5   0.0   1   3   2.5e-06    0.0011   17.3   0.0     9    64     4    59     1    73 0.87 -
69403at6656_79782_0:002942|TRINITY_DN78694_c6_g1_i8:302-1624|+   -            441 69403at6656          -            315   1.6e-44  151.5   0.0   2   3      0.13        58    1.8   0.0    80   102   147   169   141   215 0.81 -
69403at6656_79782_0:002942|TRINITY_DN78694_c6_g1_i8:302-1624|+   -            441 69403at6656          -            315   1.6e-44  151.5   0.0   3   3     3e-40   1.3e-37  128.7   0.0   120   315   218   441   212   441 0.79 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315   3.6e-44  150.2   0.0   1   3   4.6e-11     2e-08   32.8   0.0     7    70     2    66     1    84 0.88 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315   3.6e-44  150.2   0.0   2   3   0.00017     0.073   11.3   0.0    83   121   116   154   110   172 0.92 -
69403at6656_79782_0:002942|TRINITY_DN76298_c9_g4_i1:154-1416|+   -            421 69403at6656          -            315   3.6e-44  150.2   0.0   3   3   2.3e-32     1e-29  102.8   0.0   119   315   205   419   167   419 0.85 -
69403at6656_6973_0:001666|TRINITY_DN76693_c10_g2_i2:86-526|-     -            147 69403at6656          -            315   3.6e-43  147.0   0.7   1   1     2e-45   8.4e-43  145.8   0.7   121   242     1   147     1   147 0.85 -
69403at6656_29030_0:0009e2|TRINITY_DN78694_c6_g1_i5:1130-2008|+  -            293 69403at6656          -            315   5.6e-39  133.2   0.1   1   2      0.28   1.2e+02    0.7   0.0    82   102     1    21     1    66 0.79 -
69403at6656_29030_0:0009e2|TRINITY_DN78694_c6_g1_i5:1130-2008|+  -            293 69403at6656          -            315   5.6e-39  133.2   0.1   2   2     9e-41   3.8e-38  130.5   0.0   120   315    70   293    63   293 0.80 -
69403at6656_7176_0:0006fa|TRINITY_DN78694_c6_g1_i10:1023-1709|+  -            229 69403at6656          -            315   1.3e-38  132.0   0.0   1   1   4.2e-41   1.8e-38  131.5   0.0   120   315     6   229     2   229 0.79 -
69403at6656_7176_0:0006fa|TRINITY_DN78694_c6_g1_i3:1407-2093|+   -            229 69403at6656          -            315   1.3e-38  132.0   0.0   1   1   4.2e-41   1.8e-38  131.5   0.0   120   315     6   229     2   229 0.79 -
69403at6656_34740_0:001d40|TRINITY_DN76693_c10_g2_i4:363-596|-   -             78 69403at6656          -            315   6.9e-35  119.8   0.0   1   1   1.8e-37   7.6e-35  119.6   0.0   242   314     1    75     1    76 0.96 -
69403at6656_1629725_0:002106|TRINITY_DN76298_c9_g4_i2:234-635|+  -            134 69403at6656          -            315   3.5e-22   78.0   0.1   1   1     1e-24   4.4e-22   77.7   0.1   151   262    10   133     5   134 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i13:90-377|-  -             96 69403at6656          -            315    0.0097   14.1   0.2   1   1   2.6e-05     0.011   13.9   0.2    59   102    33    76    21    83 0.85 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i3:5-337|-    -            111 69403at6656          -            315     0.012   13.8   0.2   1   1   3.3e-05     0.014   13.6   0.2    59   102    48    91    35    99 0.84 -
153534at6656_108931_0:001997|TRINITY_DN89742_c3_g1_i1:30-413|-   -            128 69403at6656          -            315     0.018   13.3   0.2   1   1   5.2e-05     0.022   13.0   0.2    59   102    43    86    32    93 0.84 -
153534at6656_112268_0:001982|TRINITY_DN89742_c3_g1_i12:51-290|-  -             80 69403at6656          -            315     0.021   13.1   0.2   1   1   5.7e-05     0.024   12.8   0.2    65   102    10    47     4    55 0.86 -
