#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
113817at6656_132113_0:002d6c|TRINITY_DN86577_c6_g1_i2:448-1038|+    -            197 113817at6656         -            193   1.4e-74  248.8   3.5   1   1   1.2e-76   1.6e-74  248.7   3.5    20   192     7   193     1   194 0.86 -
113817at6656_144034_0:0021ac|TRINITY_DN86577_c6_g1_i1:37-576|+      -            180 113817at6656         -            193   4.7e-73  243.9   1.0   1   1   4.3e-75   5.7e-73  243.6   1.0    33   192     6   176     4   177 0.92 -
113817at6656_7038_0:00193c|TRINITY_DN86577_c6_g1_i3:277-983|+       -            234 113817at6656         -            193   8.1e-58  194.1  13.6   1   2     3e-44     4e-42  142.9   8.8     9   141    52   195    46   198 0.83 -
113817at6656_7038_0:00193c|TRINITY_DN86577_c6_g1_i3:277-983|+       -            234 113817at6656         -            193   8.1e-58  194.1  13.6   2   2   4.8e-17   6.5e-15   54.2   0.2   160   192   198   230   195   231 0.96 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+    -            550 113817at6656         -            193   2.3e-48  163.3  26.4   1   3   3.3e-19   4.4e-17   61.3   1.8    34   140     2   110     1   129 0.91 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+    -            550 113817at6656         -            193   2.3e-48  163.3  26.4   2   3   3.1e-12   4.2e-10   38.5  10.9    23   155   220   357   216   361 0.82 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i1:106-1871|+    -            550 113817at6656         -            193   2.3e-48  163.3  26.4   3   3   7.8e-23     1e-20   73.1   1.8    23   139   358   474   335   478 0.83 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+    -            550 113817at6656         -            193   2.3e-48  163.3  26.4   1   3   3.3e-19   4.4e-17   61.3   1.8    34   140     2   110     1   129 0.91 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+    -            550 113817at6656         -            193   2.3e-48  163.3  26.4   2   3   3.1e-12   4.2e-10   38.5  10.9    23   155   220   357   216   361 0.82 -
59200at6656_294128_0:002224|TRINITY_DN78763_c15_g5_i3:106-1755|+    -            550 113817at6656         -            193   2.3e-48  163.3  26.4   3   3   7.8e-23     1e-20   73.1   1.8    23   139   358   474   335   478 0.83 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+      -            580 113817at6656         -            193   2.7e-37  127.2  18.2   1   4   4.6e-28   6.2e-26   90.1   5.4    34   140    83   196    66   219 0.86 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+      -            580 113817at6656         -            193   2.7e-37  127.2  18.2   2   4   2.4e-07   3.2e-05   22.5   0.1    69   140   305   376   239   385 0.71 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+      -            580 113817at6656         -            193   2.7e-37  127.2  18.2   3   4   0.00037     0.049   12.1   0.1    84   131   388   449   384   458 0.60 -
36374at6656_136037_0:001463|TRINITY_DN74618_c9_g1_i1:16-1755|+      -            580 113817at6656         -            193   2.7e-37  127.2  18.2   4   4     0.076        10    4.6   0.1    50   144   461   558   453   573 0.75 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-      -            414 113817at6656         -            193   1.3e-35  121.7  18.2   1   3     3e-07     4e-05   22.2   0.0    83   140     5    62     2    73 0.92 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-      -            414 113817at6656         -            193   1.3e-35  121.7  18.2   2   3    0.0043      0.57    8.7   1.6    83   156   119   190    61   190 0.70 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-      -            414 113817at6656         -            193   1.3e-35  121.7  18.2   3   3   4.9e-30   6.5e-28   96.6   9.4    34   149   182   304   179   323 0.84 -
36374at6656_121225_0:00147f|TRINITY_DN74618_c9_g1_i2:43-642|+       -            200 113817at6656         -            193   1.8e-27   95.2   3.8   1   1   1.8e-29   2.4e-27   94.7   3.8    34   140    74   187    56   194 0.86 -
113817at6656_45779_0:00392d|TRINITY_DN85566_c12_g3_i1:431-898|+     -            156 113817at6656         -            193   1.9e-25   88.5   4.9   1   1   1.8e-27   2.4e-25   88.2   4.9    16   141    14   141     3   153 0.81 -
113817at6656_45779_0:00392d|TRINITY_DN85566_c12_g3_i2:333-800|+     -            156 113817at6656         -            193   1.9e-25   88.5   4.9   1   1   1.8e-27   2.4e-25   88.2   4.9    16   141    14   141     3   153 0.81 -
14090at6656_133901_0:0007ab|TRINITY_DN93353_c6_g1_i6:188-3329|-     -            833 113817at6656         -            193   4.4e-25   87.3   1.1   1   1   6.9e-27   9.2e-25   86.3   1.1    38   152     7   129     2   149 0.85 -
14090at6656_133901_0:0007ab|TRINITY_DN93353_c6_g1_i5:188-3109|-     -            834 113817at6656         -            193   4.5e-25   87.3   1.1   1   1   6.9e-27   9.2e-25   86.3   1.1    38   152     7   129     2   149 0.85 -
14090at6656_133901_0:0007ab|TRINITY_DN93353_c6_g1_i7:188-2887|-     -            834 113817at6656         -            193   4.5e-25   87.3   1.1   1   1   6.9e-27   9.2e-25   86.3   1.1    38   152     7   129     2   149 0.85 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i3:89-457|+        -            123 113817at6656         -            193   7.6e-25   86.6   6.8   1   1   6.6e-27   8.8e-25   86.4   6.8    32   140     4   114     1   121 0.93 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i4:89-457|+        -            123 113817at6656         -            193   7.6e-25   86.6   6.8   1   1   6.6e-27   8.8e-25   86.4   6.8    32   140     4   114     1   121 0.93 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i2:312-995|-     -            228 113817at6656         -            193   3.2e-24   84.5   6.6   1   1   3.2e-26   4.3e-24   84.1   6.6    17   155    76   215    62   218 0.81 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i5:1584-2648|-   -            355 113817at6656         -            193   8.5e-24   83.2   6.6   1   1   9.7e-26   1.3e-23   82.6   6.6    19   155    78   215    62   218 0.81 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   1   4     1e-06   0.00014   20.5   0.0    85   137    28    80    12    84 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   2   4   4.3e-11   5.8e-09   34.8   0.7    44   143    53   152    51   161 0.88 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   3   4   1.4e-11   1.8e-09   36.4   2.0    44   139   121   218   117   222 0.89 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i2:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   4   4     0.002      0.27    9.8   0.0    81   126   228   273   219   274 0.75 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   1   4     1e-06   0.00014   20.5   0.0    85   137    28    80    12    84 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   2   4   4.3e-11   5.8e-09   34.8   0.7    44   143    53   152    51   161 0.88 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   3   4   1.4e-11   1.8e-09   36.4   2.0    44   139   121   218   117   222 0.89 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i5:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   4   4     0.002      0.27    9.8   0.0    81   126   228   273   219   274 0.75 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+       -            274 113817at6656         -            193   6.5e-22   77.0  11.4   1   4     1e-06   0.00014   20.5   0.0    85   137    28    80    12    84 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+       -            274 113817at6656         -            193   6.5e-22   77.0  11.4   2   4   4.3e-11   5.8e-09   34.8   0.7    44   143    53   152    51   161 0.88 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+       -            274 113817at6656         -            193   6.5e-22   77.0  11.4   3   4   1.4e-11   1.8e-09   36.4   2.0    44   139   121   218   117   222 0.89 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i6:130-951|+       -            274 113817at6656         -            193   6.5e-22   77.0  11.4   4   4     0.002      0.27    9.8   0.0    81   126   228   273   219   274 0.75 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   1   4     1e-06   0.00014   20.5   0.0    85   137    28    80    12    84 0.92 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   2   4   4.3e-11   5.8e-09   34.8   0.7    44   143    53   152    51   161 0.88 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   3   4   1.4e-11   1.8e-09   36.4   2.0    44   139   121   218   117   222 0.89 -
55417at6656_93721_0:001e77|TRINITY_DN82081_c6_g1_i8:1020-1841|+     -            274 113817at6656         -            193   6.5e-22   77.0  11.4   4   4     0.002      0.27    9.8   0.0    81   126   228   273   219   274 0.75 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+      -            492 113817at6656         -            193   1.4e-18   66.2  13.0   1   3   2.5e-08   3.3e-06   25.7   0.1    31   160    23   150    19   155 0.84 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+      -            492 113817at6656         -            193   1.4e-18   66.2  13.0   2   3   1.5e-07     2e-05   23.2   0.1    46   151   152   259   143   268 0.89 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+      -            492 113817at6656         -            193   1.4e-18   66.2  13.0   3   3   2.3e-06   0.00031   19.3   4.0    81   143   306   367   301   382 0.85 -
113817at6656_1041015_0:00151d|TRINITY_DN86442_c15_g1_i2:1142-1543|+ -            134 113817at6656         -            193   4.8e-18   64.4   1.3   1   1   5.3e-20   7.1e-18   63.8   1.3    32   141     6   125     1   132 0.82 -
113817at6656_1041015_0:00151d|TRINITY_DN86442_c15_g1_i3:1311-1712|+ -            134 113817at6656         -            193   4.8e-18   64.4   1.3   1   1   5.3e-20   7.1e-18   63.8   1.3    32   141     6   125     1   132 0.82 -
59200at6656_197043_0:0019bd|TRINITY_DN78763_c15_g5_i2:127-587|+     -            115 113817at6656         -            193   2.2e-17   62.2   0.6   1   1   1.9e-19   2.5e-17   62.0   0.6    40   140     1   103     1   110 0.93 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i7:379-759|+       -            127 113817at6656         -            193   2.9e-16   58.6   0.5   1   1   2.6e-18   3.4e-16   58.3   0.5    32   135     6   115     2   124 0.87 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i9:379-759|+       -            127 113817at6656         -            193   2.9e-16   58.6   0.5   1   1   2.6e-18   3.4e-16   58.3   0.5    32   135     6   115     2   124 0.87 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i11:392-823|+      -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i15:379-810|+      -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i18:392-823|+      -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i19:421-852|+      -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i2:421-852|+       -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i3:379-810|+       -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
113817at6656_7200_0:002306|TRINITY_DN79567_c9_g1_i8:379-810|+       -            144 113817at6656         -            193   3.4e-16   58.4   4.3   1   1     3e-18     4e-16   58.1   4.3    32   153     6   139     2   144 0.83 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+     -            210 113817at6656         -            193     3e-15   55.3   0.1   1   2   2.5e-07   3.3e-05   22.5   0.0    82   139    38    95    22    97 0.93 -
27617at6656_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+     -            210 113817at6656         -            193     3e-15   55.3   0.1   2   2   6.2e-10   8.3e-08   31.0   0.1    47   146   103   204    99   208 0.89 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+     -            284 113817at6656         -            193   3.4e-15   55.1   0.8   1   3       3.7   4.9e+02   -0.9   0.0    44    62    11    29     6    41 0.82 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+     -            284 113817at6656         -            193   3.4e-15   55.1   0.8   2   3   4.3e-07   5.7e-05   21.7   0.0    82   139    85   142    69   144 0.93 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+     -            284 113817at6656         -            193   3.4e-15   55.1   0.8   3   3   1.3e-09   1.7e-07   30.0   0.3    47   147   150   252   146   258 0.89 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+     -            284 113817at6656         -            193   3.4e-15   55.1   0.8   1   3       3.7   4.9e+02   -0.9   0.0    44    62    11    29     6    41 0.82 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+     -            284 113817at6656         -            193   3.4e-15   55.1   0.8   2   3   4.3e-07   5.7e-05   21.7   0.0    82   139    85   142    69   144 0.93 -
27617at6656_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+     -            284 113817at6656         -            193   3.4e-15   55.1   0.8   3   3   1.3e-09   1.7e-07   30.0   0.3    47   147   150   252   146   258 0.89 -
59200at6656_197043_0:0019bd|TRINITY_DN73704_c13_g1_i1:1540-1893|-   -            118 113817at6656         -            193   3.9e-15   54.9   0.9   1   1     3e-17     4e-15   54.9   0.9    38   134     2   100     1   118 0.87 -
59200at6656_197043_0:0019bd|TRINITY_DN73704_c13_g1_i2:1427-1780|-   -            118 113817at6656         -            193   3.9e-15   54.9   0.9   1   1     3e-17     4e-15   54.9   0.9    38   134     2   100     1   118 0.87 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+         -            293 113817at6656         -            193   7.2e-15   54.0   0.5   1   2   4.6e-07   6.2e-05   21.6   0.0    82   139    59   116    44   118 0.93 -
27617at6656_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+         -            293 113817at6656         -            193   7.2e-15   54.0   0.5   2   2   1.4e-09   1.9e-07   29.8   0.3    47   147   124   226   120   231 0.89 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+      -            344 113817at6656         -            193   9.6e-15   53.6   7.8   1   4   6.4e-05    0.0086   14.6   0.0    80   134    40    94    22    95 0.92 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+      -            344 113817at6656         -            193   9.6e-15   53.6   7.8   2   4     4e-07   5.3e-05   21.8   0.1    89   160    83   150    77   156 0.90 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+      -            344 113817at6656         -            193   9.6e-15   53.6   7.8   3   4   9.1e-08   1.2e-05   23.9   0.1    46   150   152   258   148   267 0.90 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i1:72-1103|+      -            344 113817at6656         -            193   9.6e-15   53.6   7.8   4   4      0.31        41    2.6   1.4    81   101   306   326   262   343 0.81 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i3:1026-1487|+    -            154 113817at6656         -            193   1.1e-14   53.4   0.4   1   2   3.4e-07   4.6e-05   22.0   0.0    85   137    26    78     8    81 0.92 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i3:1026-1487|+    -            154 113817at6656         -            193   1.1e-14   53.4   0.4   2   2   1.7e-11   2.3e-09   36.0   0.2    44   139    51   148    49   152 0.91 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i4:136-597|+      -            154 113817at6656         -            193   1.1e-14   53.4   0.4   1   2   3.4e-07   4.6e-05   22.0   0.0    85   137    26    78     8    81 0.92 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i4:136-597|+      -            154 113817at6656         -            193   1.1e-14   53.4   0.4   2   2   1.7e-11   2.3e-09   36.0   0.2    44   139    51   148    49   152 0.91 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i7:1026-1487|+    -            154 113817at6656         -            193   1.1e-14   53.4   0.4   1   2   3.4e-07   4.6e-05   22.0   0.0    85   137    26    78     8    81 0.92 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i7:1026-1487|+    -            154 113817at6656         -            193   1.1e-14   53.4   0.4   2   2   1.7e-11   2.3e-09   36.0   0.2    44   139    51   148    49   152 0.91 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+    -            154 113817at6656         -            193   1.1e-14   53.4   0.4   1   2   3.4e-07   4.6e-05   22.0   0.0    85   137    26    78     8    81 0.92 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+    -            154 113817at6656         -            193   1.1e-14   53.4   0.4   2   2   1.7e-11   2.3e-09   36.0   0.2    44   139    51   148    49   152 0.91 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i1:2504-2887|-    -            128 113817at6656         -            193   1.2e-14   53.3   0.1   1   1   9.8e-17   1.3e-14   53.2   0.1    38   126     6    96     2   122 0.86 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i4:2156-2539|-    -            128 113817at6656         -            193   1.2e-14   53.3   0.1   1   1   9.8e-17   1.3e-14   53.2   0.1    38   126     6    96     2   122 0.86 -
113817at6656_197043_0:001b73|TRINITY_DN86442_c15_g1_i1:1482-1781|+  -            100 113817at6656         -            193   1.2e-14   53.3   0.2   1   1   1.2e-16   1.7e-14   52.8   0.2    46   134     2   100     1   100 0.80 -
113817at6656_6945_0:004563|TRINITY_DN86442_c15_g1_i4:1172-1351|+    -             60 113817at6656         -            193   4.9e-12   44.8   1.1   1   1   3.9e-14   5.2e-12   44.7   1.1    39    94     3    60     1    60 0.87 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   1   2   2.3e-06   0.00031   19.3   0.1    86   139     3    56     1    58 0.91 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i3:2409-2813|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   2   2     1e-06   0.00014   20.5   0.0    81   138    66   123    56   130 0.70 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   1   2   2.3e-06   0.00031   19.3   0.1    86   139     3    56     1    58 0.91 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i4:1519-1923|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   2   2     1e-06   0.00014   20.5   0.0    81   138    66   123    56   130 0.70 -
55417at6656_67767_0:0011a0|TRINITY_DN82081_c6_g1_i7:2409-2813|+     -            135 113817at6656         -            193   4.3e-11   41.7   0.2   1   2   2.3e-06   0.00031   19.3   0.1    86   139     3    56     1    58 0.91 -
