#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104063at6656_438503_0:001002|TRINITY_DN81693_c14_g1_i2:513-1373|- -            287 104063at6656         -            202   3.1e-72  241.3   0.1   1   1   3.8e-75   3.9e-72  240.9   0.1     1   201     8   245     8   246 0.91 -
104063at6656_6850_0:0041cd|TRINITY_DN81693_c14_g1_i3:320-1204|-   -            295 104063at6656         -            202   3.4e-72  241.1   0.1   1   1   4.2e-75   4.3e-72  240.8   0.1     1   201     9   246     9   247 0.91 -
104063at6656_121845_0:00059b|TRINITY_DN81693_c14_g1_i1:130-597|-  -            156 104063at6656         -            202   2.4e-47  160.0   0.2   1   1   2.8e-50   2.9e-47  159.8   0.2     1   130     1   153     1   156 0.90 -
104063at6656_158441_0:000a66|TRINITY_DN74687_c7_g1_i2:493-1173|+  -            227 104063at6656         -            202   3.1e-15   55.2   0.0   1   1     1e-17     1e-14   53.5   0.0    37   201     2   180     1   181 0.79 -
104063at6656_158441_0:000a66|TRINITY_DN74687_c7_g1_i3:344-1024|+  -            227 104063at6656         -            202   3.1e-15   55.2   0.0   1   1     1e-17     1e-14   53.5   0.0    37   201     2   180     1   181 0.79 -
104063at6656_158441_0:000a66|TRINITY_DN74687_c7_g1_i4:492-1172|+  -            227 104063at6656         -            202   3.1e-15   55.2   0.0   1   1     1e-17     1e-14   53.5   0.0    37   201     2   180     1   181 0.79 -
104063at6656_158441_0:000a66|TRINITY_DN74687_c7_g1_i5:593-1273|+  -            227 104063at6656         -            202   3.1e-15   55.2   0.0   1   1     1e-17     1e-14   53.5   0.0    37   201     2   180     1   181 0.79 -
104063at6656_158441_0:000a66|TRINITY_DN74687_c7_g1_i6:344-1024|+  -            227 104063at6656         -            202   3.1e-15   55.2   0.0   1   1     1e-17     1e-14   53.5   0.0    37   201     2   180     1   181 0.79 -
104063at6656_158441_0:000a66|TRINITY_DN74687_c7_g1_i7:505-1185|+  -            227 104063at6656         -            202   3.1e-15   55.2   0.0   1   1     1e-17     1e-14   53.5   0.0    37   201     2   180     1   181 0.79 -
104063at6656_326594_0:0001e9|TRINITY_DN74687_c7_g1_i1:73-615|+    -            181 104063at6656         -            202   1.7e-07   29.9   0.0   1   1   5.1e-10   5.2e-07   28.3   0.0    78   201     1   127     1   128 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/104063at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/104063at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/104063at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:46 2026
# [ok]
