#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31480at6656_39758_0:00101b|TRINITY_DN79780_c7_g2_i2:5-642|-       -            130 31480at6656          -            350   6.1e-21   74.0   2.2   1   1     3e-23   1.6e-20   72.6   2.2   220   313     1   130     1   130 0.74 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i7:226-2011|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   1   3      0.01       5.5    5.1   0.1     1    32    80   115    80   119 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i7:226-2011|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   2   3   1.5e-17   8.3e-15   53.8   0.0    28   107   130   217   125   236 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i7:226-2011|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   3   3     0.033        18    3.4   0.0   242   301   434   503   428   514 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i8:213-1998|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   1   3      0.01       5.5    5.1   0.1     1    32    80   115    80   119 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i8:213-1998|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   2   3   1.5e-17   8.3e-15   53.8   0.0    28   107   130   217   125   236 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i8:213-1998|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   3   3     0.033        18    3.4   0.0   242   301   434   503   428   514 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i9:226-2011|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   1   3      0.01       5.5    5.1   0.1     1    32    80   115    80   119 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i9:226-2011|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   2   3   1.5e-17   8.3e-15   53.8   0.0    28   107   130   217   125   236 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i9:226-2011|-    -            521 31480at6656          -            350   1.4e-18   66.3   0.0   3   3     0.033        18    3.4   0.0   242   301   434   503   428   514 0.81 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i1:226-1794|-    -            523 31480at6656          -            350   1.4e-18   66.3   0.0   1   3      0.01       5.6    5.1   0.1     1    32    82   117    82   121 0.86 -
31480at6656_29031_0:000d01|TRINITY_DN86473_c5_g1_i1:226-1794|-    -            523 31480at6656          -            350   1.4e-18   66.3   0.0   2   3   1.5e-17   8.4e-15   53.8   0.0    28   107   132   219   127   238 0.81 -
