#                                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
140874at6656_6850_0:002216|TRINITY_DN88302_c1_g4_i1:338-742|- -            135 140874at6656         -            115   6.3e-50  167.1   0.8   1   1   9.3e-53   1.2e-49  166.3   0.8     2   115     6   132     5   132 0.90 -
127998at6656_6945_0:00480c|TRINITY_DN83148_c0_g2_i7:2-202|-   -             67 140874at6656         -            115   1.5e-12   46.7   0.5   1   1   1.3e-15   1.6e-12   46.6   0.5    30    84    10    64     1    67 0.87 -
127998at6656_6945_0:00480c|TRINITY_DN83148_c0_g2_i4:20-208|-  -             63 140874at6656         -            115   8.9e-12   44.2   0.1   1   1   6.9e-15   8.9e-12   44.2   0.1    38    91     5    58     1    63 0.85 -
127998at6656_6958_0:000825|TRINITY_DN83148_c0_g2_i6:0-247|-   -             54 140874at6656         -            115   1.2e-09   37.4   0.1   1   1   9.7e-13   1.2e-09   37.3   0.1    42    86     2    50     1    54 0.83 -
127998at6656_6945_0:00480c|TRINITY_DN83148_c2_g1_i1:0-230|+   -             77 140874at6656         -            115   5.5e-09   35.2   0.2   1   1   5.4e-12     7e-09   34.9   0.2    31    91    13    73     2    77 0.83 -
127998at6656_72036_0:001d0a|TRINITY_DN83148_c0_g2_i8:0-404|-  -            132 140874at6656         -            115   5.8e-07   28.7   0.9   1   2       1.1   1.4e+03   -1.6   0.0    21    31    48    58    39    84 0.60 -
127998at6656_72036_0:001d0a|TRINITY_DN83148_c0_g2_i8:0-404|-  -            132 140874at6656         -            115   5.8e-07   28.7   0.9   2   2   4.5e-10   5.8e-07   28.7   0.9    28    67    92   131    67   132 0.85 -
127998at6656_6850_0:00187f|TRINITY_DN83148_c0_g2_i9:0-455|-   -            152 140874at6656         -            115   7.1e-07   28.4   2.1   1   2       1.6     2e+03   -2.1   0.0    21    31    68    78    59    98 0.60 -
127998at6656_6850_0:00187f|TRINITY_DN83148_c0_g2_i9:0-455|-   -            152 140874at6656         -            115   7.1e-07   28.4   2.1   2   2   6.5e-10   8.4e-07   28.1   0.7    29    67   113   151   101   152 0.84 -
127998at6656_6945_0:00480c|TRINITY_DN83148_c0_g2_i5:1-198|-   -             64 140874at6656         -            115   2.2e-06   26.8   0.7   1   1   2.8e-09   3.6e-06   26.1   0.7    30    79    15    62     6    64 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/140874at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/140874at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/140874at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:46 2026
# [ok]
