#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
611258at33208_294128_0:002cbc|TRINITY_DN76908_c11_g1_i1:84-767|-     -            228 611258at33208        -            189   3.2e-73  244.3  35.9   1   1   4.1e-75   6.2e-73  243.3  35.9     2   189     3   224     2   224 0.87 -
611258at33208_136037_0:001d07|TRINITY_DN76908_c11_g1_i5:347-937|-    -            197 611258at33208        -            189   7.3e-65  217.0  30.2   1   1   8.7e-67   1.3e-64  216.2  30.2     2   166     7   197     6   197 0.89 -
611258at33208_294128_0:001d61|TRINITY_DN76908_c11_g1_i3:138-503|-    -            122 611258at33208        -            189   1.3e-42  144.5   0.7   1   1   1.1e-44   1.6e-42  144.1   0.7     2    95    12   116    11   121 0.91 -
611258at33208_7004_0:004df6|TRINITY_DN76908_c11_g1_i2:84-428|-       -            115 611258at33208        -            189   9.4e-32  109.0  27.5   1   1   8.6e-34   1.3e-31  108.6  27.5    95   189     3   111     1   111 0.82 -
611258at33208_7004_0:004df6|TRINITY_DN76908_c11_g1_i4:347-586|-      -             80 611258at33208        -            189   1.4e-22   79.1  24.6   1   1     1e-24   1.5e-22   79.0  24.6    95   166     3    80     1    80 0.84 -
407472at33208_1155016_0:000932|TRINITY_DN76929_c10_g1_i1:191-355|+   -             55 611258at33208        -            189   5.6e-09   34.7   0.4   1   1   3.8e-11   5.7e-09   34.7   0.4    39    83     3    51     1    54 0.82 -
407472at33208_1155016_0:000932|TRINITY_DN76929_c10_g1_i3:70-234|+    -             55 611258at33208        -            189   5.6e-09   34.7   0.4   1   1   3.8e-11   5.7e-09   34.7   0.4    39    83     3    51     1    54 0.82 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i2:696-2315|-  -            540 611258at33208        -            189   3.4e-07   28.9   0.2   1   2   2.2e-09   3.4e-07   28.9   0.2    38    81     5    51     3    79 0.86 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i2:696-2315|-  -            540 611258at33208        -            189   3.4e-07   28.9   0.2   2   2      0.52        79    1.6   1.5   131   156   489   514   473   537 0.65 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i4:696-2561|-  -            541 611258at33208        -            189   3.4e-07   28.9   0.2   1   2   2.2e-09   3.4e-07   28.9   0.2    38    81     5    51     3    79 0.86 -
407472at33208_1868482_0:002eed|TRINITY_DN80290_c13_g1_i4:696-2561|-  -            541 611258at33208        -            189   3.4e-07   28.9   0.2   2   2      0.43        65    1.9   0.8    93   115   491   513   475   530 0.58 -
391896at33208_259920_0:001c66|TRINITY_DN93210_c8_g2_i7:491-814|-     -            108 611258at33208        -            189   1.2e-06   27.1   0.6   1   1   9.5e-09   1.4e-06   26.9   0.6    44   108    13    76     2    82 0.82 -
391896at33208_259920_0:001c66|TRINITY_DN92669_c11_g2_i3:108-428|+    -            107 611258at33208        -            189   1.3e-06   27.0   0.1   1   1   9.3e-09   1.4e-06   26.9   0.1    38    90    18    73     5   101 0.78 -
407472at33208_407821_0:001031|TRINITY_DN80760_c11_g1_i1:1119-1298|+  -             60 611258at33208        -            189   2.5e-06   26.1   0.0   1   1   1.6e-08   2.5e-06   26.1   0.0    40    78     6    42     1    59 0.78 -
407472at33208_407821_0:001031|TRINITY_DN80760_c11_g1_i2:2570-2749|+  -             60 611258at33208        -            189   2.5e-06   26.1   0.0   1   1   1.6e-08   2.5e-06   26.1   0.0    40    78     6    42     1    59 0.78 -
407472at33208_407821_0:001031|TRINITY_DN80760_c11_g1_i3:735-914|+    -             60 611258at33208        -            189   2.5e-06   26.1   0.0   1   1   1.6e-08   2.5e-06   26.1   0.0    40    78     6    42     1    59 0.78 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i11:1216-1620|-   -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i12:1780-2184|-   -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i15:1790-2194|-   -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
