#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
131276at6656_411798_0:001c7a|TRINITY_DN90162_c4_g1_i1:0-587|+     -            196 131276at6656         -            173   1.6e-47  158.7   1.6   1   1   2.4e-49   2.7e-47  157.9   1.6    29   108    98   177    93   187 0.94 -
131276at6656_218467_0:001784|TRINITY_DN90162_c4_g2_i1:749-997|-   -             83 131276at6656         -            173   3.3e-27   92.6   0.3   1   1   3.4e-29   3.8e-27   92.3   0.3   102   173     6    82     2    82 0.94 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i10:2732-2947|- -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i10:2732-2947|- -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i11:2732-2947|- -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i11:2732-2947|- -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i12:2732-2947|- -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i12:2732-2947|- -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i1:922-1137|-   -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i1:922-1137|-   -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i2:1922-2137|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i2:1922-2137|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i3:1922-2137|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i3:1922-2137|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i4:2732-2947|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i4:2732-2947|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i7:1922-2137|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   1   2   2.2e-10   2.5e-08   31.1   3.1    31    63     1    33     1    35 0.95 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i7:1922-2137|-  -             72 131276at6656         -            173   2.6e-18   63.6  10.5   2   2   1.7e-12   1.9e-10   38.0   0.9    33    63    35    65    32    70 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i14:604-819|-   -             72 131276at6656         -            173   1.4e-16   57.9   0.5   1   2   2.2e-08   2.5e-06   24.6   0.1    33    64     1    32     1    39 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i14:604-819|-   -             72 131276at6656         -            173   1.4e-16   57.9   0.5   2   2   7.4e-11   8.3e-09   32.6   0.0    30    62    39    71    32    72 0.88 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i5:2414-2629|-  -             72 131276at6656         -            173   1.4e-16   57.9   0.5   1   2   2.2e-08   2.5e-06   24.6   0.1    33    64     1    32     1    39 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i5:2414-2629|-  -             72 131276at6656         -            173   1.4e-16   57.9   0.5   2   2   7.4e-11   8.3e-09   32.6   0.0    30    62    39    71    32    72 0.88 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i6:1604-1819|-  -             72 131276at6656         -            173   1.4e-16   57.9   0.5   1   2   2.2e-08   2.5e-06   24.6   0.1    33    64     1    32     1    39 0.93 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i6:1604-1819|-  -             72 131276at6656         -            173   1.4e-16   57.9   0.5   2   2   7.4e-11   8.3e-09   32.6   0.0    30    62    39    71    32    72 0.88 -
131276at6656_7536_0:001d04|TRINITY_DN85428_c4_g2_i1:1336-1626|+   -             97 131276at6656         -            173   9.2e-16   55.3   0.7   1   1   2.7e-17     3e-15   53.6   0.7    31   100     9    91     3    97 0.80 -
131276at6656_7536_0:001d04|TRINITY_DN85428_c4_g2_i2:1336-1626|+   -             97 131276at6656         -            173   9.2e-16   55.3   0.7   1   1   2.7e-17     3e-15   53.6   0.7    31   100     9    91     3    97 0.80 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i13:2414-2617|- -             68 131276at6656         -            173   9.5e-14   48.7   0.8   1   2   1.4e-05    0.0015   15.5   0.2    37    64     1    28     1    35 0.87 -
131276at6656_7536_0:001d04|TRINITY_DN92657_c11_g2_i13:2414-2617|- -             68 131276at6656         -            173   9.5e-14   48.7   0.8   2   2   6.4e-11   7.2e-09   32.9   0.0    30    63    35    68    28    68 0.88 -
131276at6656_52283_0:0011de|TRINITY_DN82246_c11_g1_i2:116-538|+   -            141 131276at6656         -            173   3.8e-13   46.8   2.1   1   1   2.2e-14   2.4e-12   44.2   2.1    31   100     1    82     1   138 0.79 -
131276at6656_52283_0:0011de|TRINITY_DN82246_c11_g1_i4:116-538|+   -            141 131276at6656         -            173   3.8e-13   46.8   2.1   1   1   2.2e-14   2.4e-12   44.2   2.1    31   100     1    82     1   138 0.79 -
131276at6656_1629725_0:0012ca|TRINITY_DN90162_c4_g3_i1:56-388|-   -            111 131276at6656         -            173     3e-06   24.3   0.0   1   1   3.1e-08   3.4e-06   24.1   0.0     2    27    12    37    11    70 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/131276at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/rerun_results/131276at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/131276at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:51:44 2026
# [ok]
