#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 448514at33208        -            271   2.6e-44  149.0   0.1   1   1   1.5e-45   3.2e-44  148.7   0.1     3    98    79   179    77   179 0.93 -
448514at33208_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+    -            112 448514at33208        -            271   1.9e-37  126.5   1.3   1   2   4.6e-24     1e-22   78.2   0.0   187   238    10    61     4    72 0.91 -
448514at33208_197043_0:00311d|TRINITY_DN82268_c9_g1_i1:482-817|+    -            112 448514at33208        -            271   1.9e-37  126.5   1.3   2   2   9.8e-15   2.2e-13   47.6   0.3   235   271    76   112    70   112 0.93 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 448514at33208        -            271   7.5e-25   85.2   3.3   1   4   1.3e-05   0.00028   17.7   0.2    27    98    13    88     5    96 0.83 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 448514at33208        -            271   7.5e-25   85.2   3.3   2   4   3.2e-10   6.9e-09   32.8   0.4    27    80    97   151    92   152 0.92 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 448514at33208        -            271   7.5e-25   85.2   3.3   3   4   0.00011    0.0024   14.7   0.1    33    62   145   175   145   191 0.84 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 448514at33208        -            271   7.5e-25   85.2   3.3   4   4   1.9e-06   4.1e-05   20.5   0.0     4    74   200   271   197   286 0.90 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 448514at33208        -            271   1.2e-22   78.0  11.3   1   5     0.031      0.68    6.6   0.1    44    80    23    59     4    66 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 448514at33208        -            271   1.2e-22   78.0  11.3   2   5   1.1e-09   2.5e-08   31.0   0.6     8    97    28   117    21   122 0.83 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 448514at33208        -            271   1.2e-22   78.0  11.3   3   5   1.9e-06   4.2e-05   20.4   0.3    50    99   109   159   107   165 0.88 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 448514at33208        -            271   1.2e-22   78.0  11.3   4   5   1.8e-08     4e-07   27.0   0.5    28    98   128   198   123   205 0.87 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 448514at33208        -            271   1.2e-22   78.0  11.3   5   5   1.4e-07   3.1e-06   24.1   0.2    26    60   209   242   198   254 0.83 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 448514at33208        -            271   2.7e-20   70.3   0.7   1   6     0.013      0.29    7.9   0.0     9    60    42    94    37   101 0.82 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 448514at33208        -            271   2.7e-20   70.3   0.7   2   6       4.3        94   -0.4   0.0   205   219   110   124    96   182 0.47 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 448514at33208        -            271   2.7e-20   70.3   0.7   3   6   9.7e-05    0.0021   14.8   0.0    22    96   144   223   130   233 0.77 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 448514at33208        -            271   2.7e-20   70.3   0.7   4   6      0.24       5.2    3.7   0.0    27    58   236   268   226   276 0.84 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 448514at33208        -            271   2.7e-20   70.3   0.7   5   6     3e-05   0.00065   16.5   0.0    23    97   318   395   306   439 0.72 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 448514at33208        -            271   2.7e-20   70.3   0.7   6   6   2.9e-06   6.4e-05   19.8   0.4     3    97   503   604   501   605 0.80 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 448514at33208        -            271   2.8e-20   70.2   0.0   1   3   9.2e-08     2e-06   24.8   0.0    28    99     3    79     2    83 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 448514at33208        -            271   2.8e-20   70.2   0.0   2   3   7.2e-08   1.6e-06   25.1   0.0    10    80    70   141    61   142 0.86 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 448514at33208        -            271   2.8e-20   70.2   0.0   3   3   1.8e-08   3.9e-07   27.1   0.0    27    95   129   201   125   201 0.87 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 448514at33208        -            271   1.2e-19   68.1  14.6   1   6      0.39       8.5    3.0   0.1    66    98     3    38     2    48 0.76 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 448514at33208        -            271   1.2e-19   68.1  14.6   2   6   4.6e-11     1e-09   35.6   1.1    25    99    48   128    40   135 0.86 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 448514at33208        -            271   1.2e-19   68.1  14.6   3   6      0.15       3.2    4.4   0.1    25    80   137   195   130   198 0.73 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 448514at33208        -            271   1.2e-19   68.1  14.6   4   6    0.0038     0.083    9.6   0.3    28    57   184   214   177   216 0.80 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 448514at33208        -            271   1.2e-19   68.1  14.6   5   6      0.33       7.3    3.3   0.0    19    56   233   271   229   281 0.78 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 448514at33208        -            271   1.2e-19   68.1  14.6   6   6   4.3e-06   9.4e-05   19.3   0.0    19    58   284   325   273   327 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 448514at33208        -            271   2.1e-19   67.4   5.8   1   4   1.4e-08   3.2e-07   27.4   0.0    28    98   160   234   151   244 0.82 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 448514at33208        -            271   2.1e-19   67.4   5.8   2   4   3.2e-05   0.00069   16.4   0.3    43    77   260   294   249   299 0.91 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 448514at33208        -            271   2.1e-19   67.4   5.8   3   4   4.6e-05     0.001   15.9   0.0    44    97   303   358   293   366 0.86 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 448514at33208        -            271   2.1e-19   67.4   5.8   4   4      0.02      0.43    7.3   0.0    27    60   368   401   360   410 0.89 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 448514at33208        -            271   2.1e-19   67.3   5.9   1   5      0.15       3.3    4.4   0.0     3    69    76   144    74   152 0.78 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 448514at33208        -            271   2.1e-19   67.3   5.9   2   5    0.0015     0.032   11.0   0.1    48   101   167   225   163   240 0.78 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 448514at33208        -            271   2.1e-19   67.3   5.9   3   5   6.7e-07   1.5e-05   21.9   0.0     3   104   357   464   355   476 0.79 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 448514at33208        -            271   2.1e-19   67.3   5.9   4   5    0.0003    0.0065   13.2   0.1    23    72   478   528   465   538 0.86 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 448514at33208        -            271   2.1e-19   67.3   5.9   5   5   3.6e-05   0.00079   16.3   0.2    41    96   539   597   526   602 0.78 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 448514at33208        -            271   2.3e-19   67.2   0.9   1   3      0.13       2.9    4.6   0.1   228   270    34    76    10    77 0.70 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 448514at33208        -            271   2.3e-19   67.2   0.9   2   3   8.8e-11   1.9e-09   34.7   0.0    25    87    82   147    75   152 0.83 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 448514at33208        -            271   2.3e-19   67.2   0.9   3   3   7.5e-08   1.7e-06   25.0   0.0     8   102   151   251   142   263 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 448514at33208        -            271   2.4e-19   67.1   9.0   1   5     0.037       0.8    6.4   0.1    43    79    13    49     1    52 0.81 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 448514at33208        -            271   2.4e-19   67.1   9.0   2   5   1.7e-13   3.7e-12   43.6   1.2     4    99    15   114    12   120 0.88 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 448514at33208        -            271   2.4e-19   67.1   9.0   3   5   5.4e-08   1.2e-06   25.5   0.0    41    99    95   156    88   164 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 448514at33208        -            271   2.4e-19   67.1   9.0   4   5    0.0046       0.1    9.4   0.2    32    99   170   244   158   252 0.68 -
