#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135676at6656_294128_0:003fc3|TRINITY_DN74178_c15_g1_i2:186-566|+   -            127 135676at6656         -             88   3.1e-35  117.4   0.1   1   1   2.8e-37   4.1e-35  117.0   0.1     1    87    22   116    22   117 0.91 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 135676at6656         -             88   6.6e-27   90.7   0.0   1   3   1.2e-08   1.7e-06   25.2   0.0    11    68    16    78     6    88 0.81 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 135676at6656         -             88   6.6e-27   90.7   0.0   2   3   8.3e-11   1.2e-08   32.1   0.0    15    81   145   215   133   222 0.84 -
63193at6656_41427_0:00202e|TRINITY_DN85405_c6_g1_i4:360-1412|+     -            351 135676at6656         -             88   6.6e-27   90.7   0.0   3   3   5.2e-10   7.5e-08   29.6   0.0     9    73   262   331   253   347 0.74 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 135676at6656         -             88   1.5e-23   79.9   0.0   1   3   1.5e-09   2.1e-07   28.2   0.0    15    87    17    90    11    91 0.90 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 135676at6656         -             88   1.5e-23   79.9   0.0   2   3   6.7e-09   9.6e-07   26.1   0.0    12    71   122   184   113   192 0.86 -
63193at6656_41427_0:00202e|TRINITY_DN92669_c11_g2_i3:1419-2309|+   -            297 135676at6656         -             88   1.5e-23   79.9   0.0   3   3   1.3e-07   1.8e-05   22.0   0.0    14    62   237   286   225   295 0.80 -
135676at6656_126957_0:001477|TRINITY_DN74688_c9_g5_i1:1156-1515|-  -            120 135676at6656         -             88   5.3e-22   75.0   0.1   1   1     5e-24   7.2e-22   74.5   0.1     2    86    17   109    16   111 0.90 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 135676at6656         -             88   7.7e-19   64.8   0.0   1   3     1e-08   1.5e-06   25.5   0.0    11    87    18    99    11   100 0.77 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 135676at6656         -             88   7.7e-19   64.8   0.0   2   3   2.1e-07     3e-05   21.3   0.1    10    66   141   200   131   207 0.84 -
63193at6656_69820_0:001aee|TRINITY_DN72377_c8_g1_i4:673-1659|-     -            329 135676at6656         -             88   7.7e-19   64.8   0.0   3   3   3.2e-05    0.0046   14.2   0.0    10    62   270   326   263   328 0.74 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c10_g2_i1:20-223|-     -             68 135676at6656         -             88   1.6e-10   38.1   0.0   1   1   1.3e-12   1.9e-10   37.9   0.0    12    68     5    65     2    67 0.83 -
63193at6656_168631_0:002082|TRINITY_DN85454_c9_g1_i4:133-438|+     -            102 135676at6656         -             88   2.5e-09   34.3   0.0   1   1   2.1e-11     3e-09   34.1   0.0    14    81    17    86    11    93 0.87 -
63193at6656_168631_0:002082|TRINITY_DN88056_c14_g3_i2:600-1019|-   -            140 135676at6656         -             88   2.5e-09   34.3   0.0   1   1   2.6e-11   3.7e-09   33.8   0.0    14    86    17    91     5    93 0.82 -
63193at6656_74869_0:000da1|TRINITY_DN83493_c3_g1_i3:101-610|+      -            170 135676at6656         -             88   2.9e-09   34.1   0.0   1   1   3.2e-11   4.6e-09   33.5   0.0    12    75    19    88     5   100 0.75 -
135676at6656_1049336_0:004c49|TRINITY_DN89501_c6_g5_i1:3317-3622|- -            102 135676at6656         -             88   1.3e-08   32.0   0.0   1   1   1.5e-10   2.1e-08   31.3   0.0    10    78    11    87     3    95 0.83 -
63193at6656_168631_0:002082|TRINITY_DN90183_c3_g1_i8:3-242|+       -             80 135676at6656         -             88     1e-07   29.1   0.1   1   1   8.8e-10   1.3e-07   28.9   0.1    10    68     3    62     2    78 0.65 -
63193at6656_168631_0:002082|TRINITY_DN77490_c10_g4_i2:945-1211|-   -             89 135676at6656         -             88   1.1e-06   25.9   0.0   1   1   8.7e-09   1.3e-06   25.7   0.0    11    68    10    70     3    85 0.74 -
63193at6656_168631_0:002082|TRINITY_DN93772_c1_g1_i1:4-246|-       -             81 135676at6656         -             88   1.2e-06   25.7   0.0   1   1     1e-08   1.5e-06   25.4   0.0    10    69    17    79     5    80 0.82 -
63193at6656_104452_0:000511|TRINITY_DN92669_c11_g2_i3:420-842|+    -            141 135676at6656         -             88   2.3e-06   24.8   0.0   1   1   2.6e-08   3.8e-06   24.1   0.0    10    76    25    92    12   101 0.89 -
63193at6656_286306_0:0036dd|TRINITY_DN72377_c11_g1_i1:167-418|-    -             84 135676at6656         -             88   2.5e-06   24.7   0.0   1   1   2.4e-08   3.5e-06   24.3   0.0    11    56    35    84    24    84 0.78 -
76573at6656_378494_0:005c2b|TRINITY_DN86034_c12_g5_i1:71-643|-     -            191 135676at6656         -             88   4.3e-06   24.0   0.1   1   1   5.4e-08   7.8e-06   23.1   0.1     2    84     5    95     4    98 0.81 -
135676at6656_1049336_0:004c49|TRINITY_DN83493_c3_g2_i1:159-377|+   -             73 135676at6656         -             88     4e-05   20.9   0.0   1   1   3.9e-07   5.6e-05   20.4   0.0    11    35    45    69    30    72 0.83 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i1:1980-2693|-    -            238 135676at6656         -             88    0.0001   19.5   0.1   1   2   1.8e-06   0.00027   18.2   0.1    11    68    28    91    14   106 0.80 -
63193at6656_30069_0:002ace|TRINITY_DN91649_c4_g1_i1:1980-2693|-    -            238 135676at6656         -             88    0.0001   19.5   0.1   2   2       6.7   9.7e+02   -2.8   0.0    63    77   158   172   154   178 0.49 -
115841at6656_294128_0:0019aa|TRINITY_DN83762_c5_g4_i1:1336-2145|-  -            270 135676at6656         -             88   0.00013   19.2   0.0   1   1     2e-06   0.00029   18.1   0.0    10    63   142   197   135   218 0.89 -
135676at6656_7038_0:00013d|TRINITY_DN92938_c11_g1_i1:135-440|+     -            102 135676at6656         -             88    0.0051   14.1   0.0   1   1   3.6e-05    0.0052   14.1   0.0    18    35    23    40    12    95 0.73 -
16648at6656_143995_0:00296d|TRINITY_DN72780_c15_g2_i2:755-1501|-   -            249 135676at6656         -             88     0.008   13.5   0.0   1   1   0.00012     0.018   12.4   0.0     5    37    60    92    39   109 0.90 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/135676at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/135676at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/135676at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:07 2026
# [ok]
