#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
587688at33208_279965_0:002cde|TRINITY_DN93714_c3_g3_i1:135-287|+   -             51 587688at33208        -            101   9.5e-15   54.0   4.6   1   1   8.3e-18   1.1e-14   53.8   4.6     1    46     1    50     1    51 0.93 -
587688at33208_100784_0:00220e|TRINITY_DN93714_c3_g1_i8:4-222|+     -             73 587688at33208        -            101   6.6e-10   38.4   0.8   1   1   6.1e-13   7.9e-10   38.2   0.8    44    87     2    45     1    57 0.92 -
587688at33208_100784_0:00220e|TRINITY_DN93714_c3_g1_i2:4-228|+     -             75 587688at33208        -            101   7.5e-10   38.2   1.0   1   1   7.6e-13   9.8e-10   37.9   1.0    44    86     2    44     1    58 0.91 -
382262at33208_156563_0:0015a1|TRINITY_DN90554_c8_g1_i1:2049-2357|- -            103 587688at33208        -            101   0.00089   18.7   7.9   1   3      0.21   2.7e+02    1.1   0.1    61    73     1    13     1    24 0.80 -
382262at33208_156563_0:0015a1|TRINITY_DN90554_c8_g1_i1:2049-2357|- -            103 587688at33208        -            101   0.00089   18.7   7.9   2   3   8.5e-05      0.11   12.0   0.6    51    85    27    59    14    74 0.79 -
382262at33208_156563_0:0015a1|TRINITY_DN90554_c8_g1_i1:2049-2357|- -            103 587688at33208        -            101   0.00089   18.7   7.9   3   3   0.00048      0.62    9.6   0.3    49    71    83   103    76   103 0.90 -
382262at33208_156563_0:0015a1|TRINITY_DN90554_c8_g1_i2:1032-1340|- -            103 587688at33208        -            101   0.00089   18.7   7.9   1   3      0.21   2.7e+02    1.1   0.1    61    73     1    13     1    24 0.80 -
382262at33208_156563_0:0015a1|TRINITY_DN90554_c8_g1_i2:1032-1340|- -            103 587688at33208        -            101   0.00089   18.7   7.9   2   3   8.5e-05      0.11   12.0   0.6    51    85    27    59    14    74 0.79 -
382262at33208_156563_0:0015a1|TRINITY_DN90554_c8_g1_i2:1032-1340|- -            103 587688at33208        -            101   0.00089   18.7   7.9   3   3   0.00048      0.62    9.6   0.3    49    71    83   103    76   103 0.90 -
590416at33208_9838_0:003f3a|TRINITY_DN90570_c14_g1_i1:1113-1523|-  -            137 587688at33208        -            101    0.0011   18.4   6.4   1   3   0.00013      0.17   11.4   0.1     2    23    13    33    12    39 0.80 -
590416at33208_9838_0:003f3a|TRINITY_DN90570_c14_g1_i1:1113-1523|-  -            137 587688at33208        -            101    0.0011   18.4   6.4   2   3      0.14   1.8e+02    1.7   0.0     3    23    42    61    39    72 0.76 -
590416at33208_9838_0:003f3a|TRINITY_DN90570_c14_g1_i1:1113-1523|-  -            137 587688at33208        -            101    0.0011   18.4   6.4   3   3    0.0066       8.6    6.0   0.1     3    26    98   121    95   136 0.81 -
582473at33208_123851_0:0015aa|TRINITY_DN91876_c11_g2_i1:11-640|+   -            210 587688at33208        -            101       0.3   10.6   9.6   1   1   0.00081         1    8.9   9.6     5    90    89   168    86   179 0.66 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/587688at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/587688at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/587688at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:53 2026
# [ok]
