#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
205220at33208_123851_0:00430a|TRINITY_DN75733_c10_g1_i6:195-1046|+   -            284 205220at33208        -            645  2.8e-158  525.3   0.6   1   1  2.7e-160  3.1e-158  525.1   0.6     1   259    12   284    12   284 0.96 -
205220at33208_7004_0:00052c|TRINITY_DN84776_c6_g1_i4:1110-2417|-     -            436 205220at33208        -            645  2.6e-140  465.9  11.9   1   1  4.6e-140  5.3e-138  458.3  11.9   302   645     1   417     1   417 0.85 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+    -            361 205220at33208        -            645   2.9e-40  135.4   5.1   1   4    0.0014      0.16    7.4   0.1    28    59    11    42     5    53 0.75 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+    -            361 205220at33208        -            645   2.9e-40  135.4   5.1   2   4   1.3e-21   1.5e-19   66.9   1.0   211   303    54   141    40   146 0.87 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+    -            361 205220at33208        -            645   2.9e-40  135.4   5.1   3   4   4.5e-13   5.2e-11   38.8   0.1   227   301   117   191   114   196 0.91 -
205220at33208_32264_0:0018f7|TRINITY_DN86385_c9_g1_i2:1318-2400|+    -            361 205220at33208        -            645   2.9e-40  135.4   5.1   4   4   5.9e-15   6.9e-13   45.0   0.0    10    93   214   304   206   315 0.85 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+   -            309 205220at33208        -            645   3.5e-30  102.1   0.7   1   3   8.8e-06     0.001   14.7   0.0   254   301    39    84     1    86 0.69 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+   -            309 205220at33208        -            645   3.5e-30  102.1   0.7   2   3     1e-14   1.2e-12   44.2   0.0   199   304    93   195    88   202 0.87 -
205220at33208_144034_0:0024f1|TRINITY_DN81326_c11_g1_i4:353-1279|+   -            309 205220at33208        -            645   3.5e-30  102.1   0.7   3   3   5.1e-13     6e-11   38.6   0.0   204   303   204   299   199   308 0.84 -
359532at33208_7574_0:005035|TRINITY_DN93032_c15_g1_i6:111-1160|+     -            350 205220at33208        -            645   6.5e-25   84.7   0.1   1   3     2e-10   2.3e-08   30.0   0.0    84   148    79   143     6   148 0.70 -
359532at33208_7574_0:005035|TRINITY_DN93032_c15_g1_i6:111-1160|+     -            350 205220at33208        -            645   6.5e-25   84.7   0.1   2   3   5.3e-17   6.1e-15   51.7   0.1   192   307   148   259   143   287 0.83 -
359532at33208_7574_0:005035|TRINITY_DN93032_c15_g1_i6:111-1160|+     -            350 205220at33208        -            645   6.5e-25   84.7   0.1   3   3      0.36        42   -0.6   0.0    70   120   295   350   288   350 0.62 -
361216at33208_1049336_0:00241b|TRINITY_DN89512_c2_g1_i1:1188-2822|-  -            545 205220at33208        -            645     1e-22   77.4   0.0   1   2   9.5e-17   1.1e-14   50.9   0.0    28   160    71   216    62   218 0.81 -
361216at33208_1049336_0:00241b|TRINITY_DN89512_c2_g1_i1:1188-2822|-  -            545 205220at33208        -            645     1e-22   77.4   0.0   2   2     3e-11   3.5e-09   32.7   0.0   163   302   170   317   170   331 0.74 -
361216at33208_121225_0:0026c1|TRINITY_DN79860_c10_g1_i6:4563-5567|-  -            335 205220at33208        -            645   1.4e-21   73.7  12.0   1   2   1.6e-21   1.9e-19   66.7   6.9    75   308    23   274    22   302 0.79 -
361216at33208_121225_0:0026c1|TRINITY_DN79860_c10_g1_i6:4563-5567|-  -            335 205220at33208        -            645   1.4e-21   73.7  12.0   2   2   2.6e-06    0.0003   16.4   0.3    71   150   244   326   240   329 0.72 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+   -            384 205220at33208        -            645     1e-20   70.8   0.8   1   4   5.9e-10   6.8e-08   28.5   0.0   228   319     1    97     1    98 0.85 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+   -            384 205220at33208        -            645     1e-20   70.8   0.8   2   4   0.00012     0.014   10.9   0.0   201   248    93   139    88   144 0.53 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+   -            384 205220at33208        -            645     1e-20   70.8   0.8   3   4   2.3e-08   2.6e-06   23.2   0.0   200   276   172   252   166   273 0.82 -
359532at33208_307491_0:002339|TRINITY_DN85869_c7_g1_i2:1011-2162|+   -            384 205220at33208        -            645     1e-20   70.8   0.8   4   4    0.0056      0.65    5.4   0.2   198   252   308   370   302   378 0.69 -
205220at33208_32264_0:000751|TRINITY_DN79873_c15_g1_i3:2965-3966|-   -            334 205220at33208        -            645   6.9e-19   64.8   1.1   1   2    0.0022      0.26    6.7   0.0   318   344   157   183   140   188 0.82 -
205220at33208_32264_0:000751|TRINITY_DN79873_c15_g1_i3:2965-3966|-   -            334 205220at33208        -            645   6.9e-19   64.8   1.1   2   2   1.3e-18   1.5e-16   57.0   0.5   499   635   188   321   182   334 0.89 -
359532at33208_121530_0:0028d7|TRINITY_DN88472_c10_g1_i2:523-873|+    -            117 205220at33208        -            645   6.3e-18   61.6   0.1   1   1   5.6e-20   6.5e-18   61.6   0.1   117   219     3   110     1   117 0.89 -
361216at33208_116153_0:000a8d|TRINITY_DN86363_c5_g1_i30:571-1416|+   -            282 205220at33208        -            645   9.1e-18   61.1   0.4   1   3   1.2e-06   0.00014   17.5   0.0    61   149     2    95     1   109 0.71 -
361216at33208_116153_0:000a8d|TRINITY_DN86363_c5_g1_i30:571-1416|+   -            282 205220at33208        -            645   9.1e-18   61.1   0.4   2   3   2.5e-12   2.9e-10   36.3   0.0   224   301   140   219   121   225 0.82 -
361216at33208_116153_0:000a8d|TRINITY_DN86363_c5_g1_i30:571-1416|+   -            282 205220at33208        -            645   9.1e-18   61.1   0.4   3   3   7.2e-05    0.0083   11.6   0.1   204   304   176   272   174   278 0.53 -
409006at33208_29031_0:00078e|TRINITY_DN71507_c12_g2_i1:476-1918|+    -            481 205220at33208        -            645   1.4e-17   60.5   1.1   1   4   2.5e-07   2.9e-05   19.8   0.2   523   642     9   124     1   126 0.92 -
409006at33208_29031_0:00078e|TRINITY_DN71507_c12_g2_i1:476-1918|+    -            481 205220at33208        -            645   1.4e-17   60.5   1.1   2   4    0.0033      0.39    6.1   0.0   241   322   215   300   209   305 0.71 -
409006at33208_29031_0:00078e|TRINITY_DN71507_c12_g2_i1:476-1918|+    -            481 205220at33208        -            645   1.4e-17   60.5   1.1   3   4   1.8e-08   2.1e-06   23.6   0.1   222   322   346   443   308   447 0.81 -
409006at33208_29031_0:00078e|TRINITY_DN71507_c12_g2_i1:476-1918|+    -            481 205220at33208        -            645   1.4e-17   60.5   1.1   4   4    0.0019      0.22    6.9   0.0    27    62   447   481   437   481 0.85 -
409006at33208_29031_0:00078e|TRINITY_DN91198_c9_g3_i3:456-1913|+     -            486 205220at33208        -            645   6.6e-17   58.2   1.4   1   3   1.9e-08   2.2e-06   23.5   0.2   526   643    12   125     1   126 0.90 -
409006at33208_29031_0:00078e|TRINITY_DN91198_c9_g3_i3:456-1913|+     -            486 205220at33208        -            645   6.6e-17   58.2   1.4   2   3   7.5e-06   0.00087   14.9   0.0   120   219   249   352   241   357 0.73 -
409006at33208_29031_0:00078e|TRINITY_DN91198_c9_g3_i3:456-1913|+     -            486 205220at33208        -            645   6.6e-17   58.2   1.4   3   3   3.1e-07   3.6e-05   19.4   0.1    14   155   343   474   330   481 0.81 -
205220at33208_7719_0:000327|TRINITY_DN87172_c5_g1_i2:335-1726|+      -            464 205220at33208        -            645   9.6e-17   57.7   0.5   1   3     0.057       6.7    2.1   0.0    29    49   179   199   166   205 0.65 -
205220at33208_7719_0:000327|TRINITY_DN87172_c5_g1_i2:335-1726|+      -            464 205220at33208        -            645   9.6e-17   57.7   0.5   2   3   1.1e-11   1.3e-09   34.1   0.0   202   283   206   283   201   288 0.89 -
205220at33208_7719_0:000327|TRINITY_DN87172_c5_g1_i2:335-1726|+      -            464 205220at33208        -            645   9.6e-17   57.7   0.5   3   3   8.7e-07    0.0001   18.0   0.1   181   253   376   445   365   460 0.82 -
409006at33208_29031_0:00078e|TRINITY_DN88346_c7_g2_i3:1005-2462|-    -            486 205220at33208        -            645   7.9e-16   54.7   1.6   1   2   5.7e-07   6.5e-05   18.6   0.0   523   642     9   124     1   126 0.90 -
409006at33208_29031_0:00078e|TRINITY_DN88346_c7_g2_i3:1005-2462|-    -            486 205220at33208        -            645   7.9e-16   54.7   1.6   2   2   1.9e-11   2.2e-09   33.4   0.2   124   313   255   433   249   443 0.86 -
409006at33208_29031_0:00078e|TRINITY_DN74425_c5_g1_i1:283-1857|+     -            525 205220at33208        -            645     2e-14   50.1   4.2   1   4   0.00052      0.06    8.8   0.5   538   641    22   123     5   125 0.74 -
409006at33208_29031_0:00078e|TRINITY_DN74425_c5_g1_i1:283-1857|+     -            525 205220at33208        -            645     2e-14   50.1   4.2   2   4   1.3e-05    0.0015   14.1   0.0   194   304   221   322   214   328 0.80 -
409006at33208_29031_0:00078e|TRINITY_DN74425_c5_g1_i1:283-1857|+     -            525 205220at33208        -            645     2e-14   50.1   4.2   3   4   1.3e-05    0.0015   14.1   0.0   226   312   349   430   338   441 0.62 -
409006at33208_29031_0:00078e|TRINITY_DN74425_c5_g1_i1:283-1857|+     -            525 205220at33208        -            645     2e-14   50.1   4.2   4   4   7.8e-07   9.1e-05   18.1   0.1   231   303   401   474   392   489 0.83 -
205220at33208_7536_0:0014ed|TRINITY_DN88150_c2_g3_i29:3621-4106|-    -            162 205220at33208        -            645   1.2e-13   47.5   0.0   1   2     2e-11   2.3e-09   33.3   0.0   172   252     6    85     1    91 0.89 -
205220at33208_7536_0:0014ed|TRINITY_DN88150_c2_g3_i29:3621-4106|-    -            162 205220at33208        -            645   1.2e-13   47.5   0.0   2   2   4.9e-05    0.0057   12.2   0.0    49    94    92   151    89   157 0.72 -
205220at33208_1629725_0:000924|TRINITY_DN91187_c10_g1_i3:1362-1907|- -            182 205220at33208        -            645     2e-13   46.7   0.1   1   2       0.2        23    0.3   0.0   315   345     7    34     1    42 0.82 -
205220at33208_1629725_0:000924|TRINITY_DN91187_c10_g1_i3:1362-1907|- -            182 205220at33208        -            645     2e-13   46.7   0.1   2   2   8.6e-15     1e-12   44.4   0.0   500   639    43   178    39   182 0.89 -
409006at33208_29031_0:00078e|TRINITY_DN81620_c12_g1_i4:881-2383|+    -            501 205220at33208        -            645     1e-10   37.8   0.6   1   3   2.7e-05    0.0031   13.1   0.1   528   635    14   117     1   125 0.83 -
409006at33208_29031_0:00078e|TRINITY_DN81620_c12_g1_i4:881-2383|+    -            501 205220at33208        -            645     1e-10   37.8   0.6   2   3     3e-07   3.5e-05   19.5   0.0   106   270   241   396   196   403 0.60 -
409006at33208_29031_0:00078e|TRINITY_DN81620_c12_g1_i4:881-2383|+    -            501 205220at33208        -            645     1e-10   37.8   0.6   3   3      0.14        16    0.8   0.0   242   271   468   497   462   501 0.71 -
205220at33208_7176_0:0001d9|TRINITY_DN90071_c4_g3_i2:1230-1574|+     -            115 205220at33208        -            645   1.1e-10   37.7   0.1   1   1   9.8e-13   1.1e-10   37.6   0.1   478   588     2   114     1   115 0.77 -
409006at33208_29031_0:00078e|TRINITY_DN87279_c11_g1_i4:269-1708|+    -            480 205220at33208        -            645   1.1e-10   37.6   3.0   1   3   1.1e-09   1.2e-07   27.6   0.4   376   468    17   121     7   139 0.58 -
409006at33208_29031_0:00078e|TRINITY_DN87279_c11_g1_i4:269-1708|+    -            480 205220at33208        -            645   1.1e-10   37.6   3.0   2   3     0.019       2.2    3.7   0.0   235   300   303   366   282   370 0.60 -
409006at33208_29031_0:00078e|TRINITY_DN87279_c11_g1_i4:269-1708|+    -            480 205220at33208        -            645   1.1e-10   37.6   3.0   3   3     0.013       1.5    4.2   0.1    26    49   401   424   396   428 0.89 -
409006at33208_29031_0:00078e|TRINITY_DN73758_c15_g1_i2:324-1862|+    -            513 205220at33208        -            645   2.4e-09   33.2   0.4   1   2   8.7e-06     0.001   14.7   0.2   539   643    23   125     3   132 0.65 -
409006at33208_29031_0:00078e|TRINITY_DN73758_c15_g1_i2:324-1862|+    -            513 205220at33208        -            645   2.4e-09   33.2   0.4   2   2   3.6e-06   0.00042   15.9   0.0   125   301   304   471   284   484 0.83 -
205220at33208_100784_0:001a5c|TRINITY_DN85278_c10_g1_i2:1638-2069|+  -            144 205220at33208        -            645   9.8e-09   31.2   0.0   1   1   1.2e-10   1.3e-08   30.8   0.0   226   315     9   108     1   111 0.75 -
409006at33208_29031_0:00078e|TRINITY_DN84186_c9_g1_i1:640-2427|+     -            596 205220at33208        -            645   8.9e-08   28.1   0.0   1   3       1.4   1.6e+02   -2.5   0.0   538   596    27    83    25   110 0.78 -
409006at33208_29031_0:00078e|TRINITY_DN84186_c9_g1_i1:640-2427|+     -            596 205220at33208        -            645   8.9e-08   28.1   0.0   2   3     0.013       1.5    4.2   0.0   211   303   393   471   307   490 0.67 -
409006at33208_29031_0:00078e|TRINITY_DN84186_c9_g1_i1:640-2427|+     -            596 205220at33208        -            645   8.9e-08   28.1   0.0   3   3   1.5e-07   1.7e-05   20.5   0.0   126   216   494   586   484   594 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/205220at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
