#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74384at6656_294128_0:00347c|TRINITY_DN89699_c7_g1_i1:194-1654|+  -            487 74384at6656          -            418  5.7e-163  540.3   0.0   1   1    9e-165  3.4e-162  537.7   0.0     2   417    33   485    32   486 0.89 -
74384at6656_103372_0:001fed|TRINITY_DN83339_c8_g1_i12:809-1537|- -            243 74384at6656          -            418   5.3e-20   69.3   0.0   1   3   0.00095      0.36    7.3   0.0    51    76    45    70    26    74 0.89 -
74384at6656_103372_0:001fed|TRINITY_DN83339_c8_g1_i12:809-1537|- -            243 74384at6656          -            418   5.3e-20   69.3   0.0   2   3   4.7e-13   1.8e-10   37.9   0.0   115   250    78   201    71   206 0.83 -
74384at6656_103372_0:001fed|TRINITY_DN83339_c8_g1_i12:809-1537|- -            243 74384at6656          -            418   5.3e-20   69.3   0.0   3   3   8.7e-08   3.3e-05   20.6   0.0   281   309   215   243   209   243 0.93 -
74384at6656_13249_0:002829|TRINITY_DN90242_c10_g1_i1:372-1082|+  -            237 74384at6656          -            418   2.5e-19   67.1   0.6   1   3   0.00067      0.25    7.8   0.1    49    76    43    70    35    78 0.86 -
74384at6656_13249_0:002829|TRINITY_DN90242_c10_g1_i1:372-1082|+  -            237 74384at6656          -            418   2.5e-19   67.1   0.6   2   3   4.7e-09   1.8e-06   24.8   0.0   129   250    76   187    66   187 0.82 -
74384at6656_13249_0:002829|TRINITY_DN90242_c10_g1_i1:372-1082|+  -            237 74384at6656          -            418   2.5e-19   67.1   0.6   3   3   3.3e-11   1.3e-08   31.8   0.0   277   321   188   232   188   236 0.95 -
74384at6656_1155016_0:001127|TRINITY_DN81876_c12_g4_i1:213-611|- -            133 74384at6656          -            418   1.6e-18   64.4   0.0   1   2   8.5e-11   3.2e-08   30.5   0.0   161   250     1    84     1    90 0.87 -
74384at6656_1155016_0:001127|TRINITY_DN81876_c12_g4_i1:213-611|- -            133 74384at6656          -            418   1.6e-18   64.4   0.0   2   2   2.1e-11   8.1e-09   32.5   0.0   279   321    90   133    85   133 0.91 -
74384at6656_13249_0:002829|TRINITY_DN82897_c11_g9_i2:78-791|+    -            238 74384at6656          -            418   2.7e-18   63.7   1.6   1   3   0.00055      0.21    8.1   0.1    50    75    48    73    30    76 0.87 -
74384at6656_13249_0:002829|TRINITY_DN82897_c11_g9_i2:78-791|+    -            238 74384at6656          -            418   2.7e-18   63.7   1.6   2   3   4.8e-08   1.8e-05   21.4   0.0   131   254    83   192    71   200 0.84 -
74384at6656_13249_0:002829|TRINITY_DN82897_c11_g9_i2:78-791|+    -            238 74384at6656          -            418   2.7e-18   63.7   1.6   3   3   2.1e-11   8.1e-09   32.5   0.0   279   317   200   238   196   238 0.96 -
74384at6656_121225_0:002371|TRINITY_DN92424_c6_g1_i4:2435-3277|+ -            281 74384at6656          -            418   8.1e-16   55.5   0.1   1   3   0.00072      0.28    7.7   0.0    50    80     1    31     1    50 0.87 -
74384at6656_121225_0:002371|TRINITY_DN92424_c6_g1_i4:2435-3277|+ -            281 74384at6656          -            418   8.1e-16   55.5   0.1   2   3     1e-07   3.9e-05   20.3   0.0   130   204    64   134    45   149 0.79 -
74384at6656_121225_0:002371|TRINITY_DN92424_c6_g1_i4:2435-3277|+ -            281 74384at6656          -            418   8.1e-16   55.5   0.1   3   3   6.3e-09   2.4e-06   24.3   0.0   276   318   232   278   204   281 0.78 -
74384at6656_418985_0:000a07|TRINITY_DN81313_c5_g3_i4:581-1492|+  -            304 74384at6656          -            418   1.9e-14   51.1   0.1   1   1   2.5e-15   9.4e-13   45.4   0.1    47   250    52   241    34   300 0.72 -
74384at6656_28612_0:003af4|TRINITY_DN86861_c12_g2_i2:1560-2066|- -            169 74384at6656          -            418   3.6e-14   50.1   0.0   1   2   3.2e-11   1.2e-08   31.9   0.0   162   218     1    58     1   117 0.96 -
74384at6656_28612_0:003af4|TRINITY_DN86861_c12_g2_i2:1560-2066|- -            169 74384at6656          -            418   3.6e-14   50.1   0.0   2   2   1.8e-06   0.00068   16.3   0.0   282   316   121   156   116   167 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/74384at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/74384at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/74384at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
