#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 177718at33208        -            400  1.2e-161  535.3   0.6   1   1  8.8e-163  2.4e-161  534.3   0.6     7   400   166   626   161   626 0.88 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 177718at33208        -            400   2.3e-17   60.1   7.4   1   4   1.1e-05    0.0003   17.0   0.3   164   245     3   101     1   102 0.71 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 177718at33208        -            400   2.3e-17   60.1   7.4   2   4   1.8e-07   4.9e-06   22.9   0.1   119   192    39   115    36   122 0.80 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 177718at33208        -            400   2.3e-17   60.1   7.4   3   4   5.7e-12   1.5e-10   37.7   0.1   116   234    78   208    74   229 0.75 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 177718at33208        -            400   2.3e-17   60.1   7.4   4   4    0.0035     0.092    8.8   0.1   137   220   186   284   176   288 0.52 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 177718at33208        -            400     4e-16   56.1   3.2   1   4   0.00063     0.017   11.2   0.0    21    51    17    47     9    55 0.83 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 177718at33208        -            400     4e-16   56.1   3.2   2   4   8.7e-10   2.3e-08   30.5   1.0   118   225    55   174    48   180 0.77 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 177718at33208        -            400     4e-16   56.1   3.2   3   4   0.00052     0.014   11.5   0.0   160   224   184   257   178   265 0.73 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 177718at33208        -            400     4e-16   56.1   3.2   4   4       2.2        58   -0.4   0.0   158   182   266   290   261   292 0.84 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 177718at33208        -            400   1.1e-15   54.6   5.7   1   5     0.033      0.88    5.6   0.1   139   190   165   219   142   227 0.82 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 177718at33208        -            400   1.1e-15   54.6   5.7   2   5     0.022      0.58    6.2   0.0   152   210   295   351   281   358 0.82 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 177718at33208        -            400   1.1e-15   54.6   5.7   3   5   2.4e-07   6.3e-06   22.5   0.0   140   226   368   464   348   472 0.73 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 177718at33208        -            400   1.1e-15   54.6   5.7   4   5   0.00037    0.0099   12.0   0.1   138   236   450   561   430   574 0.70 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 177718at33208        -            400   1.1e-15   54.6   5.7   5   5   8.5e-06   0.00023   17.4   0.1   137   248   537   644   509   654 0.74 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 177718at33208        -            400   1.4e-15   54.3   9.5   1   6   5.4e-05    0.0014   14.7   0.0   127   189    73   135    40   140 0.79 -
