#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 357580at33208        -            253  1.1e-119  395.4   0.4   1   1  1.1e-120  2.2e-119  394.5   0.4     1   253    49   345    49   345 0.92 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 357580at33208        -            253   1.7e-39  132.7   4.5   1   2   2.1e-23   4.2e-22   75.8   0.9   103   245     2   145     1   149 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 357580at33208        -            253   1.7e-39  132.7   4.5   2   2   6.3e-18   1.3e-16   57.8   0.1   138   244   169   274   145   285 0.83 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 357580at33208        -            253   3.1e-39  131.9   5.9   1   4   1.8e-14   3.6e-13   46.5   0.3   130   235     9   110     5   111 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 357580at33208        -            253   3.1e-39  131.9   5.9   2   4   1.6e-13   3.3e-12   43.4   0.1   132   241    95   200    88   202 0.89 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 357580at33208        -            253   3.1e-39  131.9   5.9   3   4   2.7e-17   5.5e-16   55.7   0.2   114   245   114   246   113   254 0.86 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 357580at33208        -            253   3.1e-39  131.9   5.9   4   4     0.013      0.27    7.6   0.0   201   243   244   286   241   292 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 357580at33208        -            253   1.3e-34  116.7   4.1   1   4   2.8e-07   5.6e-06   22.9   0.1   191   244    48   101    42   103 0.92 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 357580at33208        -            253   1.3e-34  116.7   4.1   2   4   2.4e-17   4.8e-16   55.9   0.0   103   234    85   219    84   221 0.88 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 357580at33208        -            253   1.3e-34  116.7   4.1   3   4     1e-10   2.1e-09   34.2   0.0   102   168   170   241   161   247 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 357580at33208        -            253   1.3e-34  116.7   4.1   4   4   1.5e-07     3e-06   23.8   0.2    84   161   226   317   224   317 0.83 -
